"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 00:00","2018","04","01","00:00","-12.0","","-18.6","","58","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 01:00","2018","04","01","01:00","-12.8","","-17.6","","67","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 02:00","2018","04","01","02:00","-11.8","","-18.6","","57","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 03:00","2018","04","01","03:00","-12.7","","-17.9","","65","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 04:00","2018","04","01","04:00","-12.6","","-18.0","","64","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 05:00","2018","04","01","05:00","-12.3","","-18.3","","61","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 06:00","2018","04","01","06:00","-11.7","","-17.2","","64","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 07:00","2018","04","01","07:00","-12.7","","-15.9","","77","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 08:00","2018","04","01","08:00","-12.8","","-15.9","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 09:00","2018","04","01","09:00","-12.0","","-14.8","","79","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 10:00","2018","04","01","10:00","-11.0","","-14.1","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 11:00","2018","04","01","11:00","-10.7","","-13.2","","82","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 12:00","2018","04","01","12:00","-11.4","","-13.5","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 13:00","2018","04","01","13:00","-13.3","","-15.0","","87","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 14:00","2018","04","01","14:00","-14.3","","-16.1","","86","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 15:00","2018","04","01","15:00","-14.9","","-16.6","","87","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 16:00","2018","04","01","16:00","-15.5","","-17.2","","87","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 17:00","2018","04","01","17:00","-16.2","","-17.9","","87","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 18:00","2018","04","01","18:00","-16.7","","-18.5","","86","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 19:00","2018","04","01","19:00","-17.1","","-18.9","","86","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 20:00","2018","04","01","20:00","-17.6","","-19.5","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 21:00","2018","04","01","21:00","-18.1","","-20.0","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 22:00","2018","04","01","22:00","-18.2","","-20.1","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-01 23:00","2018","04","01","23:00","-18.0","","-19.9","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 00:00","2018","04","02","00:00","-18.3","","-20.2","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 01:00","2018","04","02","01:00","-18.9","","-20.9","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 02:00","2018","04","02","02:00","-19.2","","-21.2","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 03:00","2018","04","02","03:00","-19.7","","-21.8","","83","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 04:00","2018","04","02","04:00","-20.1","","-22.3","","83","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 05:00","2018","04","02","05:00","-20.2","","-22.3","","83","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 06:00","2018","04","02","06:00","-20.2","","-22.4","","83","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 07:00","2018","04","02","07:00","-20.1","","-22.3","","83","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 08:00","2018","04","02","08:00","-18.8","","-20.8","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 09:00","2018","04","02","09:00","-17.0","","-18.8","","86","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 10:00","2018","04","02","10:00","-14.3","","-15.8","","88","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 11:00","2018","04","02","11:00","-14.9","","-16.4","","88","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 12:00","2018","04","02","12:00","-14.9","","-16.4","","88","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 13:00","2018","04","02","13:00","-12.7","","-13.9","","91","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 14:00","2018","04","02","14:00","-12.6","","-14.0","","89","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 15:00","2018","04","02","15:00","-13.7","","-15.2","","88","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 16:00","2018","04","02","16:00","-15.2","","-17.0","","86","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 17:00","2018","04","02","17:00","-14.7","","-16.3","","87","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 18:00","2018","04","02","18:00","-14.4","","-16.4","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 19:00","2018","04","02","19:00","-15.6","","-17.6","","85","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 20:00","2018","04","02","20:00","-15.5","","-17.6","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 21:00","2018","04","02","21:00","-15.5","","-18.5","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 22:00","2018","04","02","22:00","-15.0","","-17.9","","79","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-02 23:00","2018","04","02","23:00","-14.9","","-17.9","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 00:00","2018","04","03","00:00","-15.5","","-18.4","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 01:00","2018","04","03","01:00","-15.5","","-18.0","","81","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 02:00","2018","04","03","02:00","-14.8","","-17.7","","78","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 03:00","2018","04","03","03:00","-14.7","","-17.7","","77","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 04:00","2018","04","03","04:00","-14.6","","-17.7","","77","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 05:00","2018","04","03","05:00","-14.7","","-17.9","","77","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 06:00","2018","04","03","06:00","-14.7","","-17.9","","77","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 07:00","2018","04","03","07:00","-14.5","","-17.9","","75","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 08:00","2018","04","03","08:00","-13.7","","-17.9","","70","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 09:00","2018","04","03","09:00","-13.0","","-17.0","","72","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 10:00","2018","04","03","10:00","-12.1","","-16.8","","68","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 11:00","2018","04","03","11:00","-11.9","","-17.2","","65","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 12:00","2018","04","03","12:00","-11.4","","-15.8","","70","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 13:00","2018","04","03","13:00","-11.4","","-15.1","","74","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 14:00","2018","04","03","14:00","-10.7","","-14.2","","75","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 15:00","2018","04","03","15:00","-10.9","","-13.9","","79","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 16:00","2018","04","03","16:00","-10.3","","-14.3","","72","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 17:00","2018","04","03","17:00","-10.6","","-14.3","","74","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 18:00","2018","04","03","18:00","-10.4","","-12.9","","81","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 19:00","2018","04","03","19:00","-10.8","","-13.0","","84","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 20:00","2018","04","03","20:00","-11.4","","-12.6","","90","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 21:00","2018","04","03","21:00","-11.3","","-12.5","","91","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 22:00","2018","04","03","22:00","-11.4","","-12.7","","91","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-03 23:00","2018","04","03","23:00","-11.7","","-12.9","","91","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-04 00:00","2018","04","04","00:00","-11.7","","-13.0","","90","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-04 01:00","2018","04","04","01:00","-11.7","","-14.1","","82","","","","","M","","M","","","","","","","","","NA"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2018-04-04 02:00","2018","04","04","02:00","-11.6","","-14.8","","77","","","","","M","","M","","","","","","","","","NA"
