"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 00:00","2019","03","01","00:00","-12.6","","-17.6","","66","","0.0","","3","","13","","","","88.81","","","","-19","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 01:00","2019","03","01","01:00","-13.3","","-18.1","","67","","0.0","","3","","12","","","","88.88","","","","-20","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 02:00","2019","03","01","02:00","-14.0","","-17.7","","74","","0.0","","2","","13","","","","89.00","","","","-21","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 03:00","2019","03","01","03:00","-15.0","","-18.0","","78","","0.0","","36","","14","","","","89.11","","","","-23","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 04:00","2019","03","01","04:00","-15.6","","-18.3","","80","","0.0","","35","","7","","","","89.19","","","","-21","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 05:00","2019","03","01","05:00","-18.2","","-20.8","","80","","0.0","","4","","8","","","","89.25","","","","-24","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 06:00","2019","03","01","06:00","-19.3","","-22.0","","79","","0.0","","2","","14","","","","89.37","","","","-28","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 07:00","2019","03","01","07:00","-20.2","","-23.3","","76","","0.2","","2","","18","","","","89.49","","","","-30","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 08:00","2019","03","01","08:00","-20.8","","-24.3","","74","","0.0","","1","","16","","","","89.59","","","","-30","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 09:00","2019","03","01","09:00","-21.4","","-25.3","","71","","0.0","","36","","13","","","","89.72","","","","-30","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 10:00","2019","03","01","10:00","-21.7","","-26.9","","63","","0.2","","1","","16","","","","89.79","","","","-31","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 11:00","2019","03","01","11:00","-21.6","","-27.1","","61","","0.0","","3","","11","","","","89.82","","","","-30","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 12:00","2019","03","01","12:00","-20.6","","-26.3","","61","","0.0","","3","","8","","","","89.87","","","","-27","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 13:00","2019","03","01","13:00","-20.1","","-25.8","","61","","0.0","","3","","11","","","","89.82","","","","-28","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 14:00","2019","03","01","14:00","-20.3","","-26.2","","59","","0.0","","3","","15","","","","89.86","","","","-29","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 15:00","2019","03","01","15:00","-20.4","","-26.4","","59","","0.0","","8","","10","","","","89.86","","","","-28","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 16:00","2019","03","01","16:00","-21.7","","-26.8","","63","","0.0","","7","","9","","","","89.92","","","","-29","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 17:00","2019","03","01","17:00","-21.8","","-27.5","","60","","0.0","","9","","5","","","","89.95","","","","-26","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 18:00","2019","03","01","18:00","-23.3","","-28.0","","65","","0.0","","9","","9","","","","90.00","","","","-31","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 19:00","2019","03","01","19:00","-27.3","","-31.1","","70","","0.0","","8","","4","","","","90.02","","","","-32","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 20:00","2019","03","01","20:00","-30.1","","-33.0","","76","","0.0","","","","0","","","","90.07","","","","","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 21:00","2019","03","01","21:00","-32.6","","-35.6","","75","","0.0","","23","","4","","","","90.09","","","","-37","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 22:00","2019","03","01","22:00","-34.6","","-38.0","","71","","0.0","","21","","4","","","","90.15","","","","-40","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-01 23:00","2019","03","01","23:00","-36.2","","-39.8","","70","","0.0","","26","","5","","","","90.19","","","","-43","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-02 00:00","2019","03","02","00:00","-36.8","","-40.2","","70","","0.2","","22","","2","","","","90.21","","","","-39","","NA"
"-114.68","51.78","SUNDRE A","3026KNQ","2019-03-02 01:00","2019","03","02","01:00","-37.4","","-40.9","","69","","0.0","","24","","2","","","","90.21","","","","-40","","NA"
