"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 00:00","2012","02","01","00:00","-4.1","","-5.3","","91","","","","17","","2","","","","97.97","","","","-5","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 01:00","2012","02","01","01:00","-4.0","","-5.2","","91","","","","18","","2","","","","98.01","","","","-5","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 02:00","2012","02","01","02:00","-4.0","","-5.1","","92","","","","18","","2","","","","98.03","","","","-5","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 03:00","2012","02","01","03:00","-4.2","","-5.2","","93","","","","16","","4","","","","98.07","","","","-6","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 04:00","2012","02","01","04:00","-4.9","","-5.9","","93","","","","15","","4","","","","98.09","","","","-7","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 05:00","2012","02","01","05:00","-6.8","","-7.5","","95","","","","17","","4","","","","98.10","","","","-9","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 06:00","2012","02","01","06:00","-6.1","","-6.8","","95","","","","19","","4","","","","98.15","","","","-8","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 07:00","2012","02","01","07:00","-5.2","","-5.9","","95","","","","16","","6","","","","98.15","","","","-8","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 08:00","2012","02","01","08:00","-4.4","","-5.0","","96","","","","16","","6","","","","98.19","","","","-7","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 09:00","2012","02","01","09:00","-4.2","","-4.9","","95","","","","16","","7","","","","98.21","","","","-7","","NA"
"-96.06","50.18","PINAWA","503B1ER","2012-02-01 10:00","2012","02","01","10:00","-3.6","","-4.3","","95","","","","14","","6","","","","98.20","","","","-6","","NA"
