"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 00:00","2019","02","01","00:00","-16.4","","-19.1","","80","","0.0","","24","","8","","","","96.92","","","","-22","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 01:00","2019","02","01","01:00","-15.7","","-18.4","","80","","0.0","","27","","12","","","","96.87","","","","-23","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 02:00","2019","02","01","02:00","-15.1","","-17.9","","79","","0.0","","29","","7","","","","96.90","","","","-20","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 03:00","2019","02","01","03:00","-14.9","","-17.8","","79","","0.0","","25","","1","","","","96.92","","","","-16","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 04:00","2019","02","01","04:00","-14.9","","-17.0","","85","","0.2","","23","","3","","","","96.95","","","","-17","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 05:00","2019","02","01","05:00","-16.1","","-18.1","","85","","0.0","","3","","14","","","","96.96","","","","-24","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 06:00","2019","02","01","06:00","-16.4","","-18.7","","82","","0.0","","5","","17","","","","96.98","","","","-25","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 07:00","2019","02","01","07:00","-16.7","","-18.7","","85","","0.3","","7","","13","","","","97.08","","","","-24","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 08:00","2019","02","01","08:00","-16.7","","-18.7","","85","","0.5","","7","","13","","","","97.17","","","","-24","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 09:00","2019","02","01","09:00","-16.4","","-18.4","","84","","0.5","","6","","17","","","","97.24","","","","-25","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 10:00","2019","02","01","10:00","-16.7","","-18.8","","83","","0.0","","5","","22","","","","97.27","","","","-27","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 11:00","2019","02","01","11:00","-16.8","","-19.3","","81","","0.2","","6","","22","","","","97.29","","","","-27","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 12:00","2019","02","01","12:00","-16.8","","-19.7","","78","","0.0","","5","","25","","","","97.34","","","","-27","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 13:00","2019","02","01","13:00","-16.9","","-20.2","","76","","0.0","","5","","28","","","","97.33","","","","-28","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 14:00","2019","02","01","14:00","-17.0","","-19.9","","78","","0.0","","5","","22","","","","97.39","","","","-27","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 15:00","2019","02","01","15:00","-17.3","","-20.2","","78","","0.0","","6","","22","","","","97.45","","","","-28","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 16:00","2019","02","01","16:00","-17.9","","-20.5","","80","","0.2","","4","","25","","","","97.46","","","","-29","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 17:00","2019","02","01","17:00","-18.2","","-20.9","","79","","0.0","","4","","25","","","","97.55","","","","-29","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 18:00","2019","02","01","18:00","-18.7","","-21.6","","78","","0.2","","3","","21","","","","97.67","","","","-29","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 19:00","2019","02","01","19:00","-19.2","","-21.6","","82","","0.2","","5","","19","","","","97.73","","","","-29","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 20:00","2019","02","01","20:00","-19.2","","-21.8","","80","","0.0","","5","","19","","","","97.76","","","","-29","","NA"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2019-02-01 21:00","2019","02","01","21:00","-19.3","","-23.0","","72","","0.0","","4","","20","","","","97.80","","","","-30","","NA"
