"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 00:00","2018","04","01","00:00","-6.9","","-10.8","","74","","0.0","","0","","1","","","","98.46","","","","-7","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 01:00","2018","04","01","01:00","-4.4","","-11.1","","59","","0.0","","22","","10","","","","98.41","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 02:00","2018","04","01","02:00","-4.0","","-11.3","","57","","0.0","","23","","7","","","","98.39","","","","-7","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 03:00","2018","04","01","03:00","-4.2","","-11.8","","56","","0.0","","25","","7","","","","98.34","","","","-7","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 04:00","2018","04","01","04:00","-4.5","","-10.4","","64","","0.0","","26","","7","","","","98.28","","","","-8","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 05:00","2018","04","01","05:00","-5.3","","-10.6","","66","","0.0","","29","","4","","","","98.26","","","","-7","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 06:00","2018","04","01","06:00","-6.7","","-10.9","","72","","0.0","","25","","5","","","","98.25","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 07:00","2018","04","01","07:00","-7.1","","-11.7","","70","","0.0","","25","","6","","","","98.22","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 08:00","2018","04","01","08:00","-6.9","","-11.2","","72","","0.0","","23","","8","","","","98.22","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 09:00","2018","04","01","09:00","-5.8","","-10.5","","69","","0.0","","22","","11","","","","98.21","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 10:00","2018","04","01","10:00","-3.2","","-10.2","","59","","0.0","","22","","14","","","","98.19","","","","-8","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 11:00","2018","04","01","11:00","-1.3","","-10.7","","49","","0.0","","30","","6","","","","98.21","","","","-4","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 12:00","2018","04","01","12:00","-0.4","","-11.4","","43","","0.0","","27","","7","","","","98.21","","","","-3","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 13:00","2018","04","01","13:00","0.1","","-11.3","","42","","0.0","","31","","9","","","","98.22","","","","","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 14:00","2018","04","01","14:00","0.4","","-12.4","","38","","0.0","","29","","8","","","","98.20","","","","","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 15:00","2018","04","01","15:00","0.1","","-13.1","","36","","0.0","","33","","10","","","","98.20","","","","","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 16:00","2018","04","01","16:00","-0.4","","-11.2","","44","","0.0","","32","","10","","","","98.22","","","","-4","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 17:00","2018","04","01","17:00","-0.1","","-13.5","","36","","0.0","","34","","6","","","","98.21","","","","-2","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 18:00","2018","04","01","18:00","-0.3","","-13.0","","38","","0.0","","30","","5","","","","98.22","","","","-2","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 19:00","2018","04","01","19:00","-1.1","","-15.6","","32","","0.0","","1","","9","","","","98.24","","","","-4","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 20:00","2018","04","01","20:00","-1.9","","-15.6","","34","","0.0","","1","","4","","","","98.28","","","","-3","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 21:00","2018","04","01","21:00","-3.3","","-14.2","","43","","0.0","","4","","5","","","","98.34","","","","-5","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 22:00","2018","04","01","22:00","-4.3","","-14.0","","46","","0.0","","7","","7","","","","98.40","","","","-7","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-01 23:00","2018","04","01","23:00","-6.7","","-13.8","","57","","0.0","","11","","2","","","","98.43","","","","-8","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 00:00","2018","04","02","00:00","-7.5","","-13.8","","60","","0.0","","22","","3","","","","98.47","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 01:00","2018","04","02","01:00","-8.6","","-13.5","","68","","0.0","","24","","3","","","","98.51","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 02:00","2018","04","02","02:00","-9.3","","-13.8","","70","","0.0","","6","","1","","","","98.53","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 03:00","2018","04","02","03:00","-9.4","","-13.6","","71","","0.0","","26","","2","","","","98.53","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 04:00","2018","04","02","04:00","-9.8","","-13.6","","74","","0.0","","23","","2","","","","98.53","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 05:00","2018","04","02","05:00","-9.6","","-13.8","","72","","0.0","","8","","2","","","","98.54","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 06:00","2018","04","02","06:00","-9.2","","-13.7","","70","","0.0","","8","","3","","","","98.56","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 07:00","2018","04","02","07:00","-9.5","","-13.7","","72","","0.0","","21","","2","","","","98.59","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 08:00","2018","04","02","08:00","-9.3","","-13.7","","70","","0.0","","9","","2","","","","98.60","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 09:00","2018","04","02","09:00","-8.3","","-13.7","","65","","0.0","","8","","2","","","","98.58","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 10:00","2018","04","02","10:00","-4.8","","-18.1","","34","","0.0","","35","","11","","","","98.55","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 11:00","2018","04","02","11:00","-4.4","","-22.0","","24","","0.0","","35","","12","","","","98.53","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 12:00","2018","04","02","12:00","-4.5","","-21.2","","26","","0.0","","1","","14","","","","98.51","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 13:00","2018","04","02","13:00","-4.4","","-22.6","","23","","0.0","","36","","11","","","","98.45","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 14:00","2018","04","02","14:00","-4.5","","-23.8","","21","","0.0","","1","","15","","","","98.41","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 15:00","2018","04","02","15:00","-4.5","","-24.8","","19","","0.0","","1","","14","","","","98.35","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 16:00","2018","04","02","16:00","-5.2","","-23.3","","23","","0.0","","36","","11","","","","98.30","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 17:00","2018","04","02","17:00","-6.0","","-22.7","","25","","0.0","","36","","12","","","","98.26","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 18:00","2018","04","02","18:00","-6.7","","-22.0","","29","","0.0","","36","","12","","","","98.24","","","","-12","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 19:00","2018","04","02","19:00","-8.0","","-22.2","","31","","0.0","","1","","11","","","","98.24","","","","-13","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 20:00","2018","04","02","20:00","-9.4","","-21.6","","36","","0.0","","7","","7","","","","98.24","","","","-13","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 21:00","2018","04","02","21:00","-10.1","","-22.8","","35","","0.0","","5","","8","","","","98.24","","","","-15","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 22:00","2018","04","02","22:00","-14.9","","-21.7","","56","","0.0","","17","","1","","","","98.21","","","","-16","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-02 23:00","2018","04","02","23:00","-16.5","","-21.2","","67","","0.0","","6","","1","","","","98.19","","","","-17","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 00:00","2018","04","03","00:00","-18.0","","-22.4","","68","","0.0","","0","","1","","","","98.18","","","","-19","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 01:00","2018","04","03","01:00","-19.9","","-23.8","","71","","0.0","","5","","2","","","","98.16","","","","-22","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 02:00","2018","04","03","02:00","-20.5","","-24.8","","68","","0.0","","6","","3","","","","98.15","","","","-23","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 03:00","2018","04","03","03:00","-21.6","","-25.9","","68","","0.0","","4","","3","","","","98.13","","","","-24","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 04:00","2018","04","03","04:00","-23.4","","-27.2","","71","","0.0","","0","","1","","","","98.11","","","","-24","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 05:00","2018","04","03","05:00","-24.4","","-27.7","","74","","0.0","","0","","1","","","","98.09","","","","-25","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 06:00","2018","04","03","06:00","-24.5","","-28.3","","71","","0.0","","7","","4","","","","98.08","","","","-28","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 07:00","2018","04","03","07:00","-25.3","","-28.9","","72","","0.0","","7","","3","","","","98.08","","","","-28","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 08:00","2018","04","03","08:00","-24.2","","-28.4","","68","","0.0","","8","","3","","","","98.05","","","","-27","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 09:00","2018","04","03","09:00","-21.2","","-26.1","","65","","0.0","","9","","4","","","","98.00","","","","-25","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 10:00","2018","04","03","10:00","-17.4","","-24.3","","55","","0.0","","12","","2","","","","97.94","","","","-19","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 11:00","2018","04","03","11:00","-13.3","","-23.0","","44","","0.0","","13","","2","","","","97.88","","","","-15","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 12:00","2018","04","03","12:00","-10.5","","-23.2","","35","","0.0","","19","","4","","","","97.83","","","","-13","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 13:00","2018","04","03","13:00","-7.5","","-22.1","","30","","0.0","","5","","6","","","","97.75","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 14:00","2018","04","03","14:00","-6.2","","-21.4","","29","","0.0","","7","","11","","","","97.70","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 15:00","2018","04","03","15:00","-5.5","","-20.3","","30","","0.0","","8","","9","","","","97.63","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 16:00","2018","04","03","16:00","-5.1","","-20.7","","28","","0.0","","9","","9","","","","97.56","","","","-9","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 17:00","2018","04","03","17:00","-4.7","","-20.1","","29","","0.0","","9","","8","","","","97.54","","","","-8","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 18:00","2018","04","03","18:00","-4.9","","-20.1","","29","","0.0","","6","","12","","","","97.53","","","","-10","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 19:00","2018","04","03","19:00","-5.6","","-20.5","","30","","0.0","","8","","13","","","","97.54","","","","-11","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 20:00","2018","04","03","20:00","-7.6","","-21.0","","34","","0.0","","8","","10","","","","97.57","","","","-12","","NA"
"-139.13","64.06","DAWSON","2100LRP","2018-04-03 21:00","2018","04","03","21:00","-9.4","","-22.1","","35","","0.0","","3","","4","","","","97.63","","","","-12","","NA"
