"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 00:00","2018","04","01","00:00","-9.1","","-16.3","","56","","0.0","","26","","26","","","","97.17","","","","-18","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 01:00","2018","04","01","01:00","-9.9","","-16.8","","57","","0.0","","27","","24","","","","97.17","","","","-18","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 02:00","2018","04","01","02:00","-9.9","","-16.9","","57","","0.0","","28","","24","","","","97.15","","","","-18","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 03:00","2018","04","01","03:00","-10.2","","-17.3","","56","","0.0","","28","","22","","","","97.11","","","","-18","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 04:00","2018","04","01","04:00","-10.6","","-17.8","","55","","0.0","","28","","22","","","","97.07","","","","-19","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 05:00","2018","04","01","05:00","-11.4","","-18.4","","56","","0.0","","29","","22","","","","97.05","","","","-20","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 06:00","2018","04","01","06:00","-14.7","","-19.9","","65","","0.0","","26","","13","","","","97.07","","","","-22","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 07:00","2018","04","01","07:00","-14.8","","-20.4","","62","","0.0","","28","","15","","","","97.04","","","","-23","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 08:00","2018","04","01","08:00","-12.8","","-19.1","","59","","0.0","","31","","18","","","","97.07","","","","-21","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 09:00","2018","04","01","09:00","-12.2","","-18.8","","58","","0.0","","31","","19","","","","97.04","","","","-20","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 10:00","2018","04","01","10:00","-11.1","","-18.5","","54","","0.0","","30","","16","","","","97.06","","","","-18","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 11:00","2018","04","01","11:00","-9.7","","-18.0","","51","","0.0","","28","","11","","","","97.06","","","","-15","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 12:00","2018","04","01","12:00","-8.7","","-18.2","","46","","0.0","","32","","8","","","","97.03","","","","-13","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 13:00","2018","04","01","13:00","-7.9","","-17.9","","45","","0.0","","32","","12","","","","97.00","","","","-13","","NA"
"-104.00","53.33","NIPAWIN","407N51G","2018-04-01 14:00","2018","04","01","14:00","-7.2","","-18.5","","40","","0.0","","31","","13","","","","96.96","","","","-13","","NA"
