"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 00:00","2012","02","01","00:00","-4.2","","-5.0","","94","","","","27","","4","","","","96.47","","","","-6","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 01:00","2012","02","01","01:00","-3.8","","-4.4","","96","","","","26","","6","","","","96.55","","","","-6","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 02:00","2012","02","01","02:00","-3.6","","-4.4","","94","","","","28","","4","","","","96.60","","","","-5","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 03:00","2012","02","01","03:00","-3.7","","-4.0","","98","","","","27","","6","","","","96.64","","","","-6","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 04:00","2012","02","01","04:00","-3.6","","-4.2","","96","","","","26","","4","","","","96.67","","","","-5","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 05:00","2012","02","01","05:00","-3.5","","-4.2","","95","","","","25","","6","","","","96.71","","","","-6","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 06:00","2012","02","01","06:00","-3.5","","-3.9","","97","","","","23","","4","","","","96.77","","","","-5","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 07:00","2012","02","01","07:00","-3.5","","-3.9","","97","","","","24","","2","","","","96.84","","","","-4","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 08:00","2012","02","01","08:00","-3.4","","-4.0","","96","","","","25","","4","","","","96.90","","","","-5","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 09:00","2012","02","01","09:00","-3.2","","-3.8","","96","","","","25","","4","","","","96.95","","","","-5","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 10:00","2012","02","01","10:00","-2.8","","-3.6","","94","","","","25","","4","","","","96.98","","","","-4","","NA"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2012-02-01 11:00","2012","02","01","11:00","-2.3","","-3.6","","91","","","","26","","4","","","","97.00","","","","-4","","NA"
