"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 00:00","2018","04","01","00:00","-17.7","","-22.0","","69","","0.0","","24","","16","","","","93.99","","","","-27","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 01:00","2018","04","01","01:00","-19.5","","-23.0","","73","","0.0","","24","","15","","","","93.94","","","","-28","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 02:00","2018","04","01","02:00","-18.8","","-22.9","","70","","0.0","","23","","18","","","","93.87","","","","-28","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 03:00","2018","04","01","03:00","-17.5","","-21.7","","70","","0.0","","23","","20","","","","93.78","","","","-27","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 04:00","2018","04","01","04:00","-17.1","","-21.0","","71","","0.0","","23","","21","","","","93.72","","","","-27","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 05:00","2018","04","01","05:00","-18.1","","-21.6","","74","","0.0","","23","","19","","","","93.63","","","","-28","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 06:00","2018","04","01","06:00","-19.4","","-22.9","","74","","0.0","","26","","4","","","","93.62","","","","-23","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 07:00","2018","04","01","07:00","-16.2","","-20.0","","72","","0.0","","23","","11","","","","93.54","","","","-23","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 08:00","2018","04","01","08:00","-14.9","","-19.7","","67","","0.0","","23","","18","","","","93.47","","","","-24","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 09:00","2018","04","01","09:00","-13.0","","-18.4","","64","","0.0","","23","","17","","","","93.42","","","","-21","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 10:00","2018","04","01","10:00","-12.0","","-19.3","","55","","0.0","","27","","8","","","","93.40","","","","-17","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 11:00","2018","04","01","11:00","-8.9","","-18.5","","46","","0.0","","29","","3","","","","93.34","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 12:00","2018","04","01","12:00","-8.0","","-16.9","","49","","0.0","","28","","6","","","","93.27","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 13:00","2018","04","01","13:00","-7.4","","-17.3","","45","","0.0","","24","","6","","","","93.21","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 14:00","2018","04","01","14:00","-5.7","","-16.2","","43","","0.0","","22","","4","","","","93.14","","","","-8","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 15:00","2018","04","01","15:00","-4.9","","-16.1","","41","","0.0","","29","","4","","","","93.09","","","","-7","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 16:00","2018","04","01","16:00","-5.0","","-17.6","","37","","0.0","","33","","10","","","","93.04","","","","-9","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 17:00","2018","04","01","17:00","-5.6","","-15.2","","47","","0.0","","6","","3","","","","93.04","","","","-7","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 18:00","2018","04","01","18:00","-8.7","","-13.8","","66","","0.0","","20","","7","","","","93.05","","","","-13","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 19:00","2018","04","01","19:00","-11.1","","-14.6","","76","","0.0","","20","","10","","","","93.05","","","","-17","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 20:00","2018","04","01","20:00","-12.0","","-16.0","","72","","0.0","","21","","11","","","","93.07","","","","-18","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 21:00","2018","04","01","21:00","-13.0","","-16.9","","73","","0.0","","23","","4","","","","93.07","","","","-16","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 22:00","2018","04","01","22:00","-14.2","","-18.1","","73","","0.0","","23","","4","","","","93.05","","","","-17","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-01 23:00","2018","04","01","23:00","-14.2","","-17.6","","75","","0.0","","24","","5","","","","93.04","","","","-18","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 00:00","2018","04","02","00:00","-15.8","","-18.8","","78","","0.0","","24","","2","","","","93.03","","","","-17","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 01:00","2018","04","02","01:00","-16.3","","-19.2","","78","","0.0","","27","","4","","","","93.09","","","","-19","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 02:00","2018","04","02","02:00","-18.1","","-20.9","","79","","0.0","","","","0","","","","93.10","","","","","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 03:00","2018","04","02","03:00","-18.4","","-20.9","","81","","0.0","","0","","1","","","","93.07","","","","-19","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 04:00","2018","04","02","04:00","-17.2","","-19.6","","81","","0.0","","25","","5","","","","93.06","","","","-21","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 05:00","2018","04","02","05:00","-18.5","","-20.8","","82","","0.0","","24","","1","","","","93.07","","","","-19","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 06:00","2018","04","02","06:00","-19.1","","-21.7","","80","","0.0","","27","","3","","","","93.09","","","","-22","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 07:00","2018","04","02","07:00","-15.7","","-19.1","","75","","0.0","","28","","2","","","","93.14","","","","-17","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 08:00","2018","04","02","08:00","-13.7","","-18.0","","70","","0.0","","29","","3","","","","93.21","","","","-16","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 09:00","2018","04","02","09:00","-10.7","","-16.6","","62","","0.0","","30","","4","","","","93.25","","","","-13","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 10:00","2018","04","02","10:00","-8.3","","-16.6","","51","","0.0","","27","","5","","","","93.28","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 11:00","2018","04","02","11:00","-7.2","","-15.9","","50","","0.0","","22","","10","","","","93.32","","","","-12","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 12:00","2018","04","02","12:00","-6.7","","-16.3","","47","","0.0","","24","","15","","","","93.35","","","","-13","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 13:00","2018","04","02","13:00","-5.0","","-15.4","","44","","0.0","","24","","16","","","","93.37","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 14:00","2018","04","02","14:00","-4.7","","-15.7","","42","","0.0","","24","","16","","","","93.39","","","","-10","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 15:00","2018","04","02","15:00","-5.0","","-16.3","","41","","0.0","","24","","19","","","","93.40","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 16:00","2018","04","02","16:00","-4.9","","-14.6","","47","","0.0","","24","","19","","","","93.46","","","","-11","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 17:00","2018","04","02","17:00","-5.7","","-13.8","","53","","0.0","","24","","17","","","","93.47","","","","-12","","NA"
"-110.21","51.67","ESTHER 1","301B460","2018-04-02 18:00","2018","04","02","18:00","-7.0","","-14.4","","55","","0.0","","23","","14","","","","93.50","","","","-13","","NA"
