"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 00:00","2019","02","01","00:00","-7.0","","-8.8","","87","","0.0","","15","","20","","","","93.60","","","","-14","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 01:00","2019","02","01","01:00","-7.8","","-9.7","","87","","0.0","","14","","22","","","","93.55","","","","-15","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 02:00","2019","02","01","02:00","-7.0","","-8.8","","87","","0.0","","14","","19","","","","93.48","","","","-14","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 03:00","2019","02","01","03:00","-6.8","","-8.7","","87","","0.0","","15","","20","","","","93.46","","","","-14","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 04:00","2019","02","01","04:00","-7.8","","-9.6","","87","","0.0","","14","","20","","","","93.43","","","","-15","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 05:00","2019","02","01","05:00","-9.2","","-11.1","","87","","0.0","","15","","17","","","","93.44","","","","-16","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 06:00","2019","02","01","06:00","-10.3","","-12.0","","87","","0.0","","13","","14","","","","93.43","","","","-17","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 07:00","2019","02","01","07:00","-9.2","","-10.9","","87","","0.0","","16","","12","","","","93.45","","","","-15","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 08:00","2019","02","01","08:00","-8.5","","-10.3","","87","","0.0","","16","","10","","","","93.45","","","","-13","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 09:00","2019","02","01","09:00","-10.7","","-12.5","","87","","0.0","","17","","9","","","","93.47","","","","-16","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 10:00","2019","02","01","10:00","-9.7","","-12.2","","82","","0.0","","13","","4","","","","93.51","","","","-12","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 11:00","2019","02","01","11:00","-9.5","","-12.5","","79","","0.0","","4","","7","","","","93.56","","","","-13","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 12:00","2019","02","01","12:00","-8.0","","-11.0","","79","","0.0","","9","","9","","","","93.63","","","","-13","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 13:00","2019","02","01","13:00","-7.5","","-10.2","","81","","0.0","","1","","8","","","","93.66","","","","-12","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 14:00","2019","02","01","14:00","-8.8","","-11.5","","81","","0.0","","3","","21","","","","93.71","","","","-17","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 15:00","2019","02","01","15:00","-10.4","","-12.5","","84","","0.0","","4","","23","","","","93.74","","","","-19","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 16:00","2019","02","01","16:00","-11.0","","-13.5","","82","","0.0","","3","","22","","","","93.83","","","","-20","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 17:00","2019","02","01","17:00","-11.7","","-14.1","","83","","0.0","","4","","22","","","","93.87","","","","-20","","NA"
"-103.80","49.70","WEYBURN","401HP5R","2019-02-01 18:00","2019","02","01","18:00","-12.4","","-14.7","","83","","0.0","","5","","21","","","","93.96","","","","-21","","NA"
