"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 00:00","2019","04","01","00:00","2.5","","-3.4","","65","","0.0","","7","","2","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 01:00","2019","04","01","01:00","2.3","","-3.0","","68","","0.0","","","","0","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 02:00","2019","04","01","02:00","1.8","","-2.6","","73","","0.0","","32","","4","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 03:00","2019","04","01","03:00","1.2","","-2.1","","79","","0.0","","31","","3","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 04:00","2019","04","01","04:00","1.6","","-1.9","","78","","0.0","","30","","6","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 05:00","2019","04","01","05:00","1.9","","-1.7","","77","","0.0","","32","","7","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 06:00","2019","04","01","06:00","1.5","","-1.1","","83","","0.0","","34","","7","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 07:00","2019","04","01","07:00","2.0","","-0.7","","83","","0.0","","32","","8","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 08:00","2019","04","01","08:00","2.9","","-0.1","","81","","0.0","","31","","9","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 09:00","2019","04","01","09:00","3.9","","-0.2","","74","","0.0","","32","","15","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 10:00","2019","04","01","10:00","6.1","","-0.6","","62","","0.0","","35","","14","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 11:00","2019","04","01","11:00","7.5","","-1.7","","52","","0.0","","32","","17","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 12:00","2019","04","01","12:00","7.9","","-2.7","","47","","0.0","","32","","18","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 13:00","2019","04","01","13:00","8.3","","-3.2","","44","","0.0","","31","","22","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 14:00","2019","04","01","14:00","8.2","","-4.1","","42","","0.0","","33","","20","","","","","M","","","","","NA"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2019-04-01 15:00","2019","04","01","15:00","8.6","","-4.5","","39","","0.0","","33","","17","","","","","M","","","","","NA"
