"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 00:00","2019","04","01","00:00","-3.1","","-7.1","","74","","","","33","","13","","","","102.53","","","","-8","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 01:00","2019","04","01","01:00","-3.3","","-7.2","","74","","","","32","","17","","","","102.59","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 02:00","2019","04","01","02:00","-4.2","","-7.6","","77","","","","32","","17","","","","102.61","","","","-10","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 03:00","2019","04","01","03:00","-4.7","","-7.9","","78","","","","33","","11","","","","102.63","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 04:00","2019","04","01","04:00","-4.9","","-8.0","","79","","","","32","","9","","","","102.65","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 05:00","2019","04","01","05:00"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 06:00","2019","04","01","06:00"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 07:00","2019","04","01","07:00","-7.2","","-9.7","","82","","","","34","","6","","","","102.71","","","","-10","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 08:00","2019","04","01","08:00","-6.3","","-9.5","","78","","","","33","","8","","","","102.71","","","","-10","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 09:00","2019","04","01","09:00","-6.6","","-9.9","","77","","","","32","","9","","","","102.70","","","","-11","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 10:00","2019","04","01","10:00","-5.6","","-10.1","","70","","","","33","","15","","","","102.71","","","","-11","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 11:00","2019","04","01","11:00","-5.2","","-10.1","","68","","","","32","","16","","","","102.71","","","","-11","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 12:00","2019","04","01","12:00","-4.9","","-10.2","","66","","","","33","","15","","","","102.69","","","","-10","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 13:00","2019","04","01","13:00","-4.4","","-9.8","","66","","","","31","","11","","","","102.70","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 14:00","2019","04","01","14:00","-3.7","","-9.2","","66","","","","31","","11","","","","102.70","","","","-8","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 15:00","2019","04","01","15:00","-3.4","","-9.8","","61","","","","31","","10","","","","102.67","","","","-7","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 16:00","2019","04","01","16:00","-2.6","","-10.1","","57","","","","33","","14","","","","102.65","","","","-7","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 17:00","2019","04","01","17:00","-2.9","","-10.4","","56","","","","32","","18","","","","102.62","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 18:00","2019","04","01","18:00","-3.1","","-10.7","","56","","","","33","","18","","","","102.58","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 19:00","2019","04","01","19:00","-3.7","","-11.0","","57","","","","33","","17","","","","102.53","","","","-9","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 20:00","2019","04","01","20:00","-4.9","","-11.1","","62","","","","33","","14","","","","102.50","","","","-10","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 21:00","2019","04","01","21:00","-6.7","","-11.4","","69","","","","34","","12","","","","102.47","","","","-12","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 22:00","2019","04","01","22:00","-8.4","","-12.1","","75","","","","34","","7","","","","102.48","","","","-12","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-01 23:00","2019","04","01","23:00","-10.1","","-13.0","","79","","","","34","","10","","","","102.45","","","","-15","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 00:00","2019","04","02","00:00","-9.5","","-13.3","","74","","","","34","","17","","","","102.48","","","","-17","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 01:00","2019","04","02","01:00","-11.8","","-14.7","","79","","","","33","","16","","","","102.52","","","","-19","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 02:00","2019","04","02","02:00","-13.3","","-16.8","","75","","","","34","","12","","","","102.59","","","","-20","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 03:00","2019","04","02","03:00","-14.3","","-17.3","","78","","","","34","","14","","","","102.62","","","","-22","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 04:00","2019","04","02","04:00","-15.2","","-17.7","","81","","","","35","","11","","","","102.68","","","","-22","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 05:00","2019","04","02","05:00","-16.2","","-18.9","","80","","","","33","","15","","","","102.71","","","","-24","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 06:00","2019","04","02","06:00","-17.6","","-20.0","","82","","","","33","","14","","","","102.77","","","","-26","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 07:00","2019","04","02","07:00","-17.5","","-20.1","","80","","","","33","","14","","","","102.82","","","","-26","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 08:00","2019","04","02","08:00","-18.2","","-20.8","","79","","","","33","","16","","","","102.79","","","","-27","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 09:00","2019","04","02","09:00","-17.4","","-20.8","","75","","","","33","","7","","","","102.86","","","","-23","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 10:00","2019","04","02","10:00","-16.1","","-20.0","","72","","","","32","","14","","","","102.83","","","","-24","","NA"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2019-04-02 11:00","2019","04","02","11:00","-14.9","","-19.2","","70","","","","33","","13","","","","102.81","","","","-22","","NA"
