"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 00:00","2018","03","01","00:00","-10.3","","-11.1","","94","","0.0","","2","","2","","","","101.91","","","","-11","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 01:00","2018","03","01","01:00","-10.0","","-11.0","","93","","0.0","","1","","1","","","","101.96","","","","-11","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 02:00","2018","03","01","02:00","-9.2","","-10.2","","93","","0.0","","35","","1","","","","101.98","","","","-10","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 03:00","2018","03","01","03:00","-8.7","","-9.8","","92","","0.0","","36","","3","","","","101.96","","","","-10","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 04:00","2018","03","01","04:00","-5.0","","-6.1","","92","","0.0","","7","","13","","","","101.94","","","","-10","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 05:00","2018","03","01","05:00","-5.0","","-6.3","","90","","0.0","","8","","10","","","","101.97","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 06:00","2018","03","01","06:00","-4.2","","-5.5","","91","","0.0","","8","","13","","","","101.97","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 07:00","2018","03","01","07:00","-3.6","","-5.4","","88","","0.0","","8","","16","","","","101.96","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 08:00","2018","03","01","08:00","-2.9","","-4.3","","90","","0.0","","8","","13","","","","102.00","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 09:00","2018","03","01","09:00","-2.6","","-4.2","","88","","0.0","","7","","15","","","","102.01","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 10:00","2018","03","01","10:00","-2.8","","-4.3","","89","","0.0","","8","","20","","","","102.02","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 11:00","2018","03","01","11:00","-2.1","","-3.6","","89","","0.0","","8","","20","","","","102.02","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 12:00","2018","03","01","12:00","-1.2","","-2.8","","89","","0.0","","8","","17","","","","102.00","","","","-6","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 13:00","2018","03","01","13:00","-2.4","","-3.4","","93","","0.0","","7","","21","","","","101.99","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 14:00","2018","03","01","14:00","-1.7","","-2.7","","93","","0.0","","8","","20","","","","102.01","","","","-7","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 15:00","2018","03","01","15:00","-2.2","","-3.1","","94","","0.0","","8","","20","","","","102.03","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 16:00","2018","03","01","16:00","-2.5","","-3.1","","96","","0.0","","6","","18","","","","102.05","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 17:00","2018","03","01","17:00","-2.7","","-3.3","","96","","0.0","","7","","20","","","","102.08","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 18:00","2018","03","01","18:00","-2.9","","-3.3","","97","","0.0","","7","","16","","","","102.06","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 19:00","2018","03","01","19:00","-3.1","","-3.6","","97","","0.0","","7","","15","","","","102.06","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 20:00","2018","03","01","20:00","-4.0","","-4.5","","96","","0.0","","7","","15","","","","102.07","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 21:00","2018","03","01","21:00","-4.4","","-5.0","","96","","0.0","","9","","12","","","","102.05","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 22:00","2018","03","01","22:00","-4.7","","-5.3","","95","","0.0","","8","","12","","","","102.00","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-01 23:00","2018","03","01","23:00","-4.7","","-5.3","","95","","0.0","","8","","11","","","","101.99","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 00:00","2018","03","02","00:00","-4.5","","-5.2","","95","","0.0","","8","","13","","","","101.97","","","","-10","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 01:00","2018","03","02","01:00","-4.3","","-4.9","","96","","0.0","","9","","15","","","","101.95","","","","-10","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 02:00","2018","03","02","02:00","-4.6","","-5.2","","95","","0.0","","9","","9","","","","101.95","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 03:00","2018","03","02","03:00","-4.1","","-4.7","","96","","0.0","","8","","12","","","","101.88","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 04:00","2018","03","02","04:00","-4.2","","-4.8","","96","","0.0","","7","","10","","","","101.93","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 05:00","2018","03","02","05:00","-4.4","","-5.1","","95","","0.0","","7","","10","","","","101.92","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 06:00","2018","03","02","06:00","-4.4","","-5.1","","95","","0.0","","7","","12","","","","101.89","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 07:00","2018","03","02","07:00","-4.0","","-4.6","","96","","0.0","","7","","13","","","","101.85","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 08:00","2018","03","02","08:00","-3.5","","-4.0","","96","","0.0","","8","","11","","","","101.87","","","","-8","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 09:00","2018","03","02","09:00","-3.4","","-4.0","","96","","0.0","","6","","15","","","","101.90","","","","-9","","NA"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2018-03-02 10:00","2018","03","02","10:00","-2.9","","-3.5","","96","","0.0","","6","","16","","","","101.87","","","","-8","","NA"
