"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 00:00","2012","02","01","00:00","-3.6","","-5.5","","87","","","","28","","15","","","","93.18","","","","-9","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 01:00","2012","02","01","01:00","-4.8","","-6.4","","89","","","","26","","13","","","","93.26","","","","-10","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 02:00","2012","02","01","02:00","-5.7","","-7.1","","90","","","","25","","13","","","","93.28","","","","-11","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 03:00","2012","02","01","03:00","-6.8","","-8.2","","90","","","","22","","11","","","","93.30","","","","-12","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 04:00","2012","02","01","04:00","-6.8","","-8.0","","91","","","","23","","13","","","","93.32","","","","-12","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 05:00","2012","02","01","05:00","-7.4","","-8.9","","89","","","","19","","6","","","","93.30","","","","-11","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 06:00","2012","02","01","06:00","-8.4","","-10.0","","88","","","","17","","13","","","","93.33","","","","-14","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 07:00","2012","02","01","07:00","-7.6","","-9.3","","88","","","","18","","17","","","","93.31","","","","-14","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 08:00","2012","02","01","08:00","-7.5","","-9.3","","87","","","","16","","11","","","","93.30","","","","-13","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 09:00","2012","02","01","09:00","-5.9","","-7.8","","86","","","","16","","15","","","","93.26","","","","-12","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 10:00","2012","02","01","10:00","-4.4","","-6.3","","87","","","","15","","13","","","","93.26","","","","-9","","NA"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2012-02-01 11:00","2012","02","01","11:00","-2.0","","-4.3","","84","","","","17","","11","","","","93.24","","","","-6","","NA"
