"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 00:00","2012","02","01","00:00","-2.8","","-3.2","","97","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 01:00","2012","02","01","01:00","-2.4","","-2.9","","96","","","","3","","2","","","","","M","","","-3","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 02:00","2012","02","01","02:00","-2.3","","-2.9","","96","","","","6","","2","","","","","M","","","-3","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 03:00","2012","02","01","03:00","-1.9","","-2.5","","96","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 04:00","2012","02","01","04:00","-1.8","","-2.4","","96","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 05:00","2012","02","01","05:00","-1.2","","-1.7","","96","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 06:00","2012","02","01","06:00","-1.0","","-1.5","","96","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 07:00","2012","02","01","07:00","-0.5","","-0.8","","98","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 08:00","2012","02","01","08:00","0.2","","-0.1","","98","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 09:00","2012","02","01","09:00","0.3","","0.0","","98","","","","16","","2","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 10:00","2012","02","01","10:00","0.5","","0.3","","99","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 11:00","2012","02","01","11:00","0.9","","0.7","","99","","","","21","","2","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 12:00","2012","02","01","12:00","1.4","","1.2","","99","","","","","","0","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 13:00","2012","02","01","13:00","2.3","","2.3","","100","","","","33","","4","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 14:00","2012","02","01","14:00","3.5","","2.9","","96","","","","28","","11","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 15:00","2012","02","01","15:00","3.4","","2.8","","96","","","","28","","9","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 16:00","2012","02","01","16:00","3.0","","1.9","","92","","","","28","","17","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 17:00","2012","02","01","17:00","1.4","","0.5","","94","","","","28","","13","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 18:00","2012","02","01","18:00","1.0","","0.3","","95","","","","27","","15","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 19:00","2012","02","01","19:00","1.0","","-0.3","","91","","","","28","","11","","","","","M","","","","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 20:00","2012","02","01","20:00","0.0","","-0.5","","96","","","","31","","9","","","","","M","","","-3","","NA"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2012-02-01 21:00","2012","02","01","21:00","-0.3","","-1.0","","95","","","","28","","9","","","","","M","","","-3","","NA"
