"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 00:30","2019","04","01","00:30","3.6","","3.1","","97","","","M","20","","27","","","","101.51","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 01:30","2019","04","01","01:30","0.8","","0.4","","98","","","M","17","","13","","","","101.41","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 02:30","2019","04","01","02:30","0.9","","0.6","","98","","","M","18","","28","","","","101.25","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 03:30","2019","04","01","03:30","0.6","","0.3","","98","","","M","17","","19","","","","101.19","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 04:30","2019","04","01","04:30","0.5","","0.3","","98","","","M","16","","8","","","","101.08","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 05:30","2019","04","01","05:30","0.3","","0.0","","98","","","M","14","","5","","","","100.94","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 06:30","2019","04","01","06:30","0.6","","0.4","","99","","","M","16","","14","","","","100.79","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 07:30","2019","04","01","07:30","0.4","","0.2","","99","","","M","13","","31","","","","100.57","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 08:30","2019","04","01","08:30","0.9","","0.7","","99","","","M","14","","18","","","","100.43","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 09:30","2019","04","01","09:30","1.2","","0.9","","98","","","M","13","","17","","","","100.27","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 10:30","2019","04","01","10:30","1.9","","1.6","","98","","","M","22","","18","","","","100.17","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 11:30","2019","04","01","11:30","2.5","","2.2","","98","","","M","19","","16","","","","100.03","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 12:30","2019","04","01","12:30","5.7","","5.3","","97","","","M","21","","22","","","","99.99","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 13:30","2019","04","01","13:30","7.2","","6.7","","97","","","M","21","","28","","","","99.89","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 14:30","2019","04","01","14:30","7.5","","6.6","","94","","","M","21","","32","","","","99.79","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 15:30","2019","04","01","15:30","9.0","","7.3","","89","","","M","21","","50","","","","99.66","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 16:30","2019","04","01","16:30","6.6","","5.6","","93","","","M","21","","41","","","","99.65","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 17:30","2019","04","01","17:30","5.1","","4.3","","95","","","M","21","","41","","","","99.55","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 18:30","2019","04","01","18:30","5.6","","5.0","","96","","","M","21","","33","","","","99.42","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 19:30","2019","04","01","19:30","4.2","","3.8","","97","","","M","20","","32","","","","99.39","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 20:30","2019","04","01","20:30","4.9","","4.5","","97","","","M","21","","36","","","","99.33","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 21:30","2019","04","01","21:30","5.6","","5.2","","97","","","M","23","","37","","","","99.31","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 22:30","2019","04","01","22:30","6.4","","4.8","","90","","","M","25","","40","","","","99.37","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-01 23:30","2019","04","01","23:30","4.5","","1.1","","79","","","M","25","","42","","","","99.50","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 00:30","2019","04","02","00:30","3.1","","-1.5","","72","","","M","27","","37","","","","99.67","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 01:30","2019","04","02","01:30","0.7","","-4.7","","67","","","M","28","","51","","","","99.87","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 02:30","2019","04","02","02:30","0.4","","-6.1","","62","","","M","26","","33","","","","99.94","","","","","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 03:30","2019","04","02","03:30","-0.1","","-6.1","","64","","","M","26","","34","","","","100.04","","","","-7","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 04:30","2019","04","02","04:30","-0.3","","-7.1","","60","","","M","27","","44","","","","100.14","","","","-8","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 05:30","2019","04","02","05:30","-0.6","","-7.8","","58","","","M","27","","42","","","","100.26","","","","-8","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 06:30","2019","04","02","06:30","-0.6","","-8.4","","56","","","M","27","","46","","","","100.47","","","","-9","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 07:30","2019","04","02","07:30","0.0","","-7.8","","56","","","M","28","","48","","","","100.67","","","","-8","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 08:30","2019","04","02","08:30","0.0","","-9.4","","49","","","M","28","","63","","","","100.77","","","","-9","","NA"
"-53.58","49.11","POOLS ISLAND","840BR7C","2019-04-02 09:30","2019","04","02","09:30","1.0","","-9.0","","47","","","M","28","","51","","","","101.02","","","","","","NA"
