"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 00:00","2019","02","01","00:00","-26.4","","-28.8","","80","","","","34","","17","","","M","","M","","","-38","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 01:00","2019","02","01","01:00","-26.6","","-29.2","","80","","","","34","","13","","","M","","M","","","-36","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 02:00","2019","02","01","02:00","-26.3","","-28.7","","80","","","","36","","9","","","M","","M","","","-34","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 03:00","2019","02","01","03:00","-28.0","","-30.5","","79","","","","32","","8","","","M","","M","","","-36","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 04:00","2019","02","01","04:00","-27.5","","-30.0","","79","","","","29","","8","","","M","","M","","","-35","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 05:00","2019","02","01","05:00","-28.1","","-30.6","","79","","","","29","","9","","","M","","M","","","-36","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 06:00","2019","02","01","06:00","-27.0","","-29.4","","79","","","","28","","8","","","M","","M","","","-34","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 07:00","2019","02","01","07:00","-25.5","","-27.9","","81","","","","30","","9","","","M","","M","","","-33","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 08:00","2019","02","01","08:00","-25.8","","-28.2","","80","","","","30","","8","","","M","","M","","","-33","","NA"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2019-02-01 09:00","2019","02","01","09:00","-25.9","","-28.3","","80","","","","26","","5","","","M","","M","","","-31","","NA"
