"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 00:00","2018","03","01","00:00","-6.8","","","","","M","","","","M","","M","","","95.88","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 01:00","2018","03","01","01:00","-6.8","","","","","M","","","","M","","M","","","95.84","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 02:00","2018","03","01","02:00","-6.8","","","","","M","","","","M","","M","","","95.78","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 03:00","2018","03","01","03:00","-7.2","","","","","M","","","","M","","M","","","95.63","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 04:00","2018","03","01","04:00","-7.9","","","","","M","","","","M","","M","","","95.66","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 05:00","2018","03","01","05:00","-8.7","","","","","M","","","","M","","M","","","95.69","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 06:00","2018","03","01","06:00","-9.1","","","","","M","","","","M","","M","","","95.75","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 07:00","2018","03","01","07:00","-9.0","","","","","M","","","","M","","M","","","95.81","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 08:00","2018","03","01","08:00","-9.0","","","","","M","","","","M","","M","","","95.81","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 09:00","2018","03","01","09:00","-8.8","","","","","M","","","","M","","M","","","95.84","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 10:00","2018","03","01","10:00","-8.6","","","","","M","","","","M","","M","","","95.90","","","","","","NA"
"-63.58","64.96","CAPE MERCY","2400F63","2018-03-01 11:00","2018","03","01","11:00","-8.5","","","","","M","","","","M","","M","","","95.92","","","","","","NA"
