"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 00:00","2019","04","01","00:00","-0.8","","-3.5","","82","","0.0","","29","","9","","","","","","","","-4","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 01:00","2019","04","01","01:00","-1.6","","-4.2","","82","","0.0","","30","","14","","","","","","","","-6","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 02:00","2019","04","01","02:00","-2.3","","-6.4","","74","","0.0","","30","","12","","","","","","","","-7","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 03:00","2019","04","01","03:00","-2.8","","-7.1","","72","","0.0","","30","","14","","","","","","","","-8","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 04:00","2019","04","01","04:00","-3.9","","-9.0","","68","","0.0","","29","","14","","","","","","","","-9","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 05:00","2019","04","01","05:00","-4.8","","-10.9","","62","","0.0","","29","","13","","","","","","","","-10","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 06:00","2019","04","01","06:00","-5.5","","-10.9","","66","","0.0","","29","","14","","","","","","","","-11","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 07:00","2019","04","01","07:00","-5.7","","-12.3","","60","","0.0","","29","","17","","","","","","","","-12","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 08:00","2019","04","01","08:00","-5.7","","-13.4","","54","","0.0","","28","","19","","","","","","","","-12","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 09:00","2019","04","01","09:00","-5.1","","-13.6","","51","","0.0","","28","","18","","","","","","","","-11","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 10:00","2019","04","01","10:00","-4.2","","-13.0","","50","","0.0","","29","","20","","","","","","","","-11","","NA"
"-73.35","45.29","L'ACADIE","702LED4","2019-04-01 11:00","2019","04","01","11:00"
