"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 00:00","2019","04","01","00:00","-5.4","","-8.3","","80","","0.0","","29","","5","","","","98.40","","","","-8","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 01:00","2019","04","01","01:00","-6.6","","-10.0","","77","","0.0","","31","","5","","","","98.45","","","","-9","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 02:00","2019","04","01","02:00","-7.8","","-10.9","","78","","0.0","","30","","5","","","","98.50","","","","-10","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 03:00","2019","04","01","03:00","-8.8","","-12.0","","78","","0.0","","31","","5","","","","98.54","","","","-12","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 04:00","2019","04","01","04:00","-9.7","","-12.9","","78","","0.0","","31","","4","","","","98.62","","","","-12","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 05:00","2019","04","01","05:00","-10.6","","-13.5","","79","","0.0","","30","","3","","","","98.69","","","","-12","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 06:00","2019","04","01","06:00","-11.0","","-14.0","","79","","0.0","","29","","4","","","","98.80","","","","-13","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 07:00","2019","04","01","07:00","-10.2","","-14.9","","68","","0.0","","30","","5","","","","98.87","","","","-13","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 08:00","2019","04","01","08:00","-8.2","","-14.6","","60","","0.0","","29","","5","","","","98.95","","","","-11","","NA"
"-74.56","46.08","ST-JOVITE","703GDKB","2019-04-01 09:00","2019","04","01","09:00","-6.6","","-13.6","","58","","0.0","","30","","6","","","","99.03","","","","-10","","NA"
