"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 00:00","2019","02","01","00:00","-20.2","","-28.0","","50","","0.0","","25","","17","","","","101.60","","","","-30","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 01:00","2019","02","01","01:00","-20.5","","-28.7","","48","","0.0","","24","","20","","","","101.61","","","","-31","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 02:00","2019","02","01","02:00","-21.1","","-28.0","","54","","0.0","","27","","12","","","","101.67","","","","-29","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 03:00","2019","02","01","03:00","-21.0","","-26.6","","60","","0.0","","27","","10","","","","101.70","","","","-28","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 04:00","2019","02","01","04:00","-19.8","","-25.1","","63","","0.0","","25","","17","","","","101.62","","","","-29","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 05:00","2019","02","01","05:00","-18.9","","-24.3","","62","","0.0","","26","","15","","","","101.62","","","","-28","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 06:00","2019","02","01","06:00","-19.1","","-26.0","","54","","0.0","","26","","14","","","","101.69","","","","-28","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 07:00","2019","02","01","07:00","-19.8","","-27.7","","50","","0.0","","25","","15","","","","101.75","","","","-29","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 08:00","2019","02","01","08:00","-19.7","","-27.0","","52","","0.0","","26","","13","","","","101.84","","","","-28","","NA"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2019-02-01 09:00","2019","02","01","09:00","-18.6","","-25.3","","55","","0.0","","25","","20","","","","101.87","","","","-29","","NA"
