"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 00:00","2019","02","01","00:00","-15.0","","-20.4","","63","","0.0","","26","","24","","","","101.68","","","","-25","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 01:00","2019","02","01","01:00","-15.5","","-21.5","","60","","0.0","","26","","24","","","","101.72","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 02:00","2019","02","01","02:00","-16.0","","-22.1","","60","","0.0","","25","","22","","","","101.76","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 03:00","2019","02","01","03:00","-16.4","","-22.5","","59","","0.0","","24","","18","","","","101.79","","","","-25","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 04:00","2019","02","01","04:00","-17.1","","-22.9","","61","","0.0","","25","","17","","","","101.81","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 05:00","2019","02","01","05:00","-17.4","","-22.8","","63","","0.0","","24","","16","","","","101.88","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 06:00","2019","02","01","06:00","-17.6","","-22.8","","64","","0.0","","24","","16","","","","101.92","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 07:00","2019","02","01","07:00","-18.0","","-23.0","","65","","0.0","","24","","16","","","","101.96","","","","-27","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 08:00","2019","02","01","08:00","-18.3","","-23.5","","63","","0.0","","25","","15","","","","102.06","","","","-27","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 09:00","2019","02","01","09:00","-17.3","","-23.1","","61","","0.0","","26","","18","","","","102.13","","","","-27","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 10:00","2019","02","01","10:00","-16.2","","-22.6","","58","","0.0","","25","","21","","","","102.13","","","","-26","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 11:00","2019","02","01","11:00","-15.0","","-23.3","","49","","0.0","","25","","26","","","","102.13","","","","-25","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 12:00","2019","02","01","12:00","-14.5","","-23.2","","48","","0.0","","25","","26","","","","102.10","","","","-25","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 13:00","2019","02","01","13:00","-13.9","","-23.4","","45","","0.0","","25","","26","","","","102.05","","","","-24","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 14:00","2019","02","01","14:00","-13.2","","-23.3","","42","","0.0","","26","","24","","","","102.01","","","","-23","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 15:00","2019","02","01","15:00","-12.6","","-23.2","","41","","0.0","","25","","22","","","","102.02","","","","-22","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2019-02-01 16:00","2019","02","01","16:00","-12.3","","-25.0","","34","","0.0","","26","","21","","","","102.07","","","","-21","","NA"
