"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 00:00","2012","02","01","00:00","-11.1","","-13.1","","85","","","","4","","2","","","","99.39","","","","-12","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 01:00","2012","02","01","01:00","-10.8","","-12.8","","85","","","","34","","9","","","","99.31","","","","-16","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 02:00","2012","02","01","02:00","-10.8","","-12.7","","86","","","","35","","4","","","","99.24","","","","-13","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 03:00","2012","02","01","03:00","-10.9","","-12.9","","85","","","","8","","2","","","","99.10","","","","-12","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 04:00","2012","02","01","04:00","-10.6","","-12.5","","86","","","","","","0","","","","98.98","","","","","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 05:00","2012","02","01","05:00","-10.0","","-11.8","","87","","","","32","","6","","","","98.88","","","","-14","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 06:00","2012","02","01","06:00","-10.3","","-12.2","","86","","","","","","0","","","","98.84","","","","","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 07:00","2012","02","01","07:00","-10.0","","-11.9","","86","","","","","","0","","","","98.82","","","","","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 08:00","2012","02","01","08:00","-9.2","","-11.0","","87","","","","32","","6","","","","98.81","","","","-13","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 09:00","2012","02","01","09:00","-8.9","","-10.9","","85","","","","34","","7","","","","98.81","","","","-13","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 10:00","2012","02","01","10:00","-9.2","","-12.1","","79","","","","34","","11","","","","98.79","","","","-15","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 11:00","2012","02","01","11:00","-9.0","","-12.0","","79","","","","35","","9","","","","98.76","","","","-14","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 12:00","2012","02","01","12:00","-8.8","","-11.5","","81","","","","36","","6","","","","98.73","","","","-12","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 13:00","2012","02","01","13:00","-9.0","","-11.0","","85","","","","35","","9","","","","98.73","","","","-14","","NA"
"-72.79","47.41","LA TUQUE","707DBD4","2012-02-01 14:00","2012","02","01","14:00","-9.0","","-11.3","","83","","","","35","","11","","","","98.74","","","","-14","","NA"
