"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 00:00","2018","04","01","00:00","-13.7","","-16.6","","79","","0.0","","24","","23","","","","98.71","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 01:00","2018","04","01","01:00","-14.4","","-16.8","","82","","0.0","","22","","21","","","","98.67","","","","-24","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 02:00","2018","04","01","02:00","-13.2","","-16.1","","79","","0.0","","24","","26","","","","98.58","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 03:00","2018","04","01","03:00","-12.7","","-15.8","","78","","0.0","","25","","30","","","","98.53","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 04:00","2018","04","01","04:00","-13.2","","-16.0","","79","","0.0","","25","","27","","","","98.52","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 05:00","2018","04","01","05:00","-13.1","","-16.1","","78","","0.0","","25","","28","","","","98.52","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 06:00","2018","04","01","06:00","-13.8","","-16.5","","80","","0.0","","25","","23","","","","98.50","","","","-23","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 07:00","2018","04","01","07:00","-13.3","","-16.4","","77","","0.0","","25","","28","","","","98.45","","","","-24","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 08:00","2018","04","01","08:00","-12.7","","-15.9","","77","","0.0","","25","","25","","","","98.47","","","","-22","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 09:00","2018","04","01","09:00","-11.0","","-14.7","","74","","0.0","","25","","26","","","","98.45","","","","-20","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 10:00","2018","04","01","10:00","-9.5","","-13.8","","71","","0.0","","25","","26","","","","98.46","","","","-18","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 11:00","2018","04","01","11:00","-7.8","","-12.9","","67","","0.0","","26","","24","","","","98.47","","","","-16","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 12:00","2018","04","01","12:00","-6.5","","-12.4","","63","","0.0","","26","","23","","","","98.43","","","","-14","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 13:00","2018","04","01","13:00","-5.4","","-12.1","","59","","0.0","","26","","20","","","","98.38","","","","-12","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 14:00","2018","04","01","14:00","-4.7","","-10.7","","63","","0.0","","26","","21","","","","98.34","","","","-11","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 15:00","2018","04","01","15:00","-5.4","","-12.6","","57","","0.0","","31","","18","","","","98.31","","","","-12","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 16:00","2018","04","01","16:00","-5.0","","-13.3","","52","","0.0","","30","","15","","","","98.27","","","","-11","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 17:00","2018","04","01","17:00","-4.7","","-13.4","","51","","0.0","","36","","13","","","","98.27","","","","-10","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 18:00","2018","04","01","18:00","-5.5","","-13.5","","53","","0.0","","36","","12","","","","98.28","","","","-10","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 19:00","2018","04","01","19:00","-7.0","","-12.9","","63","","0.0","","35","","11","","","","98.33","","","","-12","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 20:00","2018","04","01","20:00","-9.7","","-14.8","","66","","0.0","","4","","21","","","","98.46","","","","-18","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 21:00","2018","04","01","21:00","-12.7","","-17.7","","66","","0.0","","3","","25","","","","98.57","","","","-22","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 22:00","2018","04","01","22:00","-14.6","","-19.4","","67","","0.0","","3","","21","","","","98.65","","","","-24","","NA"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2018-04-01 23:00","2018","04","01","23:00","-15.3","","-20.7","","63","","0.0","","3","","15","","","","98.72","","","","-23","","NA"
