"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 00:00","2019","02","01","00:00","3.7","","-4.1","","56","","0.0","","32","","32","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 01:00","2019","02","01","01:00","3.6","","-4.3","","56","","0.0","","31","","23","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 02:00","2019","02","01","02:00","4.2","","-4.5","","53","","0.0","","30","","32","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 03:00","2019","02","01","03:00","4.5","","-4.7","","51","","0.0","","31","","29","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 04:00","2019","02","01","04:00","4.5","","-5.3","","49","","0.0","","31","","24","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 05:00","2019","02","01","05:00","4.8","","-5.2","","48","","0.0","","30","","26","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 06:00","2019","02","01","06:00","4.9","","-4.8","","49","","0.0","","31","","23","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 07:00","2019","02","01","07:00","5.0","","-3.9","","52","","0.0","","30","","30","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 08:00","2019","02","01","08:00","5.0","","-3.0","","56","","0.0","","31","","19","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 09:00","2019","02","01","09:00","4.7","","-2.4","","60","","0.0","","30","","26","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 10:00","2019","02","01","10:00","5.3","","-4.0","","51","","0.0","","31","","18","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 11:00","2019","02","01","11:00","5.9","","-3.6","","50","","0.0","","29","","19","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 12:00","2019","02","01","12:00","6.5","","-2.3","","53","","0.0","","29","","18","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 13:00","2019","02","01","13:00","5.9","","-1.6","","59","","0.0","","31","","18","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 14:00","2019","02","01","14:00","4.6","","-0.4","","70","","0.0","","31","","18","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 15:00","2019","02","01","15:00","4.1","","0.5","","78","","0.0","","32","","12","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 16:00","2019","02","01","16:00","4.7","","0.5","","74","","0.0","","29","","15","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 17:00","2019","02","01","17:00","0.4","","-2.0","","84","","","","10","","11","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 18:00","2019","02","01","18:00","0.0","","-0.9","","94","","","","12","","9","","","","","","","","-3","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 19:00","2019","02","01","19:00","0.1","","-0.2","","98","","","","13","","4","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 20:00","2019","02","01","20:00","-1.2","","-1.7","","96","","","","11","","9","","","","","","","","-4","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 21:00","2019","02","01","21:00","-2.4","","-2.7","","98","","","","11","","5","","","","","","","","-4","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 22:00","2019","02","01","22:00","-1.1","","-1.2","","100","","","","12","","3","","","","","","","","-2","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-01 23:00","2019","02","01","23:00","3.1","","0.9","","86","","0.0","","25","","7","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 00:00","2019","02","02","00:00","5.0","","0.6","","73","","0.4","","23","","8","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 01:00","2019","02","02","01:00","3.4","","1.2","","85","","0.0","","16","","3","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 02:00","2019","02","02","02:00","3.9","","1.5","","84","","0.0","","21","","6","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 03:00","2019","02","02","03:00","3.4","","1.1","","84","","0.2","","17","","4","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 04:00","2019","02","02","04:00","3.1","","1.6","","90","","0.0","","20","","3","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 05:00","2019","02","02","05:00","1.9","","1.6","","98","","0.6","","15","","6","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 06:00","2019","02","02","06:00","1.4","","1.3","","99","","0.6","","17","","4","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 07:00","2019","02","02","07:00","1.4","","1.2","","98","","0.2","","17","","6","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 08:00","2019","02","02","08:00","2.6","","0.9","","88","","0.0","","28","","14","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 09:00","2019","02","02","09:00","2.9","","-2.1","","70","","0.0","","28","","15","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 10:00","2019","02","02","10:00","3.3","","-1.7","","70","","0.4","","27","","11","","","","","","","","","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 11:00","2019","02","02","11:00","-6.8","","-9.6","","81","","","","13","","27","","","","","","","","-15","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 12:00","2019","02","02","12:00","-11.1","","-13.6","","82","","","","13","","35","","","","","","","","-22","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 13:00","2019","02","02","13:00","-13.5","","-15.9","","82","","","","14","","36","","","","","","","","-25","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 14:00","2019","02","02","14:00","-14.5","","-17.4","","79","","","","13","","35","","","","","","","","-26","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 15:00","2019","02","02","15:00","-15.3","","-18.2","","78","","","","13","","32","","","","","","","","-27","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 16:00","2019","02","02","16:00","-15.9","","-19.1","","77","","","","13","","33","","","","","","","","-28","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 17:00","2019","02","02","17:00","-17.2","","-20.6","","75","","","","13","","31","","","","","","","","-29","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 18:00","2019","02","02","18:00","-18.1","","-21.3","","76","","","","12","","24","","","","","","","","-29","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 19:00","2019","02","02","19:00","-18.8","","-22.1","","76","","","","12","","22","","","","","","","","-29","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 20:00","2019","02","02","20:00","-19.4","","-22.9","","74","","","","12","","23","","","","","","","","-30","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 21:00","2019","02","02","21:00","-19.9","","-23.4","","74","","","","13","","24","","","","","","","","-31","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 22:00","2019","02","02","22:00","-20.3","","-23.5","","76","","","","13","","24","","","","","","","","-32","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-02 23:00","2019","02","02","23:00","-20.7","","-24.1","","74","","","","13","","22","","","","","","","","-32","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 00:00","2019","02","03","00:00","-21.1","","-24.5","","74","","","","13","","22","","","","","","","","-32","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 01:00","2019","02","03","01:00","-21.4","","-25.3","","71","","","","13","","21","","","","","","","","-32","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 02:00","2019","02","03","02:00","-21.6","","-24.9","","75","","","","13","","18","","","","","","","","-32","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 03:00","2019","02","03","03:00","-22.0","","-26.0","","70","","","","12","","21","","","","","","","","-33","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 04:00","2019","02","03","04:00","-22.1","","-25.5","","74","","","","13","","18","","","","","","","","-33","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 05:00","2019","02","03","05:00","-22.7","","-26.3","","72","","","","13","","19","","","","","","","","-34","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 06:00","2019","02","03","06:00","-23.1","","-26.8","","72","","","","13","","19","","","","","","","","-34","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 07:00","2019","02","03","07:00","-23.4","","-26.8","","73","","","","14","","17","","","","","","","","-34","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 08:00","2019","02","03","08:00","-23.5","","-27.1","","73","","","","13","","22","","","","","","","","-35","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 09:00","2019","02","03","09:00","-23.8","","-27.5","","72","","","","13","","18","","","","","","","","-35","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 10:00","2019","02","03","10:00","-23.8","","-27.4","","73","","","","13","","22","","","","","","","","-36","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 11:00","2019","02","03","11:00","-23.8","","-27.5","","71","","","","12","","20","","","","","","","","-35","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 12:00","2019","02","03","12:00","-24.0","","-27.9","","70","","","","12","","22","","","","","","","","-36","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 13:00","2019","02","03","13:00","-24.2","","-28.4","","68","","","","12","","20","","","","","","","","-36","","NA"
"-114.48","49.63","CROWSNEST","3051R4R","2019-02-03 14:00","2019","02","03","14:00","-24.3","","-28.7","","67","","","","12","","22","","","","","","","","-36","","NA"
