"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 00:00","2019","03","01","00:00","-10.8","","-16.6","","62","","0.0","","36","","15","","","","85.96","","","","-18","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 01:00","2019","03","01","01:00","-12.6","","-17.5","","67","","0.0","","36","","14","","","","86.05","","","","-20","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 02:00","2019","03","01","02:00","-14.9","","-20.2","","64","","0.0","","35","","21","","","","86.09","","","","-24","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 03:00","2019","03","01","03:00","-15.4","","-21.3","","61","","0.0","","35","","23","","","","86.23","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 04:00","2019","03","01","04:00","-17.3","","-22.5","","64","","0.0","","26","","4","","","","86.31","","","","-20","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 05:00","2019","03","01","05:00","-17.3","","-24.4","","54","","0.0","","36","","17","","","","86.35","","","","-26","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 06:00","2019","03","01","06:00","-20.2","","-23.4","","76","","0.0","","17","","6","","","","86.44","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 07:00","2019","03","01","07:00","-23.3","","-26.1","","78","","0.0","","35","","4","","","","86.51","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 08:00","2019","03","01","08:00","-23.8","","-27.1","","74","","0.0","","35","","3","","","","86.59","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 09:00","2019","03","01","09:00","-24.3","","-27.2","","77","","0.0","","3","","2","","","","86.57","","","","-26","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 10:00","2019","03","01","10:00","-20.1","","-25.8","","60","","0.0","","35","","5","","","","86.56","","","","-24","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 11:00","2019","03","01","11:00","-18.6","","-26.9","","48","","0.0","","35","","13","","","","86.62","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 12:00","2019","03","01","12:00","-17.6","","-27.2","","43","","0.0","","34","","14","","","","86.64","","","","-26","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 13:00","2019","03","01","13:00","-16.9","","-28.2","","37","","0.0","","34","","13","","","","86.64","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 14:00","2019","03","01","14:00","-16.4","","-27.9","","36","","0.0","","34","","16","","","","86.61","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 15:00","2019","03","01","15:00","-16.5","","-28.5","","35","","0.0","","35","","16","","","","86.65","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 16:00","2019","03","01","16:00","-16.3","","-27.9","","36","","0.0","","34","","10","","","","86.68","","","","-23","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 17:00","2019","03","01","17:00","-17.0","","-26.0","","46","","0.0","","19","","5","","","","86.71","","","","-21","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 18:00","2019","03","01","18:00","-18.6","","-27.1","","47","","0.0","","17","","6","","","","86.75","","","","-23","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 19:00","2019","03","01","19:00","-21.7","","-29.3","","50","","0.0","","34","","6","","","","86.79","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 20:00","2019","03","01","20:00","-24.8","","-30.1","","61","","0.0","","36","","1","","","","86.83","","","","-26","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 21:00","2019","03","01","21:00","-26.2","","-30.7","","66","","0.0","","3","","1","","","","86.87","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 22:00","2019","03","01","22:00","-28.2","","-31.9","","70","","0.0","","","","0","","","","86.90","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-01 23:00","2019","03","01","23:00","-30.3","","-33.7","","72","","0.0","","","","0","","","","86.98","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 00:00","2019","03","02","00:00","-30.5","","-33.8","","73","","0.2","","","","0","","","","86.99","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 01:00","2019","03","02","01:00","-32.5","","-35.7","","73","","0.0","","","","0","","","","86.97","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 02:00","2019","03","02","02:00","-34.0","","-37.4","","71","","0.0","","","","0","","","","86.99","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 03:00","2019","03","02","03:00","-35.0","","-38.6","","69","","0.0","","","","0","","","","87.05","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 04:00","2019","03","02","04:00","-35.8","","-39.3","","70","","0.0","","","","0","","","","86.96","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 05:00","2019","03","02","05:00","-36.5","","-40.2","","69","","0.0","","","","0","","","","87.01","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 06:00","2019","03","02","06:00","-38.7","","-43.2","","63","","0.2","","0","","1","","","","87.08","","","","-40","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 07:00","2019","03","02","07:00","-38.5","","-42.5","","66","","0.0","","","","0","","","","87.09","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 08:00","2019","03","02","08:00","-39.1","","-43.3","","64","","0.0","","","","0","","","","87.09","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 09:00","2019","03","02","09:00","-37.6","","-41.5","","66","","0.0","","","","0","","","","87.09","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 10:00","2019","03","02","10:00","-31.0","","-35.7","","63","","0.2","","6","","2","","","","87.10","","","","-33","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 11:00","2019","03","02","11:00","-20.1","","-29.5","","43","","0.0","","","","0","","","","87.08","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 12:00","2019","03","02","12:00","-19.4","","-29.9","","39","","0.0","","21","","5","","","","87.10","","","","-24","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 13:00","2019","03","02","13:00","-16.1","","-29.3","","31","","0.0","","19","","2","","","","87.05","","","","-18","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 14:00","2019","03","02","14:00","-15.9","","-27.8","","35","","0.0","","34","","10","","","","87.02","","","","-22","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 15:00","2019","03","02","15:00","-14.5","","-27.1","","34","","0.0","","32","","8","","","","87.01","","","","-20","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 16:00","2019","03","02","16:00","-15.7","","-28.7","","32","","0.0","","34","","18","","","","87.04","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 17:00","2019","03","02","17:00","-15.6","","-28.5","","32","","0.0","","35","","11","","","","87.08","","","","-22","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 18:00","2019","03","02","18:00","-18.5","","-28.4","","42","","0.0","","19","","3","","","","87.12","","","","-21","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 19:00","2019","03","02","19:00","-23.0","","-29.4","","56","","0.0","","34","","2","","","","87.14","","","","-25","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 20:00","2019","03","02","20:00","-25.6","","-31.2","","59","","0.2","","0","","1","","","","87.18","","","","-27","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 21:00","2019","03","02","21:00","-27.9","","-32.9","","63","","0.2","","0","","1","","","","87.18","","","","-29","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 22:00","2019","03","02","22:00","-30.0","","-34.5","","65","","0.0","","","","0","","","","87.25","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-02 23:00","2019","03","02","23:00","-31.3","","-35.2","","69","","0.2","","","","0","","","","87.18","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 00:00","2019","03","03","00:00","-32.3","","-36.1","","69","","0.0","","","","0","","","","87.25","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 01:00","2019","03","03","01:00","-33.3","","-37.0","","69","","0.0","","","","0","","","","87.26","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 02:00","2019","03","03","02:00","-33.9","","-37.3","","71","","0.0","","","","0","","","","87.28","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 03:00","2019","03","03","03:00","-34.7","","-38.3","","70","","0.0","","","","0","","","","87.24","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 04:00","2019","03","03","04:00","-35.6","","-39.8","","65","","0.0","","","","0","","","","87.21","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 05:00","2019","03","03","05:00","-34.9","","-38.8","","68","","0.0","","2","","2","","","","87.11","","","","-37","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 06:00","2019","03","03","06:00","-35.7","","-39.5","","68","","0.0","","","","0","","","","87.11","","","","","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 07:00","2019","03","03","07:00","-35.6","","-39.4","","68","","0.2","","2","","1","","","","87.08","","","","-37","","NA"
"-118.35","53.39","WILLOW CREEK 1","306GE70","2019-03-03 08:00","2019","03","03","08:00","-35.9","","-39.8","","67","","0.0","","0","","1","","","","87.15","","","","-37","","NA"
