"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 00:00","2012","02","01","00:00","-21.9","","-23.7","","85","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 01:00","2012","02","01","01:00","-22.4","","-24.3","","84","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 02:00","2012","02","01","02:00","-22.8","","-24.7","","84","","","","19","","4","","","","","M","","","-27","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 03:00","2012","02","01","03:00","-22.8","","-24.6","","85","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 04:00","2012","02","01","04:00","-22.5","","-24.4","","84","","","","20","","4","","","","","M","","","-26","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 05:00","2012","02","01","05:00","-22.0","","-23.5","","88","","","","22","","4","","","","","M","","","-26","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 06:00","2012","02","01","06:00","-18.3","","-19.6","","89","","","","23","","6","","","","","M","","","-23","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 07:00","2012","02","01","07:00","-20.1","","-21.8","","86","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 08:00","2012","02","01","08:00","-21.0","","-22.7","","86","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 09:00","2012","02","01","09:00","-19.9","","-21.3","","89","","","","21","","2","","","","","M","","","-22","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 10:00","2012","02","01","10:00","-17.6","","-18.6","","92","","","","21","","2","","","","","M","","","-19","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 11:00","2012","02","01","11:00","-15.0","","-15.8","","94","","","","24","","2","","","","","M","","","-16","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 12:00","2012","02","01","12:00","-11.5","","-11.9","","97","","","","23","","6","","","","","M","","","-15","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 13:00","2012","02","01","13:00","-10.3","","-11.1","","94","","","","23","","2","","","","","M","","","-11","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 14:00","2012","02","01","14:00","-11.7","","-13.0","","90","","","","1","","2","","","","","M","","","-13","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 15:00","2012","02","01","15:00","-9.2","","-10.3","","92","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 16:00","2012","02","01","16:00","-9.3","","-11.1","","87","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 17:00","2012","02","01","17:00","-13.1","","-14.2","","91","","","","36","","2","","","","","M","","","-14","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 18:00","2012","02","01","18:00","-15.5","","-16.6","","91","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 19:00","2012","02","01","19:00","-16.7","","-17.8","","91","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 20:00","2012","02","01","20:00","-18.3","","-19.9","","87","","","","29","","2","","","","","M","","","-20","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 21:00","2012","02","01","21:00","-19.0","","-20.3","","89","","","","34","","2","","","","","M","","","-21","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 22:00","2012","02","01","22:00","-19.8","","-21.4","","87","","","","35","","2","","","","","M","","","-22","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-01 23:00","2012","02","01","23:00","-20.4","","-21.9","","88","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 00:00","2012","02","02","00:00","-21.1","","-22.8","","86","","","","36","","2","","","","","M","","","-23","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 01:00","2012","02","02","01:00","-21.4","","-23.2","","85","","","","4","","2","","","","","M","","","-23","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 02:00","2012","02","02","02:00","-22.1","","-24.0","","85","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 03:00","2012","02","02","03:00","-22.6","","-24.6","","84","","","","28","","2","","","","","M","","","-24","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 04:00","2012","02","02","04:00","-23.1","","-25.0","","84","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 05:00","2012","02","02","05:00","-23.6","","-25.6","","84","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 06:00","2012","02","02","06:00","-23.9","","-26.0","","83","","","","","","0","","","","","M","","","","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 07:00","2012","02","02","07:00","-23.5","","-25.4","","84","","","","26","","2","","","","","M","","","-25","","NA"
"-113.87","58.71","GARDEN RIVER","307KPFP","2012-02-02 08:00","2012","02","02","08:00","-23.0","","-24.9","","84","","","","","","0","","","","","M","","","","","NA"
