"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 00:00","2019","03","01","00:00","-11.6","","-19.0","","54","","","","29","","52","","","","","","","","-24","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 01:00","2019","03","01","01:00","-11.7","","-18.9","","55","","","","29","","53","","","","","","","","-24","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 02:00","2019","03","01","02:00","-12.0","","-19.2","","55","","","","29","","53","","","","","","","","-25","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 03:00","2019","03","01","03:00","-12.5","","-19.5","","56","","","","29","","52","","","","","","","","-25","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 04:00","2019","03","01","04:00","-12.6","","-20.0","","54","","","","29","","54","","","","","","","","-26","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 05:00","2019","03","01","05:00","-12.2","","-19.3","","56","","","","29","","53","","","","","","","","-25","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 06:00","2019","03","01","06:00","-12.5","","-19.9","","54","","","","28","","51","","","","","","","","-25","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 07:00","2019","03","01","07:00","-11.8","","-18.2","","59","","","","30","","48","","","","","","","","-24","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 08:00","2019","03","01","08:00","-11.7","","-19.4","","53","","","","29","","45","","","","","","","","-24","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 09:00","2019","03","01","09:00","-10.9","","-18.2","","55","","","","28","","45","","","","","","","","-23","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 10:00","2019","03","01","10:00","-9.7","","-17.0","","55","","","","28","","45","","","","","","","","-21","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 11:00","2019","03","01","11:00","-8.3","","-15.6","","56","","","","27","","43","","","","","","","","-19","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 12:00","2019","03","01","12:00","-6.6","","-12.9","","61","","","","27","","50","","","","","","","","-17","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 13:00","2019","03","01","13:00","-6.4","","-13.1","","59","","","","26","","63","","","","","","","","-18","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 14:00","2019","03","01","14:00","-5.7","","-13.0","","56","","","","26","","60","","","","","","","","-17","","NA"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2019-03-01 15:00","2019","03","01","15:00","-4.7","","-12.2","","56","","","","27","","57","","","","","","","","-15","","NA"
