"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 00:00","2018","04","01","00:00","0.0","","-5.4","","67","","","M","8","","13","","","","","M","","","-4","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 01:00","2018","04","01","01:00","0.1","","-4.6","","71","","","M","10","","9","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 02:00","2018","04","01","02:00","-0.5","","-2.6","","85","","","M","9","","9","","","","","M","","","-4","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 03:00","2018","04","01","03:00","0.5","","-2.1","","82","","","M","13","","9","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 04:00","2018","04","01","04:00","0.4","","-1.2","","89","","","M","11","","11","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 05:00","2018","04","01","05:00","1.4","","-1.5","","81","","","M","12","","13","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 06:00","2018","04","01","06:00","2.7","","-2.8","","67","","","M","15","","16","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 07:00","2018","04","01","07:00","3.1","","-3.3","","63","","","M","17","","32","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 08:00","2018","04","01","08:00","1.8","","-0.9","","82","","","M","17","","10","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 09:00","2018","04","01","09:00","0.6","","-1.5","","86","","","M","24","","23","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 10:00","2018","04","01","10:00","0.8","","-0.4","","91","","","M","22","","12","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 11:00","2018","04","01","11:00","2.1","","0.6","","90","","","M","24","","29","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 12:00","2018","04","01","12:00","2.1","","0.8","","91","","","M","22","","35","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 13:00","2018","04","01","13:00","2.2","","-3.3","","67","","","M","25","","47","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 14:00","2018","04","01","14:00","1.9","","-5.5","","58","","","M","26","","54","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 15:00","2018","04","01","15:00","1.5","","-6.5","","55","","","M","26","","54","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 16:00","2018","04","01","16:00","1.2","","-6.3","","57","","","M","26","","49","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 17:00","2018","04","01","17:00","0.7","","-6.9","","57","","","M","27","","43","","","","","M","","","","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 18:00","2018","04","01","18:00","0.0","","-7.3","","58","","","M","27","","49","","","","","M","","","-8","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 19:00","2018","04","01","19:00","-1.0","","-7.0","","64","","","M","28","","46","","","","","M","","","-9","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 20:00","2018","04","01","20:00","-1.3","","-9.3","","55","","","M","27","","42","","","","","M","","","-9","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 21:00","2018","04","01","21:00","-1.9","","-9.2","","57","","","M","28","","40","","","","","M","","","-10","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 22:00","2018","04","01","22:00","-2.4","","-9.1","","60","","","M","28","","41","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-01 23:00","2018","04","01","23:00","-2.8","","-10.0","","57","","","M","28","","37","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 00:00","2018","04","02","00:00","-3.2","","-10.3","","58","","","M","29","","35","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 01:00","2018","04","02","01:00","-3.7","","-10.9","","58","","","M","29","","29","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 02:00","2018","04","02","02:00","-4.4","","-11.2","","59","","","M","29","","27","","","","","M","","","-12","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 03:00","2018","04","02","03:00","-5.1","","-13.0","","54","","","M","31","","26","","","","","M","","","-13","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 04:00","2018","04","02","04:00","-5.4","","-13.6","","52","","","M","31","","23","","","","","M","","","-13","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 05:00","2018","04","02","05:00","-5.6","","-15.3","","46","","","M","34","","15","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 06:00","2018","04","02","06:00","-5.6","","-14.0","","51","","","M","33","","13","","","","","M","","","-11","","NA"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2018-04-02 07:00","2018","04","02","07:00","-5.4","","-12.8","","56","","","M","30","","13","","","","","M","","","-11","","NA"
