"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 00:00","2019","04","01","00:00","-1.1","","-4.8","","76","","","","","M","35","","","","","","","","-8","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 01:00","2019","04","01","01:00","-2.6","","-6.0","","77","","","","","M","45","","","","","","","","-11","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 02:00","2019","04","01","02:00","-3.9","","-7.4","","76","","","","","M","43","","","","","","","","-13","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 03:00","2019","04","01","03:00","-5.0","","-8.5","","77","","","","","M","48","","","","","","","","-15","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 04:00","2019","04","01","04:00","-5.9","","-9.6","","75","","","","","M","53","","","","","","","","-16","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 05:00","2019","04","01","05:00","-6.4","","-9.8","","76","","","","","M","56","","","","","","","","-17","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 06:00","2019","04","01","06:00","-7.3","","-11.1","","74","","","","","M","59","","","","","","","","-19","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 07:00","2019","04","01","07:00","-7.8","","-11.9","","72","","","","","M","57","","","","","","","","-19","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 08:00","2019","04","01","08:00","-7.7","","-12.1","","71","","","","","M","64","","","","","","","","-20","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 09:00","2019","04","01","09:00","-7.6","","-12.2","","70","","","","","M","64","","","","","","","","-20","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 10:00","2019","04","01","10:00","-7.0","","-11.6","","70","","","","","M","61","","","","","","","","-19","","NA"
"-70.11","48.26","POINTE CLAVEAU","704607C","2019-04-01 11:00","2019","04","01","11:00","-6.5","","-12.0","","65","","","","","M","60","","","","","","","","-18","","NA"
