"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 00:00","2012","02","01","00:00","-6.6","","-8.5","","86","","","","4","","28","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 01:00","2012","02","01","01:00","-6.6","","-8.2","","88","","","","4","","28","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 02:00","2012","02","01","02:00","-6.6","","-8.3","","88","","","","4","","28","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 03:00","2012","02","01","03:00","-6.5","","-7.6","","92","","","","4","","28","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 04:00","2012","02","01","04:00","-6.3","","-7.3","","93","","","","4","","26","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 05:00","2012","02","01","05:00","-5.9","","-7.1","","91","","","","5","","24","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 06:00","2012","02","01","06:00","-5.9","","-7.0","","92","","","","5","","19","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 07:00","2012","02","01","07:00","-6.0","","-7.4","","90","","","","2","","13","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 08:00","2012","02","01","08:00","-6.0","","-7.5","","89","","","","4","","13","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 09:00","2012","02","01","09:00","-5.9","","-7.7","","87","","","","4","","11","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 10:00","2012","02","01","10:00","-5.8","","-7.7","","86","","","","4","","11","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 11:00","2012","02","01","11:00","-5.7","","-7.6","","86","","","","3","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 12:00","2012","02","01","12:00","-5.7","","-7.5","","87","","","","3","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 13:00","2012","02","01","13:00","-5.6","","-7.0","","90","","","","4","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 14:00","2012","02","01","14:00","-5.5","","-6.6","","92","","","","3","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 15:00","2012","02","01","15:00","-5.4","","-6.5","","92","","","","3","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 16:00","2012","02","01","16:00","-5.4","","-6.7","","91","","","","3","","7","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 17:00","2012","02","01","17:00","-5.5","","-6.9","","90","","","","2","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 18:00","2012","02","01","18:00","-5.9","","-7.2","","91","","","","1","","7","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 19:00","2012","02","01","19:00","-6.0","","-7.4","","90","","","","3","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 20:00","2012","02","01","20:00","-5.8","","-7.3","","89","","","","2","","7","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 21:00","2012","02","01","21:00","-5.9","","-7.3","","90","","","","1","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 22:00","2012","02","01","22:00","-5.8","","-7.3","","89","","","","35","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-01 23:00","2012","02","01","23:00","-5.9","","-7.8","","86","","","","35","","7","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 00:00","2012","02","02","00:00","-6.0","","-8.0","","86","","","","2","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 01:00","2012","02","02","01:00","-6.0","","-8.1","","85","","","","34","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 02:00","2012","02","02","02:00","-6.4","","-8.5","","85","","","","30","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 03:00","2012","02","02","03:00","-7.2","","-11.2","","73","","","","33","","9","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 04:00","2012","02","02","04:00","-8.7","","-12.9","","72","","","","33","","9","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 05:00","2012","02","02","05:00","-9.5","","-13.5","","73","","","","35","","6","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 06:00","2012","02","02","06:00","-10.3","","-13.8","","75","","","","35","","7","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 07:00","2012","02","02","07:00","-11.6","","-14.3","","80","","","","34","","6","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 08:00","2012","02","02","08:00","-12.3","","-15.7","","76","","","","35","","9","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 09:00","2012","02","02","09:00","-12.4","","-16.5","","71","","","","35","","9","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 10:00","2012","02","02","10:00","-11.6","","-15.9","","70","","","","35","","7","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 11:00","2012","02","02","11:00","-10.2","","-14.8","","69","","","","36","","6","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 12:00","2012","02","02","12:00","-9.1","","-13.4","","71","","","","36","","6","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 13:00","2012","02","02","13:00","-8.1","","-12.7","","69","","","","36","","6","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 14:00","2012","02","02","14:00","-7.2","","-12.0","","69","","","","35","","6","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 15:00","2012","02","02","15:00","-7.1","","-11.8","","69","","","","32","","4","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 16:00","2012","02","02","16:00","-7.2","","-11.9","","69","","","","34","","2","","","","","M","","","-8","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 17:00","2012","02","02","17:00","-6.0","","-11.3","","66","","","","34","","7","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 18:00","2012","02","02","18:00","-6.8","","-11.5","","69","","","","3","","4","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 19:00","2012","02","02","19:00","-7.6","","-11.7","","72","","","","30","","6","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 20:00","2012","02","02","20:00","-8.4","","-11.2","","80","","","","30","","7","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 21:00","2012","02","02","21:00","-9.5","","-11.8","","83","","","","28","","9","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 22:00","2012","02","02","22:00","-11.9","","-13.5","","88","","","","27","","7","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-02 23:00","2012","02","02","23:00","-12.0","","-13.3","","90","","","","27","","6","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 00:00","2012","02","03","00:00","-13.1","","-14.8","","87","","","","26","","6","","","","","M","","","-17","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 01:00","2012","02","03","01:00","-12.4","","-14.1","","87","","","","24","","7","","","","","M","","","-17","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 02:00","2012","02","03","02:00","-13.1","","-14.9","","86","","","","26","","7","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 03:00","2012","02","03","03:00","-12.5","","-14.2","","87","","","","23","","4","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 04:00","2012","02","03","04:00","-12.6","","-14.3","","87","","","","23","","6","","","","","M","","","-17","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 05:00","2012","02","03","05:00","-14.2","","-16.0","","86","","","","","","0","","","","","M","","","","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 06:00","2012","02","03","06:00","-13.8","","-15.6","","86","","","","","","0","","","","","M","","","","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 07:00","2012","02","03","07:00","-15.1","","-17.3","","83","","","","24","","2","","","","","M","","","-17","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 08:00","2012","02","03","08:00","-13.2","","-15.0","","86","","","","18","","2","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 09:00","2012","02","03","09:00","-13.9","","-15.8","","86","","","","26","","6","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 10:00","2012","02","03","10:00","-13.5","","-15.2","","87","","","","27","","6","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 11:00","2012","02","03","11:00","-9.6","","-11.0","","90","","","","23","","6","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 12:00","2012","02","03","12:00","-9.4","","-11.5","","85","","","","17","","6","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 13:00","2012","02","03","13:00","-8.2","","-10.4","","84","","","","16","","7","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 14:00","2012","02","03","14:00","-7.1","","-9.7","","82","","","","17","","9","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 15:00","2012","02","03","15:00","-6.0","","-8.3","","84","","","","18","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 16:00","2012","02","03","16:00","-5.3","","-7.0","","88","","","","19","","11","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 17:00","2012","02","03","17:00","-5.5","","-7.0","","89","","","","24","","9","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 18:00","2012","02","03","18:00","-6.3","","-8.1","","87","","","","29","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 19:00","2012","02","03","19:00","-6.4","","-8.0","","88","","","","26","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 20:00","2012","02","03","20:00","-6.5","","-8.2","","88","","","","28","","6","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 21:00","2012","02","03","21:00","-5.6","","-7.6","","86","","","","24","","17","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 22:00","2012","02","03","22:00","-6.4","","-8.0","","88","","","","23","","17","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-03 23:00","2012","02","03","23:00","-7.1","","-8.4","","90","","","","28","","6","","","","","M","","","-10","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 00:00","2012","02","04","00:00","-6.8","","-8.2","","90","","","","29","","4","","","","","M","","","-9","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 01:00","2012","02","04","01:00","-5.8","","-8.6","","81","","","","32","","13","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 02:00","2012","02","04","02:00","-5.5","","-10.0","","71","","","","33","","15","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 03:00","2012","02","04","03:00","-6.9","","-11.5","","70","","","","30","","15","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 04:00","2012","02","04","04:00","-7.3","","-12.3","","67","","","","32","","28","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 05:00","2012","02","04","05:00","-7.8","","-13.0","","66","","","","34","","22","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 06:00","2012","02","04","06:00","-9.5","","-14.0","","70","","","","33","","13","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 07:00","2012","02","04","07:00","-9.5","","-14.7","","66","","","","32","","11","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 08:00","2012","02","04","08:00","-10.0","","-15.3","","65","","","","31","","19","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 09:00","2012","02","04","09:00","-10.0","","-15.5","","64","","","","29","","13","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 10:00","2012","02","04","10:00","-8.8","","-14.9","","61","","","","32","","19","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 11:00","2012","02","04","11:00","-8.2","","-14.3","","61","","","","34","","17","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 12:00","2012","02","04","12:00","-6.4","","-15.7","","48","","","","31","","2","","","","","M","","","-7","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 13:00","2012","02","04","13:00","-7.6","","-14.1","","60","","","","18","","11","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 14:00","2012","02","04","14:00","-7.2","","-13.7","","60","","","","17","","11","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 15:00","2012","02","04","15:00","-6.8","","-13.7","","58","","","","18","","9","","","","","M","","","-11","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 16:00","2012","02","04","16:00","-6.9","","-12.7","","63","","","","19","","13","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 17:00","2012","02","04","17:00","-8.0","","-12.6","","69","","","","19","","15","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 18:00","2012","02","04","18:00","-8.5","","-13.1","","69","","","","19","","13","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 19:00","2012","02","04","19:00","-9.0","","-12.5","","76","","","","19","","11","","","","","M","","","-14","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 20:00","2012","02","04","20:00","-11.4","","-13.9","","82","","","","5","","2","","","","","M","","","-13","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 21:00","2012","02","04","21:00","-10.9","","-12.7","","87","","","","7","","2","","","","","M","","","-12","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 22:00","2012","02","04","22:00","-13.6","","-15.4","","86","","","","3","","6","","","","","M","","","-18","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-04 23:00","2012","02","04","23:00","-13.8","","-15.6","","86","","","","36","","2","","","","","M","","","-15","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 00:00","2012","02","05","00:00","-14.9","","-16.8","","85","","","","29","","2","","","","","M","","","-16","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 01:00","2012","02","05","01:00","-15.5","","-17.6","","84","","","","28","","6","","","","","M","","","-20","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 02:00","2012","02","05","02:00","-16.6","","-18.8","","83","","","","30","","4","","","","","M","","","-20","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 03:00","2012","02","05","03:00","-16.6","","-18.8","","83","","","","28","","6","","","","","M","","","-21","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 04:00","2012","02","05","04:00","-17.0","","-19.2","","83","","","","36","","7","","","","","M","","","-22","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 05:00","2012","02","05","05:00","-15.1","","-17.1","","85","","","","19","","2","","","","","M","","","-17","","NA"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2012-02-05 06:00","2012","02","05","06:00","-14.9","","-16.9","","85","","","","21","","4","","","","","M","","","-18","","NA"
