"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 00:00","2012","02","01","00:00","-6.6","","-7.4","","94","","","","6","","15","","","","100.57","","","","-13","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 01:00","2012","02","01","01:00","-6.0","","-6.7","","95","","","","7","","11","","","","100.46","","","","-11","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 02:00","2012","02","01","02:00","-5.7","","-6.4","","95","","","","7","","13","","","","100.37","","","","-11","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 03:00","2012","02","01","03:00","-5.4","","-6.0","","96","","","","8","","13","","","","100.29","","","","-11","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 04:00","2012","02","01","04:00","-5.6","","-6.2","","96","","","","5","","11","","","","100.26","","","","-10","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 05:00","2012","02","01","05:00","-5.4","","-6.0","","96","","","","6","","7","","","","100.19","","","","-9","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 06:00","2012","02","01","06:00","-4.7","","-5.3","","96","","","","8","","9","","","","100.14","","","","-9","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 07:00","2012","02","01","07:00","-3.9","","-4.5","","96","","","","9","","6","","","","100.12","","","","-7","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 08:00","2012","02","01","08:00","-3.7","","-4.3","","96","","","","7","","7","","","","100.14","","","","-7","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 09:00","2012","02","01","09:00","-3.6","","-4.2","","96","","","","6","","7","","","","100.16","","","","-7","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 10:00","2012","02","01","10:00","-3.8","","-4.3","","96","","","","6","","7","","","","100.15","","","","-7","","NA"
"-74.29","45.12","ST-ANICET 1","702FQLF","2012-02-01 11:00","2012","02","01","11:00","-3.9","","-4.3","","97","","","","7","","6","","","","100.15","","","","-7","","NA"
