"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 00:00","2012","02","01","00:00","4.8","","3.5","","91","","","","34","","6","","","","99.31","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 01:00","2012","02","01","01:00","4.8","","3.5","","91","","","","","","0","","","","99.26","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 02:00","2012","02","01","02:00","4.7","","3.4","","91","","","","","","0","","","","99.27","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 03:00","2012","02","01","03:00","4.6","","3.3","","91","","","","","","0","","","","99.32","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 04:00","2012","02","01","04:00","4.8","","2.1","","83","","","","32","","9","","","","99.42","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 05:00","2012","02","01","05:00","4.1","","2.3","","88","","","","14","","2","","","","99.43","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 06:00","2012","02","01","06:00","3.0","","1.4","","89","","","","","","0","","","","99.55","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 07:00","2012","02","01","07:00","2.0","","0.6","","90","","","","","","0","","","","99.68","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 08:00","2012","02","01","08:00","2.8","","1.4","","90","","","","22","","7","","","","99.77","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 09:00","2012","02","01","09:00","3.8","","2.3","","90","","","","","","0","","","","99.88","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 10:00","2012","02","01","10:00","5.3","","3.1","","86","","","","13","","2","","","","99.98","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 11:00","2012","02","01","11:00","7.5","","3.0","","73","","","","26","","6","","","","100.14","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 12:00","2012","02","01","12:00","8.0","","2.3","","67","","","","19","","6","","","","100.24","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 13:00","2012","02","01","13:00","8.6","","1.6","","61","","","","24","","4","","","","100.33","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 14:00","2012","02","01","14:00","8.1","","1.0","","61","","","","21","","9","","","","100.42","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 15:00","2012","02","01","15:00","8.2","","0.3","","57","","","","21","","9","","","","100.52","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 16:00","2012","02","01","16:00","7.0","","-0.5","","59","","","","26","","4","","","","100.62","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 17:00","2012","02","01","17:00","5.9","","-0.7","","63","","","","24","","6","","","","100.71","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 18:00","2012","02","01","18:00","5.0","","-0.6","","67","","","","26","","9","","","","100.79","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 19:00","2012","02","01","19:00","2.7","","0.3","","84","","","","23","","4","","","","100.89","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 20:00","2012","02","01","20:00","2.3","","0.2","","86","","","","25","","4","","","","100.93","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 21:00","2012","02","01","21:00","1.6","","-0.2","","88","","","","25","","2","","","","101.03","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 22:00","2012","02","01","22:00","2.3","","0.1","","85","","","","","","0","","","","101.08","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-01 23:00","2012","02","01","23:00","2.7","","0.8","","87","","","","","","0","","","","101.15","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 00:00","2012","02","02","00:00","3.3","","1.4","","87","","","","22","","6","","","","101.20","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 01:00","2012","02","02","01:00","3.6","","1.8","","88","","","","24","","4","","","","101.24","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 02:00","2012","02","02","02:00","3.4","","1.7","","89","","","","18","","6","","","","101.28","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 03:00","2012","02","02","03:00","3.8","","1.9","","87","","","","18","","4","","","","101.31","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 04:00","2012","02","02","04:00","3.8","","2.1","","89","","","","","","0","","","","101.30","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 05:00","2012","02","02","05:00","4.4","","2.8","","89","","","","","","0","","","","101.31","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 06:00","2012","02","02","06:00","4.0","","2.5","","90","","","","","","0","","","","101.28","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 07:00","2012","02","02","07:00","3.4","","1.7","","89","","","","33","","4","","","","101.29","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 08:00","2012","02","02","08:00","3.5","","1.7","","88","","","","34","","6","","","","101.32","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 09:00","2012","02","02","09:00","4.0","","1.9","","86","","","","33","","6","","","","101.29","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 10:00","2012","02","02","10:00","4.1","","1.9","","86","","","","35","","7","","","","101.29","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 11:00","2012","02","02","11:00","4.3","","2.1","","86","","","","34","","9","","","","101.29","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 12:00","2012","02","02","12:00","5.4","","2.3","","80","","","","36","","7","","","","101.20","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 13:00","2012","02","02","13:00","5.6","","1.7","","76","","","","35","","9","","","","101.13","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 14:00","2012","02","02","14:00","7.2","","0.3","","61","","","","1","","7","","","","101.03","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 15:00","2012","02","02","15:00","7.2","","1.2","","66","","","","35","","9","","","","100.96","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 16:00","2012","02","02","16:00","6.4","","1.4","","70","","","","35","","9","","","","100.88","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 17:00","2012","02","02","17:00","4.9","","1.2","","77","","","","35","","7","","","","100.83","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 18:00","2012","02","02","18:00","4.8","","0.4","","73","","","","34","","9","","","","100.80","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 19:00","2012","02","02","19:00","5.0","","0.5","","73","","","","34","","11","","","","100.75","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 20:00","2012","02","02","20:00","4.7","","0.6","","75","","","","33","","11","","","","100.73","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 21:00","2012","02","02","21:00","4.6","","0.6","","75","","","","33","","15","","","","100.70","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 22:00","2012","02","02","22:00","4.5","","0.1","","73","","","","33","","13","","","","100.69","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-02 23:00","2012","02","02","23:00","4.4","","0.2","","74","","","","33","","11","","","","100.68","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 00:00","2012","02","03","00:00","3.9","","0.4","","78","","","","34","","11","","","","100.66","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 01:00","2012","02","03","01:00","3.5","","0.5","","81","","","","34","","13","","","","100.62","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 02:00","2012","02","03","02:00","3.3","","0.4","","81","","","","34","","11","","","","100.58","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 03:00","2012","02","03","03:00","3.6","","0.3","","79","","","","33","","13","","","","100.53","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 04:00","2012","02","03","04:00","3.9","","0.2","","77","","","","33","","13","","","","100.50","","","","","","NA"
"-123.46","48.53","VICTORIA HARTLAND CS","1018FJ5","2012-02-03 05:00","2012","02","03","05:00","3.6","","0.1","","78","","","","33","","15","","","","100.44","","","","","","NA"
