"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 00:00","2018","03","01","00:00","-6.1","","-10.4","","72","","","","9","","9","","24.1","","92.19","","","","-10","","Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 01:00","2018","03","01","01:00"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 02:00","2018","03","01","02:00"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 03:00","2018","03","01","03:00"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 04:00","2018","03","01","04:00","-7.5","","-10.4","","80","","","","7","","15","","24.1","","92.29","","","","-14","","Mostly Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 05:00","2018","03","01","05:00","-7.4","","-10.7","","77","","","","7","","15","","24.1","","92.32","","","","-14","","Mostly Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 06:00","2018","03","01","06:00","-8.3","","-14.7","","60","","","","7","","15","","24.1","","92.37","","","","-15","","Mostly Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 07:00","2018","03","01","07:00","-8.6","","-11.0","","83","","","","7","","13","","24.1","","92.45","","","","-15","","Mostly Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 08:00","2018","03","01","08:00","-8.6","","-11.0","","83","","","","7","","13","","24.1","","92.52","","","","-15","","Mostly Cloudy"
"-114.11","53.55","EDMONTON STONY PLAIN","301222F","2018-03-01 09:00","2018","03","01","09:00","-8.0","","-10.3","","83","","","","8","","13","","24.1","","92.59","","","","-14","","Cloudy"
