"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 00:00","2018","04","01","00:00","-16.3","","-21.0","","67","","","M","23","","13","","","","94.58","","","","-24","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 01:00","2018","04","01","01:00","-17.3","","-21.2","","72","","","M","22","","8","","","","94.53","","","","-23","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 02:00","2018","04","01","02:00","-19.5","","-23.1","","73","","","M","21","","6","","","","94.48","","","","-24","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 03:00","2018","04","01","03:00","-21.1","","-23.8","","79","","","M","10","","2","","","","94.44","","","","-23","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 04:00","2018","04","01","04:00","-22.8","","-25.4","","79","","","M","18","","10","","","","94.37","","","","-31","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 05:00","2018","04","01","05:00","-24.0","","-26.6","","79","","","M","19","","8","","","","94.29","","","","-31","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 06:00","2018","04","01","06:00","-23.9","","-26.3","","80","","","M","18","","8","","","","94.26","","","","-31","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 07:00","2018","04","01","07:00","-23.0","","-26.1","","76","","","M","19","","7","","","","94.25","","","","-29","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 08:00","2018","04","01","08:00","-19.7","","-25.1","","62","","","M","17","","2","","","","94.20","","","","-21","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 09:00","2018","04","01","09:00","-16.3","","-23.8","","52","","","M","18","","2","","","","94.16","","","","-18","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 10:00","2018","04","01","10:00","-11.2","","-23.8","","35","","","M","","","0","","","","94.13","","","","","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 11:00","2018","04","01","11:00","-11.4","","-22.7","","39","","","M","36","","4","","","","94.10","","","","-14","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 12:00","2018","04","01","12:00","-9.5","","-22.1","","35","","","M","36","","3","","","","94.03","","","","-11","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 13:00","2018","04","01","13:00","-8.0","","-21.0","","35","","","M","35","","4","","","","93.98","","","","-10","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 14:00","2018","04","01","14:00","-6.3","","-18.9","","36","","","M","25","","8","","","","93.91","","","","-10","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 15:00","2018","04","01","15:00","-5.8","","-16.8","","42","","","M","25","","13","","","","93.85","","","","-11","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 16:00","2018","04","01","16:00","-5.0","","-18.6","","34","","","M","27","","9","","","","93.81","","","","-9","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 17:00","2018","04","01","17:00","-5.1","","-18.4","","35","","","M","28","","8","","","","93.79","","","","-9","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 18:00","2018","04","01","18:00","-7.1","","-17.9","","42","","","M","26","","5","","","","93.79","","","","-10","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 19:00","2018","04","01","19:00","-8.6","","-17.4","","49","","","M","19","","4","","","","93.81","","","","-11","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 20:00","2018","04","01","20:00","-11.1","","-17.9","","57","","","M","21","","8","","","","93.84","","","","-16","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 21:00","2018","04","01","21:00","-13.3","","-17.7","","69","","","M","25","","10","","","","93.84","","","","-19","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 22:00","2018","04","01","22:00","-14.0","","-17.5","","75","","","M","25","","1","","","","93.81","","","","-15","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-01 23:00","2018","04","01","23:00","-17.9","","-20.9","","77","","","M","17","","7","","","","93.79","","","","-23","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-02 00:00","2018","04","02","00:00","-18.3","","-21.2","","78","","","M","21","","3","","","","93.81","","","","-21","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-02 01:00","2018","04","02","01:00","-20.0","","-22.9","","78","","","M","24","","6","","","","93.81","","","","-25","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-02 02:00","2018","04","02","02:00","-21.0","","-24.4","","74","","","M","23","","7","","","","93.83","","","","-27","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-02 03:00","2018","04","02","03:00","-18.6","","-21.7","","76","","","M","25","","8","","","","93.81","","","","-25","","NA"
"-112.10","53.51","VEGREVILLE","3016GF0","2018-04-02 04:00","2018","04","02","04:00","-20.9","","-24.0","","76","","","M","19","","6","","","","93.81","","","","-26","","NA"
