"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 00:00","2019","02","01","00:00","-4.7","","-5.4","","95","","0.0","","35","","6","","","","91.43","","","","-7","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 01:00","2019","02","01","01:00","-5.0","","-5.7","","95","","0.0","","35","","8","","","","91.46","","","","-9","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 02:00","2019","02","01","02:00","-4.4","","-5.2","","94","","0.0","","36","","12","","","","91.50","","","","-9","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 03:00","2019","02","01","03:00","-3.9","","-4.6","","94","","0.0","","2","","18","","","","91.56","","","","-10","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 04:00","2019","02","01","04:00","-3.7","","-4.4","","95","","0.0","","3","","22","","","","91.61","","","","-10","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 05:00","2019","02","01","05:00","-6.0","","-7.3","","91","","0.0","","2","","25","","","","91.76","","","","-14","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 06:00","2019","02","01","06:00","-8.3","","-9.7","","89","","0.0","","2","","31","","","","91.86","","","","-17","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 07:00","2019","02","01","07:00","-9.5","","-11.1","","88","","0.0","","2","","26","","","","91.92","","","","-18","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 08:00","2019","02","01","08:00","-10.6","","-12.4","","86","","0.0","","2","","25","","","","92.04","","","","-20","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 09:00","2019","02","01","09:00","-12.0","","-14.0","","85","","0.0","","3","","25","","","","92.11","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 10:00","2019","02","01","10:00","-12.5","","-14.5","","85","","0.0","","3","","18","","","","92.17","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 11:00","2019","02","01","11:00","-13.0","","-15.1","","84","","0.0","","3","","18","","","","92.21","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 12:00","2019","02","01","12:00","-12.7","","-14.9","","84","","0.0","","5","","15","","","","92.20","","","","-20","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 13:00","2019","02","01","13:00","-13.0","","-15.5","","81","","0.0","","5","","16","","","","92.18","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 14:00","2019","02","01","14:00","-12.8","","-15.4","","81","","0.0","","5","","14","","","","92.12","","","","-20","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 15:00","2019","02","01","15:00","-13.0","","-15.7","","80","","0.0","","7","","13","","","","92.12","","","","-20","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 16:00","2019","02","01","16:00","-13.8","","-16.4","","80","","0.0","","7","","15","","","","92.11","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 17:00","2019","02","01","17:00","-14.3","","-16.7","","81","","0.0","","7","","13","","","","92.11","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 18:00","2019","02","01","18:00","-14.6","","-16.8","","83","","0.0","","8","","12","","","","92.11","","","","-21","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 19:00","2019","02","01","19:00","-14.8","","-17.1","","83","","0.0","","8","","12","","","","92.06","","","","-22","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 20:00","2019","02","01","20:00","-15.5","","-17.9","","82","","0.0","","10","","12","","","","91.96","","","","-23","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 21:00","2019","02","01","21:00","-15.6","","-17.7","","84","","0.0","","8","","10","","","","91.92","","","","-22","","NA"
"-111.85","50.56","BROOKS","3030QLP","2019-02-01 22:00","2019","02","01","22:00","-15.6","","-17.9","","83","","0.0","","9","","11","","","","91.81","","","","-22","","NA"
