"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 00:00","2019","03","01","00:00","","M","","M","72","","0.0","","23","","1","","","","94.99","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 01:00","2019","03","01","01:00","-34.4","","-37.7","","72","","0.0","","","","0","","","","94.98","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 02:00","2019","03","01","02:00","-34.3","","-37.5","","73","","0.0","","13","","2","","","","95.00","","","","-37","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 03:00","2019","03","01","03:00","-31.2","","-34.0","","76","","0.0","","","","0","","","","94.99","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 04:00","2019","03","01","04:00","-32.0","","-35.5","","71","","0.0","","4","","5","","","","94.99","","","","-38","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 05:00","2019","03","01","05:00","-32.8","","-36.1","","72","","0.0","","33","","2","","","","94.98","","","","-35","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 06:00","2019","03","01","06:00","-33.8","","-37.1","","72","","0.0","","13","","1","","","","94.98","","","","-35","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 07:00","2019","03","01","07:00","-32.0","","-35.0","","75","","0.0","","15","","7","","","","94.99","","","","-40","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 08:00","2019","03","01","08:00","-24.5","","-26.8","","81","","0.0","","19","","10","","","","95.01","","","","-33","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 09:00","2019","03","01","09:00","-20.4","","-24.3","","71","","0.0","","16","","13","","","","94.98","","","","-29","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 10:00","2019","03","01","10:00","-16.8","","-22.4","","62","","0.0","","17","","13","","","","94.96","","","","-25","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 11:00","2019","03","01","11:00","-13.8","","-19.7","","61","","0.1","","15","","11","","","","94.93","","","","-20","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 12:00","2019","03","01","12:00","-11.7","","-17.5","","62","","0.0","","16","","9","","","","94.92","","","","-17","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 13:00","2019","03","01","13:00","-10.6","","-16.3","","63","","0.0","","18","","11","","","","94.88","","","","-16","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 14:00","2019","03","01","14:00","-9.9","","-15.1","","66","","0.0","","19","","13","","","","94.85","","","","-16","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 15:00","2019","03","01","15:00","-10.0","","-14.8","","68","","0.0","","19","","8","","","","94.84","","","","-14","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 16:00","2019","03","01","16:00","-11.0","","-13.5","","82","","0.0","","24","","10","","","","94.86","","","","-16","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 17:00","2019","03","01","17:00","-11.8","","-13.5","","87","","0.2","","25","","6","","","","94.89","","","","-16","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 18:00","2019","03","01","18:00"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 19:00","2019","03","01","19:00","-17.1","","-18.7","","87","","0.0","","25","","1","","","","95.02","","","","-18","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 20:00","2019","03","01","20:00","-19.6","","-21.3","","86","","0.0","","13","","2","","","","95.06","","","","-21","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2019-03-01 21:00","2019","03","01","21:00","-21.8","","-23.8","","84","","0.0","","6","","2","","","","95.10","","","","-24","","NA"
