"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.38","45.72","VARENNES","702327X","2012-02-01 00:00","2012","02","01","00:00","-6.4","","-7.9","","89","","","","4","","22","","","","","M","","","-14","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 01:00","2012","02","01","01:00","-6.5","","-7.9","","90","","","","3","","20","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 02:00","2012","02","01","02:00","-6.2","","-7.6","","90","","","","4","","19","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 03:00","2012","02","01","03:00","-5.9","","-7.2","","91","","","","4","","22","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 04:00","2012","02","01","04:00","-5.6","","-6.9","","91","","","","5","","13","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 05:00","2012","02","01","05:00","-5.0","","-6.2","","91","","","","4","","13","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 06:00","2012","02","01","06:00","-5.4","","-6.6","","91","","","","3","","11","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 07:00","2012","02","01","07:00","-4.9","","-6.2","","91","","","","2","","13","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 08:00","2012","02","01","08:00","-5.3","","-6.6","","91","","","","1","","11","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 09:00","2012","02","01","09:00","-5.5","","-6.8","","91","","","","3","","9","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 10:00","2012","02","01","10:00","-5.3","","-6.7","","90","","","","2","","7","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 11:00","2012","02","01","11:00","-5.4","","-6.7","","91","","","","2","","7","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 12:00","2012","02","01","12:00","-5.3","","-6.4","","92","","","","1","","9","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 13:00","2012","02","01","13:00","-5.2","","-6.3","","92","","","","2","","9","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 14:00","2012","02","01","14:00","-4.8","","-5.9","","92","","","","2","","7","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 15:00","2012","02","01","15:00","-4.7","","-5.8","","92","","","","36","","6","","","","","M","","","-7","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 16:00","2012","02","01","16:00","-4.6","","-5.7","","92","","","","3","","4","","","","","M","","","-6","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 17:00","2012","02","01","17:00","-4.6","","-5.7","","92","","","","33","","4","","","","","M","","","-6","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 18:00","2012","02","01","18:00","-4.7","","-5.8","","92","","","","3","","4","","","","","M","","","-6","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 19:00","2012","02","01","19:00","-4.7","","-5.8","","92","","","","3","","6","","","","","M","","","-7","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 20:00","2012","02","01","20:00","-4.8","","-5.9","","92","","","","2","","7","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 21:00","2012","02","01","21:00","-5.1","","-6.4","","91","","","","2","","9","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 22:00","2012","02","01","22:00","-5.4","","-6.8","","90","","","","1","","7","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-01 23:00","2012","02","01","23:00","-5.4","","-7.0","","88","","","","1","","7","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 00:00","2012","02","02","00:00","-5.5","","-7.1","","88","","","","2","","4","","","","","M","","","-7","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 01:00","2012","02","02","01:00","-5.6","","-7.1","","89","","","","2","","2","","","","","M","","","-7","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 02:00","2012","02","02","02:00","-5.7","","-7.1","","90","","","","3","","2","","","","","M","","","-7","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 03:00","2012","02","02","03:00","-5.6","","-7.2","","88","","","","2","","7","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 04:00","2012","02","02","04:00","-6.3","","-9.3","","79","","","","3","","7","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 05:00","2012","02","02","05:00","-7.0","","-10.0","","79","","","","4","","9","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 06:00","2012","02","02","06:00","-7.7","","-11.2","","76","","","","3","","13","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 07:00","2012","02","02","07:00","-8.0","","-11.7","","75","","","","3","","11","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 08:00","2012","02","02","08:00","-9.9","","-13.4","","76","","","","2","","15","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 09:00","2012","02","02","09:00","-10.0","","-13.8","","74","","","","1","","9","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 10:00","2012","02","02","10:00","-9.3","","-13.2","","73","","","","3","","7","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 11:00","2012","02","02","11:00","-9.3","","-13.3","","73","","","","2","","9","","","","","M","","","-14","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 12:00","2012","02","02","12:00","-8.6","","-12.8","","72","","","","3","","7","","","","","M","","","-12","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 13:00","2012","02","02","13:00","-8.3","","-12.4","","72","","","","2","","7","","","","","M","","","-12","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 14:00","2012","02","02","14:00","-7.8","","-11.8","","73","","","","2","","6","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 15:00","2012","02","02","15:00","-7.0","","-11.1","","73","","","","4","","4","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 16:00","2012","02","02","16:00","-7.3","","-11.6","","71","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 17:00","2012","02","02","17:00","-9.1","","-12.3","","78","","","","7","","4","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 18:00","2012","02","02","18:00","-10.0","","-12.6","","81","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 19:00","2012","02","02","19:00","-12.0","","-13.9","","86","","","","22","","2","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 20:00","2012","02","02","20:00","-11.7","","-13.4","","87","","","","22","","4","","","","","M","","","-14","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 21:00","2012","02","02","21:00","-12.0","","-13.5","","89","","","","20","","4","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 22:00","2012","02","02","22:00","-12.1","","-13.7","","88","","","","20","","6","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-02 23:00","2012","02","02","23:00","-13.2","","-15.1","","86","","","","20","","4","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 00:00","2012","02","03","00:00","-12.6","","-14.5","","86","","","","21","","4","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 01:00","2012","02","03","01:00","-12.9","","-14.8","","86","","","","20","","4","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 02:00","2012","02","03","02:00","-12.8","","-14.7","","86","","","","20","","4","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 03:00","2012","02","03","03:00","-12.3","","-14.0","","87","","","","20","","6","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 04:00","2012","02","03","04:00","-13.1","","-14.9","","86","","","","21","","6","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 05:00","2012","02","03","05:00","-14.5","","-16.5","","85","","","","21","","4","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 06:00","2012","02","03","06:00","-13.6","","-15.4","","86","","","","21","","4","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 07:00","2012","02","03","07:00","-13.3","","-15.2","","86","","","","17","","2","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 08:00","2012","02","03","08:00","-11.9","","-13.6","","87","","","","23","","2","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 09:00","2012","02","03","09:00","-10.9","","-12.6","","87","","","","20","","4","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 10:00","2012","02","03","10:00","-8.9","","-10.5","","88","","","","23","","6","","","","","M","","","-12","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 11:00","2012","02","03","11:00","-6.6","","-8.1","","89","","","","19","","6","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 12:00","2012","02","03","12:00","-4.6","","-7.5","","80","","","","24","","17","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 13:00","2012","02","03","13:00","-4.7","","-6.9","","85","","","","24","","11","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 14:00","2012","02","03","14:00","-4.1","","-6.8","","81","","","","23","","13","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 15:00","2012","02","03","15:00","-4.2","","-7.0","","81","","","","24","","13","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 16:00","2012","02","03","16:00","-4.1","","-6.5","","83","","","","23","","9","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 17:00","2012","02","03","17:00","-4.4","","-6.5","","85","","","","25","","7","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 18:00","2012","02","03","18:00","-4.2","","-6.7","","83","","","","24","","19","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 19:00","2012","02","03","19:00","-3.9","","-6.6","","81","","","","25","","19","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 20:00","2012","02","03","20:00","-3.9","","-6.5","","82","","","","24","","13","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 21:00","2012","02","03","21:00","-4.8","","-7.2","","83","","","","26","","19","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 22:00","2012","02","03","22:00","-4.4","","-6.8","","83","","","","26","","11","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-03 23:00","2012","02","03","23:00","-3.9","","-5.9","","86","","","","29","","4","","","","","M","","","-6","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 00:00","2012","02","04","00:00","-4.2","","-6.1","","87","","","","6","","2","","","","","M","","","-5","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 01:00","2012","02","04","01:00","-4.9","","-6.7","","87","","","","30","","7","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 02:00","2012","02","04","02:00","-6.0","","-7.8","","87","","","","31","","15","","","","","M","","","-12","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 03:00","2012","02","04","03:00","-5.2","","-7.5","","84","","","","34","","11","","","","","M","","","-10","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 04:00","2012","02","04","04:00","-5.7","","-8.3","","82","","","","32","","15","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 05:00","2012","02","04","05:00","-7.9","","-11.8","","74","","","","33","","13","","","","","M","","","-14","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 06:00","2012","02","04","06:00","-11.8","","-14.7","","79","","","","29","","11","","","","","M","","","-18","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 07:00","2012","02","04","07:00","-11.8","","-14.8","","78","","","","31","","15","","","","","M","","","-19","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 08:00","2012","02","04","08:00","-10.5","","-13.9","","76","","","","32","","6","","","","","M","","","-14","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 09:00","2012","02","04","09:00","-10.1","","-14.4","","71","","","","32","","17","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 10:00","2012","02","04","10:00","-9.5","","-14.1","","69","","","","32","","11","","","","","M","","","-15","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 11:00","2012","02","04","11:00","-8.3","","-13.6","","66","","","","33","","7","","","","","M","","","-12","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 12:00","2012","02","04","12:00","-5.1","","-11.7","","60","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 13:00","2012","02","04","13:00","-6.8","","-12.9","","62","","","","16","","4","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 14:00","2012","02","04","14:00","-6.2","","-12.9","","59","","","","14","","4","","","","","M","","","-8","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 15:00","2012","02","04","15:00","-6.2","","-13.1","","58","","","","14","","6","","","","","M","","","-9","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 16:00","2012","02","04","16:00","-4.7","","-12.5","","54","","","","18","","2","","","","","M","","","-6","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 17:00","2012","02","04","17:00","-8.9","","-13.9","","67","","","","20","","4","","","","","M","","","-11","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 18:00","2012","02","04","18:00","-8.9","","-13.0","","72","","","","15","","7","","","","","M","","","-13","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 19:00","2012","02","04","19:00","-13.1","","-16.1","","78","","","","17","","6","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 20:00","2012","02","04","20:00","-13.6","","-15.8","","83","","","","13","","4","","","","","M","","","-16","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 21:00","2012","02","04","21:00","-15.5","","-17.5","","85","","","","14","","4","","","","","M","","","-18","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 22:00","2012","02","04","22:00","-16.9","","-19.1","","83","","","","9","","2","","","","","M","","","-18","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-04 23:00","2012","02","04","23:00","-16.9","","-18.6","","87","","","","4","","6","","","","","M","","","-21","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 00:00","2012","02","05","00:00","-15.6","","-17.5","","85","","","","2","","2","","","","","M","","","-17","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 01:00","2012","02","05","01:00","-16.6","","-18.9","","82","","","","4","","6","","","","","M","","","-21","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 02:00","2012","02","05","02:00","-17.7","","-20.1","","81","","","","5","","4","","","","","M","","","-21","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 03:00","2012","02","05","03:00","-18.4","","-20.8","","81","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 04:00","2012","02","05","04:00","-19.3","","-21.8","","81","","","","14","","2","","","","","M","","","-21","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 05:00","2012","02","05","05:00","-19.5","","-21.8","","82","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 06:00","2012","02","05","06:00","-20.5","","-23.2","","79","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 07:00","2012","02","05","07:00","-19.8","","-22.4","","80","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 08:00","2012","02","05","08:00","-19.5","","-22.0","","80","","","","","","0","","","","","M","","","","","NA"
"-73.38","45.72","VARENNES","702327X","2012-02-05 09:00","2012","02","05","09:00","-17.5","","-20.1","","80","","","","","","0","","","","","M","","","","","NA"
