"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 00:00","2019","03","01","00:00","-15.1","","-20.4","","63","","","M","31","","6","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 01:00","2019","03","01","01:00","-15.1","","-20.5","","64","","","M","33","","5","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 02:00","2019","03","01","02:00","-15.1","","-20.2","","65","","","M","32","","5","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 03:00","2019","03","01","03:00","-15.2","","-20.0","","67","","","M","33","","8","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 04:00","2019","03","01","04:00","-15.4","","-19.6","","70","","","M","32","","2","","","","","","","","-17","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 05:00","2019","03","01","05:00","-15.4","","-19.3","","72","","","M","2","","11","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 06:00","2019","03","01","06:00","-16.6","","-19.3","","79","","","M","1","","7","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 07:00","2019","03","01","07:00","-17.0","","-19.5","","81","","","M","1","","8","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 08:00","2019","03","01","08:00","-17.2","","-19.7","","81","","","M","1","","5","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 09:00","2019","03","01","09:00","-17.4","","-20.0","","80","","","M","1","","8","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 10:00","2019","03","01","10:00","-17.1","","-19.8","","79","","","M","35","","9","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 11:00","2019","03","01","11:00","-15.8","","-18.9","","77","","","M","35","","12","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 12:00","2019","03","01","12:00","-15.0","","-18.2","","76","","","M","36","","13","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 13:00","2019","03","01","13:00","-14.4","","-17.9","","75","","","M","1","","14","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 14:00","2019","03","01","14:00","-13.8","","-17.9","","71","","","M","1","","15","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 15:00","2019","03","01","15:00","-13.7","","-17.9","","71","","","M","1","","12","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 16:00","2019","03","01","16:00","-13.7","","-17.9","","70","","","M","36","","11","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 17:00","2019","03","01","17:00","-13.8","","-18.4","","68","","","M","36","","11","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 18:00","2019","03","01","18:00","-15.4","","-19.3","","72","","","M","36","","9","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 19:00","2019","03","01","19:00","-16.3","","-20.0","","73","","","M","34","","6","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 20:00","2019","03","01","20:00","-20.9","","-23.4","","80","","","M","30","","4","","","","","","","","-24","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 21:00","2019","03","01","21:00","-23.1","","-25.4","","81","","","M","30","","6","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 22:00","2019","03","01","22:00","-24.3","","-26.9","","79","","","M","29","","7","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-01 23:00","2019","03","01","23:00","-21.9","","-24.5","","79","","","M","28","","8","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 00:00","2019","03","02","00:00","-19.3","","-21.3","","84","","","M","31","","7","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 01:00","2019","03","02","01:00","-19.0","","-21.0","","84","","","M","30","","10","","","","","","","","-26","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 02:00","2019","03","02","02:00","-19.1","","-21.7","","80","","","M","31","","15","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 03:00","2019","03","02","03:00","-19.8","","-22.5","","79","","","M","32","","14","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 04:00","2019","03","02","04:00","-20.5","","-23.3","","78","","","M","32","","16","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 05:00","2019","03","02","05:00","-21.5","","-24.4","","78","","","M","32","","12","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 06:00","2019","03","02","06:00","-22.2","","-25.2","","77","","","M","32","","13","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 07:00","2019","03","02","07:00","-22.7","","-25.5","","78","","","M","31","","12","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 08:00","2019","03","02","08:00","-22.8","","-25.9","","76","","","M","30","","11","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 09:00","2019","03","02","09:00","-22.2","","-26.2","","70","","","M","29","","11","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 10:00","2019","03","02","10:00","-21.0","","-26.4","","62","","","M","30","","19","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 11:00","2019","03","02","11:00","-20.6","","-25.4","","65","","","M","28","","16","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 12:00","2019","03","02","12:00","-20.4","","-25.7","","63","","","M","29","","15","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 13:00","2019","03","02","13:00","-19.9","","-25.3","","62","","","M","30","","15","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 14:00","2019","03","02","14:00","-19.0","","-26.5","","51","","","M","29","","21","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 15:00","2019","03","02","15:00","-19.0","","-25.6","","56","","","M","27","","23","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 16:00","2019","03","02","16:00","-19.2","","-25.5","","58","","","M","27","","24","","","","","","","","-30","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 17:00","2019","03","02","17:00","-20.1","","-25.8","","60","","","M","26","","22","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 18:00","2019","03","02","18:00","-20.8","","-26.4","","61","","","M","27","","25","","","","","","","","-33","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 19:00","2019","03","02","19:00","-21.7","","-26.4","","66","","","M","26","","27","","","","","","","","-34","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 20:00","2019","03","02","20:00","-22.1","","-27.0","","64","","","M","27","","26","","","","","","","","-35","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 21:00","2019","03","02","21:00","-22.5","","-27.8","","62","","","M","28","","25","","","","","","","","-35","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 22:00","2019","03","02","22:00","-23.2","","-27.8","","66","","","M","28","","23","","","","","","","","-35","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-02 23:00","2019","03","02","23:00","-23.5","","-28.2","","65","","","M","28","","23","","","","","","","","-36","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 00:00","2019","03","03","00:00","-23.9","","-28.7","","65","","","M","28","","23","","","","","","","","-36","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 01:00","2019","03","03","01:00","-24.7","","-29.3","","66","","","M","27","","19","","","","","","","","-36","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 02:00","2019","03","03","02:00","-25.0","","-29.4","","67","","","M","28","","16","","","","","","","","-36","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 03:00","2019","03","03","03:00","-25.7","","-30.0","","67","","","M","28","","17","","","","","","","","-37","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 04:00","2019","03","03","04:00","-26.1","","-30.3","","68","","","M","29","","18","","","","","","","","-38","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 05:00","2019","03","03","05:00","-26.4","","-30.6","","67","","","M","28","","17","","","","","","","","-38","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 06:00","2019","03","03","06:00","-26.7","","-30.7","","69","","","M","28","","16","","","","","","","","-38","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 07:00","2019","03","03","07:00","-26.5","","-30.4","","70","","","M","28","","16","","","","","","","","-37","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 08:00","2019","03","03","08:00","-25.7","","-29.9","","67","","","M","28","","18","","","","","","","","-37","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 09:00","2019","03","03","09:00","-24.8","","-29.5","","65","","","M","29","","17","","","","","","","","-36","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 10:00","2019","03","03","10:00","-23.4","","-28.6","","63","","","M","29","","20","","","","","","","","-35","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 11:00","2019","03","03","11:00","-22.3","","-27.9","","60","","","M","29","","19","","","","","","","","-33","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 12:00","2019","03","03","12:00","-20.8","","-26.8","","58","","","M","29","","18","","","","","","","","-31","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 13:00","2019","03","03","13:00","-19.6","","-25.1","","62","","","M","29","","17","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 14:00","2019","03","03","14:00","-18.9","","-24.9","","59","","","M","29","","18","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 15:00","2019","03","03","15:00","-18.2","","-24.0","","60","","","M","27","","18","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 16:00","2019","03","03","16:00","-17.6","","-23.5","","60","","","M","29","","20","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 17:00","2019","03","03","17:00","-17.3","","-22.4","","64","","","M","28","","14","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 18:00","2019","03","03","18:00","-18.4","","-22.5","","70","","","M","29","","13","","","","","","","","-26","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 19:00","2019","03","03","19:00","-20.3","","-24.0","","72","","","M","27","","10","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 20:00","2019","03","03","20:00","-19.7","","-23.2","","74","","","M","27","","13","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 21:00","2019","03","03","21:00","-19.7","","-23.5","","72","","","M","28","","17","","","","","","","","-29","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 22:00","2019","03","03","22:00","-18.6","","-22.8","","69","","","M","28","","18","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-03 23:00","2019","03","03","23:00","-17.9","","-22.2","","69","","","M","29","","18","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 00:00","2019","03","04","00:00","-17.7","","-21.6","","71","","","M","29","","20","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 01:00","2019","03","04","01:00","-17.5","","-21.3","","72","","","M","28","","18","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 02:00","2019","03","04","02:00","-17.6","","-21.5","","71","","","M","27","","18","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 03:00","2019","03","04","03:00","-18.2","","-22.0","","72","","","M","26","","19","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 04:00","2019","03","04","04:00","-18.1","","-21.6","","74","","","M","27","","19","","","","","","","","-28","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 05:00","2019","03","04","05:00","-16.8","","-20.3","","74","","","M","26","","15","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 06:00","2019","03","04","06:00","-15.9","","-19.2","","76","","","M","27","","20","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 07:00","2019","03","04","07:00","-16.1","","-19.9","","73","","","M","27","","25","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 08:00","2019","03","04","08:00","-16.1","","-19.1","","78","","","M","28","","26","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 09:00","2019","03","04","09:00","-15.7","","-18.7","","78","","","M","28","","29","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 10:00","2019","03","04","10:00","-14.6","","-17.9","","76","","","M","29","","26","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 11:00","2019","03","04","11:00","-13.1","","-16.7","","74","","","M","29","","28","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 12:00","2019","03","04","12:00","-11.8","","-15.8","","72","","","M","29","","25","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 13:00","2019","03","04","13:00","-10.5","","-15.9","","65","","","M","31","","20","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 14:00","2019","03","04","14:00","-10.3","","-15.5","","66","","","M","31","","21","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 15:00","2019","03","04","15:00","-10.2","","-14.5","","71","","","M","31","","22","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 16:00","2019","03","04","16:00","-11.6","","-14.2","","81","","","M","35","","22","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 17:00","2019","03","04","17:00","-11.5","","-16.4","","67","","","M","33","","23","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 18:00","2019","03","04","18:00","-12.5","","-17.4","","67","","","M","32","","14","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 19:00","2019","03","04","19:00","-13.2","","-18.5","","64","","","M","32","","11","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 20:00","2019","03","04","20:00","-14.3","","-18.3","","72","","","M","31","","14","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 21:00","2019","03","04","21:00","-14.3","","-18.4","","71","","","M","30","","15","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 22:00","2019","03","04","22:00","-15.3","","-18.7","","75","","","M","29","","13","","","","","","","","-23","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-04 23:00","2019","03","04","23:00","-13.3","","-16.6","","76","","","M","32","","15","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 00:00","2019","03","05","00:00","-13.7","","-16.7","","78","","","M","31","","10","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 01:00","2019","03","05","01:00","-14.1","","-16.8","","80","","","M","31","","10","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 02:00","2019","03","05","02:00","-13.9","","-16.5","","81","","","M","33","","9","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 03:00","2019","03","05","03:00","-13.8","","-16.7","","79","","","M","31","","12","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 04:00","2019","03","05","04:00","-14.9","","-18.0","","77","","","M","30","","13","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 05:00","2019","03","05","05:00","-14.9","","-18.1","","77","","","M","29","","12","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 06:00","2019","03","05","06:00","-14.2","","-17.2","","78","","","M","29","","12","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 07:00","2019","03","05","07:00","-14.1","","-17.3","","77","","","M","29","","10","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 08:00","2019","03","05","08:00","-13.1","","-17.3","","71","","","M","29","","14","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 09:00","2019","03","05","09:00","-14.1","","-18.9","","67","","","M","28","","16","","","","","","","","-22","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 10:00","2019","03","05","10:00","-13.8","","-18.6","","67","","","M","24","","14","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 11:00","2019","03","05","11:00","-12.1","","-18.1","","61","","","M","28","","14","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 12:00","2019","03","05","12:00","-11.6","","-18.0","","59","","","M","29","","16","","","","","","","","-19","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 13:00","2019","03","05","13:00","-10.7","","-17.4","","58","","","M","26","","15","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 14:00","2019","03","05","14:00","-10.8","","-16.4","","63","","","M","24","","17","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 15:00","2019","03","05","15:00","-10.3","","-16.2","","62","","","M","25","","19","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 16:00","2019","03","05","16:00","-10.8","","-15.6","","68","","","M","23","","14","","","","","","","","-17","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 17:00","2019","03","05","17:00","-10.3","","-15.2","","67","","","M","26","","17","","","","","","","","-18","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 18:00","2019","03","05","18:00","-10.5","","-15.5","","67","","","M","27","","13","","","","","","","","-17","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 19:00","2019","03","05","19:00","-13.6","","-16.7","","77","","","M","28","","5","","","","","","","","-17","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 20:00","2019","03","05","20:00","-16.7","","-18.9","","83","","","M","25","","1","","","","","","","","-17","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 21:00","2019","03","05","21:00","-17.8","","-19.6","","86","","","M","32","","4","","","","","","","","-21","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 22:00","2019","03","05","22:00","-19.4","","-21.0","","87","","","M","30","","7","","","","","","","","-25","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-05 23:00","2019","03","05","23:00","-20.4","","-22.4","","84","","","M","29","","8","","","","","","","","-27","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-06 00:00","2019","03","06","00:00","-14.3","","-16.5","","83","","","M","30","","8","","","","","","","","-20","","NA"
"-98.03","49.50","CARMAN U OF M CS","502I001","2019-03-06 01:00","2019","03","06","01:00","-13.9","","-17.1","","76","","","M","29","","13","","","","","","","","-21","","NA"
