"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 00:00","2019","04","01","00:00","1.8","","-2.6","","72","","0.0","","30","","6","","","","94.08","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 01:00","2019","04","01","01:00","1.8","","-1.3","","80","","0.0","","30","","13","","","","94.06","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 02:00","2019","04","01","02:00","1.0","","-1.0","","86","","0.0","","28","","17","","","","94.00","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 03:00","2019","04","01","03:00","1.0","","-0.8","","88","","0.0","","28","","14","","","","93.96","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 04:00","2019","04","01","04:00","1.0","","-0.8","","88","","0.0","","30","","17","","","","93.94","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 05:00","2019","04","01","05:00","0.8","","-1.0","","88","","0.0","","31","","16","","","","93.93","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 06:00","2019","04","01","06:00","-0.5","","-2.1","","89","","0.0","","31","","11","","","","93.92","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 07:00","2019","04","01","07:00","-0.3","","-2.0","","88","","0.0","","28","","12","","","","93.91","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 08:00","2019","04","01","08:00","2.0","","-2.2","","74","","0.0","","31","","15","","","","93.91","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 09:00","2019","04","01","09:00","4.5","","-3.0","","58","","0.0","","31","","20","","","","93.88","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 10:00","2019","04","01","10:00","5.5","","-4.1","","50","","0.0","","31","","25","","","","93.86","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 11:00","2019","04","01","11:00","6.2","","-5.0","","45","","0.0","","32","","28","","","","93.83","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 12:00","2019","04","01","12:00","5.8","","-5.0","","46","","0.0","","33","","26","","","","93.79","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 13:00","2019","04","01","13:00","6.0","","-5.3","","44","","0.0","","33","","28","","","","93.73","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 14:00","2019","04","01","14:00","6.1","","-4.4","","47","","0.0","","32","","25","","","","93.68","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 15:00","2019","04","01","15:00","7.0","","-4.6","","44","","0.0","","31","","25","","","","93.62","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 16:00","2019","04","01","16:00","7.7","","-5.9","","38","","0.0","","32","","28","","","","93.57","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 17:00","2019","04","01","17:00","6.8","","-6.1","","39","","0.0","","31","","30","","","","93.53","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 18:00","2019","04","01","18:00","5.8","","-5.5","","44","","0.0","","31","","27","","","","93.49","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 19:00","2019","04","01","19:00","3.9","","-4.4","","55","","0.0","","30","","20","","","","93.49","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 20:00","2019","04","01","20:00","2.5","","-4.4","","61","","0.0","","31","","18","","","","93.49","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 21:00","2019","04","01","21:00","1.9","","-4.3","","63","","0.0","","31","","19","","","","93.53","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 22:00","2019","04","01","22:00","-0.4","","-3.8","","78","","0.0","","4","","10","","","","93.64","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-01 23:00","2019","04","01","23:00","-1.3","","-4.5","","79","","0.0","","3","","9","","","","93.68","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 00:00","2019","04","02","00:00","-1.8","","-4.6","","82","","0.0","","32","","6","","","","93.66","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 01:00","2019","04","02","01:00","-2.0","","-4.7","","82","","0.0","","32","","5","","","","93.63","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 02:00","2019","04","02","02:00","-2.4","","-5.3","","81","","0.0","","27","","5","","","","93.58","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 03:00","2019","04","02","03:00","-2.5","","-5.2","","82","","0.0","","26","","12","","","","93.62","","","","-7","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 04:00","2019","04","02","04:00","-3.2","","-5.5","","84","","0.0","","28","","10","","","","93.63","","","","-7","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 05:00","2019","04","02","05:00","-2.9","","-5.0","","85","","0.0","","10","","4","","","","93.57","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 06:00","2019","04","02","06:00","-4.4","","-5.9","","89","","0.0","","22","","9","","","","93.49","","","","-8","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 07:00","2019","04","02","07:00","-3.5","","-5.5","","86","","0.0","","27","","9","","","","93.49","","","","-7","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 08:00","2019","04","02","08:00","-0.2","","-5.0","","70","","0.0","","30","","17","","","","93.50","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 09:00","2019","04","02","09:00","1.3","","-5.8","","59","","0.0","","34","","19","","","","93.51","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 10:00","2019","04","02","10:00","1.7","","-6.9","","53","","0.0","","33","","22","","","","93.50","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 11:00","2019","04","02","11:00","1.6","","-7.5","","51","","0.0","","34","","24","","","","93.52","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 12:00","2019","04","02","12:00","3.0","","-7.2","","47","","0.0","","33","","23","","","","93.49","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 13:00","2019","04","02","13:00","3.0","","-7.2","","47","","0.0","","33","","24","","","","93.48","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 14:00","2019","04","02","14:00","4.0","","-6.9","","45","","0.0","","33","","21","","","","93.46","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 15:00","2019","04","02","15:00","4.5","","-6.8","","44","","0.0","","32","","23","","","","93.43","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 16:00","2019","04","02","16:00","4.1","","-8.2","","40","","0.0","","33","","21","","","","93.42","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 17:00","2019","04","02","17:00","3.7","","-8.7","","40","","0.0","","33","","15","","","","93.39","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 18:00","2019","04","02","18:00","3.1","","-8.7","","42","","0.0","","34","","7","","","","93.37","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 19:00","2019","04","02","19:00","0.6","","-8.8","","49","","0.0","","36","","5","","","","93.32","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 20:00","2019","04","02","20:00","-1.4","","-8.3","","59","","0.0","","4","","4","","","","93.31","","","","-3","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 21:00","2019","04","02","21:00","-1.1","","-8.5","","57","","0.0","","11","","5","","","","93.31","","","","-3","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 22:00","2019","04","02","22:00","-1.9","","-9.0","","58","","0.0","","14","","6","","","","93.24","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-02 23:00","2019","04","02","23:00","-2.8","","-8.2","","66","","0.0","","20","","6","","","","93.24","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 00:00","2019","04","03","00:00","-2.0","","-8.4","","62","","0.0","","16","","7","","","","93.24","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 01:00","2019","04","03","01:00","-1.7","","-8.1","","62","","0.0","","13","","4","","","","93.22","","","","-3","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 02:00","2019","04","03","02:00","-1.1","","-8.0","","59","","0.0","","12","","6","","","","93.21","","","","-3","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 03:00","2019","04","03","03:00","-1.0","","-8.0","","59","","0.0","","15","","14","","","","93.21","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 04:00","2019","04","03","04:00","-2.4","","-4.1","","88","","0.0","","16","","12","","","","93.18","","","","-7","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 05:00","2019","04","03","05:00","-2.3","","-3.7","","90","","0.0","","15","","5","","","","93.11","","","","-4","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 06:00","2019","04","03","06:00","-2.2","","-3.7","","89","","0.0","","16","","15","","","","93.06","","","","-7","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 07:00","2019","04","03","07:00","-1.6","","-3.4","","88","","0.0","","12","","4","","","","93.01","","","","-3","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 08:00","2019","04","03","08:00","-0.3","","-3.9","","77","","0.0","","11","","16","","","","92.97","","","","-5","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 09:00","2019","04","03","09:00","2.9","","-4.0","","60","","0.0","","12","","15","","","","92.90","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 10:00","2019","04","03","10:00","5.3","","-4.0","","51","","0.0","","13","","13","","","","92.89","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 11:00","2019","04","03","11:00","7.1","","-4.2","","45","","0.0","","14","","17","","","","92.84","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 12:00","2019","04","03","12:00","9.1","","-5.7","","35","","0.0","","17","","26","","","","92.79","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 13:00","2019","04","03","13:00","10.0","","-5.5","","33","","0.0","","14","","18","","","","92.70","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 14:00","2019","04","03","14:00","10.3","","-5.4","","33","","0.0","","15","","24","","","","92.66","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 15:00","2019","04","03","15:00","11.6","","-5.2","","30","","0.0","","16","","20","","","","92.57","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 16:00","2019","04","03","16:00","11.9","","-5.3","","30","","0.0","","16","","21","","","","92.52","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 17:00","2019","04","03","17:00","12.1","","-5.4","","29","","0.0","","18","","19","","","","92.49","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 18:00","2019","04","03","18:00","11.6","","-5.9","","29","","0.0","","21","","11","","","","92.47","","","","","","NA"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2019-04-03 19:00","2019","04","03","19:00","9.7","","-5.7","","33","","0.0","","12","","5","","","","92.44","","","","","","NA"
