"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 00:00","2019","04","01","00:00","-12.2","","-13.6","","89","","0.0","","","","","M","","","102.38","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 01:00","2019","04","01","01:00","-12.1","","-13.5","","89","","0.0","","","","","M","","","102.39","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 02:00","2019","04","01","02:00","-10.8","","-12.2","","90","","0.0","","","","","M","","","102.38","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 03:00","2019","04","01","03:00","-11.5","","-12.9","","89","","0.0","","","","","M","","","102.38","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 04:00","2019","04","01","04:00","-11.9","","-13.3","","89","","0.0","","","","","M","","","102.40","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 05:00","2019","04","01","05:00","-11.6","","-13.0","","89","","0.0","","","","","M","","","102.39","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 06:00","2019","04","01","06:00","-11.7","","-13.0","","90","","0.0","","","","","M","","","102.40","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 07:00","2019","04","01","07:00","-12.7","","-14.2","","88","","0.3","","","","","M","","","102.46","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 08:00","2019","04","01","08:00","-13.1","","-14.8","","87","","0.0","","","","","M","","","102.48","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 09:00","2019","04","01","09:00","-14.0","","-16.0","","85","","0.0","","","","","M","","","102.53","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 10:00","2019","04","01","10:00","-14.1","","-16.2","","84","","0.0","","","","","M","","","102.59","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 11:00","2019","04","01","11:00","-13.8","","-16.1","","83","","0.0","","","","","M","","","102.57","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 12:00","2019","04","01","12:00","-13.5","","-15.6","","84","","0.0","","","","","M","","","102.62","","","","","","NA"
"-124.08","69.36","PAULATUK","2203058","2019-04-01 13:00","2019","04","01","13:00","-13.6","","-15.9","","83","","0.0","","","","","M","","","102.66","","","","","","NA"
