"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 00:00","2018","04","01","00:00","-10.9","","-14.6","","74","","0.0","","25","","20","","","","98.99","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 01:00","2018","04","01","01:00","-10.7","","-14.6","","73","","0.0","","25","","22","","","","98.93","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 02:00","2018","04","01","02:00","-10.9","","-14.6","","74","","0.0","","24","","20","","","","98.87","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 03:00","2018","04","01","03:00","-11.0","","-14.5","","75","","0.0","","25","","21","","","","98.80","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 04:00","2018","04","01","04:00","-11.0","","-14.5","","75","","0.0","","25","","25","","","","98.77","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 05:00","2018","04","01","05:00","-11.4","","-14.8","","76","","0.0","","26","","23","","","","98.77","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 06:00","2018","04","01","06:00","-11.8","","-15.0","","77","","0.0","","26","","20","","","","98.77","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 07:00","2018","04","01","07:00","-11.0","","-15.0","","72","","0.0","","25","","22","","","","98.74","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 08:00","2018","04","01","08:00","-10.0","","-14.7","","68","","0.0","","26","","34","","","","98.73","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 09:00","2018","04","01","09:00","-8.9","","-14.5","","64","","0.0","","26","","34","","","","98.70","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 10:00","2018","04","01","10:00","-7.3","","-13.1","","63","","0.0","","27","","33","","","","98.70","","","","-16","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 11:00","2018","04","01","11:00","-6.1","","-12.9","","59","","0.0","","26","","30","","","","98.69","","","","-14","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 12:00","2018","04","01","12:00","-4.9","","-12.2","","57","","0.0","","27","","30","","","","98.63","","","","-13","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 13:00","2018","04","01","13:00","-4.1","","-11.6","","56","","0.0","","26","","28","","","","98.58","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 14:00","2018","04","01","14:00","-3.6","","-12.2","","51","","0.0","","27","","26","","","","98.53","","","","-11","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 15:00","2018","04","01","15:00","-3.1","","-10.8","","55","","0.0","","28","","28","","","","98.47","","","","-10","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 16:00","2018","04","01","16:00","-3.0","","-10.6","","56","","0.0","","29","","24","","","","98.45","","","","-10","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 17:00","2018","04","01","17:00","-3.7","","-10.5","","60","","0.0","","31","","22","","","","98.43","","","","-10","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 18:00","2018","04","01","18:00","-4.5","","-11.6","","58","","0.0","","32","","14","","","","98.42","","","","-10","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 19:00","2018","04","01","19:00","-6.5","","-10.9","","71","","0.0","","34","","10","","","","98.45","","","","-11","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 20:00","2018","04","01","20:00","-9.0","","-11.7","","81","","0.0","","3","","23","","","","98.54","","","","-17","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2018-04-01 21:00","2018","04","01","21:00","-11.5","","-15.5","","72","","0.0","","4","","32","","","","98.67","","","","-22","","NA"
