"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 00:00","2012","02","01","00:00","-17.9","","-22.0","","70","","","","20","","19","","","","102.20","","","","-28","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 01:00","2012","02","01","01:00","-18.3","","-22.4","","70","","","","19","","17","","","","102.18","","","","-28","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 02:00","2012","02","01","02:00","-18.9","","-23.1","","69","","","","19","","15","","","","102.18","","","","-28","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 03:00","2012","02","01","03:00","-19.9","","-24.0","","70","","","","19","","17","","","","102.18","","","","-30","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 04:00","2012","02","01","04:00","-20.2","","-24.0","","72","","","","19","","13","","","","102.12","","","","-29","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 05:00","2012","02","01","05:00","-21.3","","-25.2","","71","","","","19","","13","","","","102.05","","","","-30","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 06:00","2012","02","01","06:00","-21.1","","-25.2","","70","","","","19","","17","","","","102.02","","","","-31","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 07:00","2012","02","01","07:00","-21.2","","-25.4","","69","","","","20","","19","","","","102.02","","","","-32","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 08:00","2012","02","01","08:00","-20.0","","-24.4","","68","","","","20","","15","","","","102.01","","","","-29","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 09:00","2012","02","01","09:00","-18.7","","-23.1","","68","","","","19","","9","","","","101.96","","","","-25","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 10:00","2012","02","01","10:00","-15.1","","-19.5","","69","","","","15","","2","","","","101.88","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 11:00","2012","02","01","11:00","-11.5","","-15.7","","71","","","","8","","15","","","","101.80","","","","-19","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 12:00","2012","02","01","12:00","-10.7","","-14.7","","72","","","","8","","13","","","","101.72","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 13:00","2012","02","01","13:00","-10.4","","-13.4","","79","","","","9","","13","","","","101.63","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 14:00","2012","02","01","14:00","-9.4","","-11.8","","83","","","","7","","17","","","","101.57","","","","-16","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 15:00","2012","02","01","15:00","-9.3","","-11.8","","82","","","","8","","15","","","","101.52","","","","-16","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 16:00","2012","02","01","16:00","-8.8","","-11.0","","84","","","","7","","15","","","","101.50","","","","-15","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 17:00","2012","02","01","17:00","-9.1","","-11.3","","84","","","","7","","20","","","","101.51","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 18:00","2012","02","01","18:00","-9.2","","-12.1","","79","","","","8","","20","","","","101.52","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 19:00","2012","02","01","19:00","-9.2","","-12.1","","79","","","","8","","15","","","","101.56","","","","-16","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 20:00","2012","02","01","20:00","-9.0","","-11.2","","84","","","","6","","30","","","","101.60","","","","-18","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 21:00","2012","02","01","21:00","-9.0","","-11.1","","85","","","","7","","24","","","","101.61","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 22:00","2012","02","01","22:00","-9.0","","-11.7","","81","","","","5","","30","","","","101.64","","","","-18","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-01 23:00","2012","02","01","23:00","-8.9","","-12.2","","77","","","","5","","26","","","","101.68","","","","-18","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 00:00","2012","02","02","00:00","-9.8","","-13.4","","75","","","","8","","7","","","","101.73","","","","-14","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 01:00","2012","02","02","01:00","-10.1","","-13.7","","75","","","","10","","7","","","","101.77","","","","-14","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 02:00","2012","02","02","02:00","-12.3","","-15.2","","79","","","","21","","4","","","","101.82","","","","-15","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 03:00","2012","02","02","03:00","-12.5","","-15.4","","79","","","","19","","7","","","","101.83","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 04:00","2012","02","02","04:00","-12.4","","-15.2","","80","","","","19","","7","","","","101.89","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 05:00","2012","02","02","05:00","-12.3","","-15.1","","80","","","","20","","7","","","","101.95","","","","-17","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 06:00","2012","02","02","06:00","-11.7","","-14.5","","80","","","","16","","4","","","","101.99","","","","-14","","NA"
"-66.65","49.11","CAP-CHAT","705S002","2012-02-02 07:00","2012","02","02","07:00","-10.6","","-13.6","","79","","","","36","","19","","","","102.08","","","","-18","","NA"
