"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 00:00","2019","03","01","00:00","-24.7","","-27.1","","81","","0.0","","19","","23","","","","103.87","","","","-37","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 01:00","2019","03","01","01:00","-24.4","","-26.7","","81","","0.0","","18","","28","","","","103.84","","","","-38","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 02:00","2019","03","01","02:00","-23.2","","-25.4","","82","","0.0","","19","","30","","","","103.76","","","","-37","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 03:00","2019","03","01","03:00","-21.8","","-23.9","","84","","0.0","","16","","15","","","","103.72","","","","-31","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 04:00","2019","03","01","04:00","-21.6","","-23.6","","84","","0.0","","16","","24","","","","103.58","","","","-33","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 05:00","2019","03","01","05:00","-20.4","","-22.4","","84","","0.0","","17","","36","","","","103.46","","","","-34","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 06:00","2019","03","01","06:00","-18.3","","-19.9","","87","","0.0","","22","","49","","","","103.25","","","","-33","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 07:00","2019","03","01","07:00","-18.6","","-20.4","","85","","0.0","","22","","57","","","","103.11","","","","-34","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 08:00","2019","03","01","08:00","-19.0","","-20.8","","86","","0.0","","19","","44","","","","103.14","","","","-33","","NA"
"-119.35","76.24","MOULD BAY CS","250M001","2019-03-01 09:00","2019","03","01","09:00","-18.6","","-20.3","","86","","0.0","","19","","43","","","","103.08","","","","-33","","NA"
