"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 00:00","2019","02","01","00:00","-35.6","","-39.1","","70","","0.0","","35","","11","","","","95.89","","","","-46","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 01:00","2019","02","01","01:00","-35.9","","-39.4","","70","","0.0","","34","","5","","","","95.96","","","","-42","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 02:00","2019","02","01","02:00","-36.4","","-40.0","","70","","0.0","","35","","8","","","","96.02","","","","-45","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 03:00","2019","02","01","03:00","-37.1","","-40.8","","69","","0.0","","36","","8","","","","96.05","","","","-46","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 04:00","2019","02","01","04:00","-37.6","","-41.2","","69","","0.0","","35","","7","","","","96.09","","","","-46","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 05:00","2019","02","01","05:00","-38.1","","-41.7","","69","","0.0","","34","","6","","","","96.14","","","","-46","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 06:00","2019","02","01","06:00","-38.2","","-41.8","","69","","0.0","","35","","8","","","","96.17","","","","-48","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 07:00","2019","02","01","07:00","-37.9","","-41.5","","69","","0.0","","34","","9","","","","96.22","","","","-48","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 08:00","2019","02","01","08:00","-37.8","","-41.3","","69","","0.0","","27","","5","","","","96.25","","","","-44","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 09:00","2019","02","01","09:00","-37.2","","-40.7","","70","","0.0","","1","","3","","","","96.28","","","","-41","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 10:00","2019","02","01","10:00","-36.4","","-39.9","","70","","0.0","","27","","7","","","","96.35","","","","-45","","NA"
"-111.25","65.76","LUPIN CS","230N002","2019-02-01 11:00","2019","02","01","11:00","-36.0","","-39.4","","70","","0.0","","28","","6","","","","96.35","","","","-43","","NA"
