"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 00:00","2019","03","01","00:00","-17.6","","-21.1","","74","","0.0","","2","","7","","","","93.21","","","","-23","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 01:00","2019","03","01","01:00","-18.5","","-21.5","","77","","0.0","","2","","12","","","","93.32","","","","-26","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 02:00","2019","03","01","02:00","-18.7","","-21.5","","79","","0.0","","1","","8","","","","93.43","","","","-25","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 03:00","2019","03","01","03:00","-19.2","","-22.1","","78","","0.0","","36","","13","","","","93.54","","","","-27","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 04:00","2019","03","01","04:00","-20.5","","-23.9","","74","","0.0","","36","","13","","","","93.66","","","","-29","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 05:00","2019","03","01","05:00","-21.6","","-24.6","","77","","0.0","","35","","10","","","","93.76","","","","-29","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 06:00","2019","03","01","06:00","-22.5","","-25.7","","75","","0.0","","36","","10","","","","93.89","","","","-30","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 07:00","2019","03","01","07:00","-24.0","","-27.0","","76","","0.0","","2","","10","","","","94.00","","","","-32","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 08:00","2019","03","01","08:00","-25.0","","-28.1","","75","","0.0","","34","","4","","","","94.08","","","","-29","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 09:00","2019","03","01","09:00","-24.9","","-28.9","","69","","0.0","","34","","9","","","","94.21","","","","-33","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 10:00","2019","03","01","10:00","-24.9","","-29.9","","63","","0.0","","34","","13","","","","94.24","","","","-34","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 11:00","2019","03","01","11:00","-24.4","","-30.7","","56","","0.0","","35","","13","","","","94.32","","","","-34","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 12:00","2019","03","01","12:00","-23.6","","-31.3","","49","","0.0","","34","","11","","","","94.37","","","","-32","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 13:00","2019","03","01","13:00","-23.4","","-31.4","","48","","0.0","","33","","12","","","","94.37","","","","-32","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 14:00","2019","03","01","14:00","-23.0","","-31.8","","44","","0.0","","1","","16","","","","94.35","","","","-33","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 15:00","2019","03","01","15:00","-21.9","","-31.2","","43","","0.0","","35","","8","","","","94.37","","","","-28","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 16:00","2019","03","01","16:00","-21.7","","-31.2","","42","","0.0","","35","","14","","","","94.38","","","","-31","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 17:00","2019","03","01","17:00","-21.6","","-31.1","","42","","0.0","","36","","12","","","","94.39","","","","-30","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 18:00","2019","03","01","18:00","-22.2","","-30.5","","47","","0.0","","1","","5","","","","94.41","","","","-27","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 19:00","2019","03","01","19:00","-23.5","","-29.8","","56","","0.0","","33","","3","","","","94.44","","","","-26","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 20:00","2019","03","01","20:00","-25.2","","-30.4","","62","","0.0","","9","","5","","","","94.48","","","","-30","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 21:00","2019","03","01","21:00","-24.9","","-30.1","","62","","0.0","","1","","4","","","","94.50","","","","-29","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 22:00","2019","03","01","22:00","-24.6","","-30.3","","59","","0.0","","33","","9","","","","94.55","","","","-32","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-01 23:00","2019","03","01","23:00","-24.5","","-30.3","","59","","0.0","","34","","8","","","","94.59","","","","-32","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 00:00","2019","03","02","00:00","-24.7","","-30.4","","59","","0.0","","34","","7","","","","94.62","","","","-31","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 01:00","2019","03","02","01:00","-25.7","","-30.6","","63","","0.0","","31","","11","","","","94.63","","","","-34","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 02:00","2019","03","02","02:00","-26.1","","-30.8","","65","","0.0","","30","","9","","","","94.66","","","","-34","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 03:00","2019","03","02","03:00","-26.1","","-30.5","","67","","0.0","","29","","9","","","","94.65","","","","-34","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 04:00","2019","03","02","04:00","-26.4","","-30.8","","67","","0.0","","30","","10","","","","94.65","","","","-35","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 05:00","2019","03","02","05:00","-26.6","","-30.7","","69","","0.0","","29","","10","","","","94.66","","","","-35","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 06:00","2019","03","02","06:00","-26.9","","-30.8","","70","","0.0","","31","","10","","","","94.70","","","","-35","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 07:00","2019","03","02","07:00","-27.8","","-31.5","","71","","0.0","","30","","9","","","","94.71","","","","-36","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 08:00","2019","03","02","08:00","-28.7","","-32.6","","69","","0.0","","29","","10","","","","94.75","","","","-38","","NA"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2019-03-02 09:00","2019","03","02","09:00","-26.8","","-32.1","","61","","0.0","","29","","7","","","","94.75","","","","-34","","NA"
