"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 00:00","2019","04","01","00:00","-5.2","","-7.0","","87","","0.0","","30","","9","","","","98.95","","","","-9","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 01:00","2019","04","01","01:00","-6.0","","-7.7","","88","","0.0","","30","","7","","","","99.00","","","","-9","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 02:00","2019","04","01","02:00","-6.0","","-7.8","","87","","0.0","","30","","8","","","","99.01","","","","-10","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 03:00","2019","04","01","03:00","-6.4","","-8.1","","88","","0.0","","30","","6","","","","99.08","","","","-9","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 04:00","2019","04","01","04:00","-7.1","","-8.7","","88","","0.0","","28","","4","","","","99.15","","","","-9","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 05:00","2019","04","01","05:00","-7.5","","-9.1","","89","","0.0","","27","","5","","","","99.20","","","","-10","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 06:00","2019","04","01","06:00","-7.8","","-9.6","","87","","0.0","","26","","4","","","","99.26","","","","-10","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 07:00","2019","04","01","07:00","-7.6","","-9.9","","84","","0.3","","25","","6","","","","99.31","","","","-11","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 08:00","2019","04","01","08:00","-4.5","","-7.3","","81","","0.0","","30","","6","","","","99.36","","","","-7","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 09:00","2019","04","01","09:00","-2.5","","-6.2","","76","","0.0","","29","","10","","","","99.41","","","","-6","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 10:00","2019","04","01","10:00","-1.2","","-5.2","","74","","0.0","","29","","11","","","","99.44","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 11:00","2019","04","01","11:00","-0.7","","-6.0","","67","","0.0","","29","","13","","","","99.47","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 12:00","2019","04","01","12:00","-0.2","","-8.6","","53","","0.0","","25","","11","","","","99.44","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 13:00","2019","04","01","13:00","0.2","","-9.9","","47","","0.0","","25","","10","","","","99.41","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 14:00","2019","04","01","14:00","0.1","","-9.8","","47","","0.0","","23","","17","","","","99.38","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 15:00","2019","04","01","15:00","0.7","","-9.3","","47","","0.0","","24","","15","","","","99.32","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 16:00","2019","04","01","16:00","0.7","","-9.8","","45","","0.0","","23","","17","","","","99.29","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 17:00","2019","04","01","17:00","0.4","","-8.1","","53","","0.0","","22","","16","","","","99.29","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 18:00","2019","04","01","18:00","0.2","","-7.7","","55","","0.0","","22","","19","","","","99.28","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 19:00","2019","04","01","19:00","-0.8","","-6.9","","63","","0.0","","23","","12","","","","99.30","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 20:00","2019","04","01","20:00","-1.8","","-6.7","","69","","0.0","","18","","8","","","","99.30","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 21:00","2019","04","01","21:00","-2.1","","-6.9","","69","","0.0","","15","","7","","","","99.29","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 22:00","2019","04","01","22:00","-1.3","","-5.8","","72","","0.0","","19","","12","","","","99.25","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-01 23:00","2019","04","01","23:00","-0.8","","-4.9","","74","","0.0","","18","","15","","","","99.23","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 00:00","2019","04","02","00:00","-0.8","","-5.2","","72","","0.0","","17","","12","","","","99.19","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 01:00","2019","04","02","01:00","-0.8","","-5.3","","72","","0.0","","17","","13","","","","99.14","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 02:00","2019","04","02","02:00","-0.7","","-5.7","","69","","0.0","","18","","17","","","","99.06","","","","-6","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 03:00","2019","04","02","03:00","-0.7","","-5.7","","69","","0.0","","18","","16","","","","99.01","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 04:00","2019","04","02","04:00","-0.5","","-5.5","","69","","0.0","","17","","16","","","","98.98","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 05:00","2019","04","02","05:00","-0.4","","-5.3","","70","","0.0","","17","","13","","","","98.96","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 06:00","2019","04","02","06:00","-0.4","","-5.2","","70","","0.0","","17","","14","","","","98.92","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 07:00","2019","04","02","07:00","-0.1","","-5.1","","69","","0.0","","18","","17","","","","98.90","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 08:00","2019","04","02","08:00","0.5","","-5.0","","67","","0.0","","18","","21","","","","98.86","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 09:00","2019","04","02","09:00","1.6","","-5.1","","61","","0.0","","18","","21","","","","98.81","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 10:00","2019","04","02","10:00","3.1","","-5.1","","55","","0.0","","18","","21","","","","98.76","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 11:00","2019","04","02","11:00","4.2","","-5.5","","49","","0.0","","19","","20","","","","98.69","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 12:00","2019","04","02","12:00","5.1","","-5.1","","48","","0.0","","18","","22","","","","98.62","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 13:00","2019","04","02","13:00","5.8","","-4.7","","47","","0.0","","19","","24","","","","98.57","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 14:00","2019","04","02","14:00","6.5","","-4.4","","46","","0.0","","20","","24","","","","98.53","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 15:00","2019","04","02","15:00","6.7","","-3.2","","49","","0.0","","19","","26","","","","98.51","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 16:00","2019","04","02","16:00","7.0","","-4.6","","43","","0.0","","19","","22","","","","98.42","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 17:00","2019","04","02","17:00","6.8","","-4.3","","45","","0.0","","19","","18","","","","98.42","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 18:00","2019","04","02","18:00","6.3","","-4.9","","45","","0.0","","19","","18","","","","98.40","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 19:00","2019","04","02","19:00","5.0","","-4.2","","51","","0.0","","18","","17","","","","98.37","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 20:00","2019","04","02","20:00","4.4","","-4.5","","52","","0.0","","18","","18","","","","98.35","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 21:00","2019","04","02","21:00","4.1","","-4.2","","55","","0.0","","18","","17","","","","98.35","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 22:00","2019","04","02","22:00","4.2","","-4.7","","52","","0.0","","18","","16","","","","98.29","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-02 23:00","2019","04","02","23:00","3.9","","-4.8","","53","","0.0","","18","","16","","","","98.22","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-03 00:00","2019","04","03","00:00","3.5","","-4.4","","56","","0.0","","17","","18","","","","98.10","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-03 01:00","2019","04","03","01:00","2.7","","-4.3","","60","","0.0","","18","","8","","","","98.05","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2019-04-03 02:00","2019","04","03","02:00","3.0","","-4.1","","60","","0.0","","21","","13","","","","98.03","","","","","","NA"
