"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 00:00","2018","03","01","00:00","-25.8","","-28.6","","77","","0.0","","27","","22","","","","102.52","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 01:00","2018","03","01","01:00","-24.9","","-27.7","","77","","0.0","","26","","22","","","","102.59","","","","-37","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 02:00","2018","03","01","02:00","-25.2","","-28.1","","77","","0.0","","26","","18","","","","102.63","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 03:00","2018","03","01","03:00","-25.3","","-28.0","","79","","0.0","","26","","15","","","","102.71","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 04:00","2018","03","01","04:00","-26.1","","-28.7","","78","","0.0","","25","","10","","","","102.76","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 05:00","2018","03","01","05:00","-28.0","","-30.6","","78","","0.0","","32","","14","","","","102.80","","","","-39","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 06:00","2018","03","01","06:00","-29.1","","-31.9","","77","","0.0","","29","","17","","","","102.85","","","","-41","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 07:00","2018","03","01","07:00","-28.0","","-31.2","","74","","0.0","","28","","20","","","","102.87","","","","-41","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 08:00","2018","03","01","08:00","-31.1","","-34.4","","73","","0.0","","25","","11","","","","102.92","","","","-41","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 09:00","2018","03","01","09:00","-28.6","","-31.9","","73","","0.0","","27","","19","","","","102.95","","","","-41","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 10:00","2018","03","01","10:00","-28.5","","-31.8","","73","","0.0","","27","","17","","","","102.95","","","","-40","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 11:00","2018","03","01","11:00","-28.4","","-31.8","","73","","0.0","","28","","19","","","","102.96","","","","-41","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 12:00","2018","03","01","12:00","-28.0","","-31.5","","72","","0.0","","28","","16","","","","102.95","","","","-39","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 13:00","2018","03","01","13:00","-27.3","","-31.4","","68","","0.0","","28","","11","","","","102.93","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 14:00","2018","03","01","14:00","-27.9","","-32.0","","68","","0.0","","27","","14","","","","102.93","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 15:00","2018","03","01","15:00","-27.4","","-31.4","","68","","0.0","","32","","11","","","","102.96","","","","-37","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 16:00","2018","03","01","16:00","-26.9","","-30.9","","69","","0.0","","24","","3","","","","102.95","","","","-30","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 17:00","2018","03","01","17:00","-26.7","","-30.8","","69","","0.0","","9","","3","","","","102.86","","","","-30","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 18:00","2018","03","01","18:00","-27.6","","-31.3","","71","","0.0","","19","","3","","","","102.84","","","","-31","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 19:00","2018","03","01","19:00","-27.8","","-31.1","","73","","0.0","","12","","5","","","","102.83","","","","-33","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 20:00","2018","03","01","20:00","-28.2","","-31.3","","75","","0.0","","12","","6","","","","102.77","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 21:00","2018","03","01","21:00","-27.3","","-30.4","","75","","0.0","","21","","1","","","","102.77","","","","-28","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 22:00","2018","03","01","22:00","-28.1","","-31.0","","76","","0.0","","10","","5","","","","102.72","","","","-33","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-01 23:00","2018","03","01","23:00","-27.9","","-30.7","","76","","0.0","","17","","2","","","","102.67","","","","-30","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 00:00","2018","03","02","00:00","-29.4","","-32.3","","76","","0.0","","7","","8","","","","102.63","","","","-37","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 01:00","2018","03","02","01:00","-29.3","","-32.0","","77","","0.0","","7","","5","","","","102.59","","","","-35","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 02:00","2018","03","02","02:00","-29.7","","-32.7","","75","","0.0","","8","","6","","","","102.54","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 03:00","2018","03","02","03:00","-31.9","","-34.8","","75","","0.0","","3","","4","","","","102.53","","","","-37","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 04:00","2018","03","02","04:00","-33.1","","-36.2","","74","","0.0","","27","","2","","","","102.49","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 05:00","2018","03","02","05:00","-30.6","","-33.6","","75","","0.0","","36","","1","","","","102.46","","","","-32","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 06:00","2018","03","02","06:00","-32.8","","-36.0","","73","","0.0","","1","","1","","","","102.41","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 07:00","2018","03","02","07:00","-31.2","","-34.0","","76","","0.0","","14","","1","","","","102.38","","","","-32","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 08:00","2018","03","02","08:00","-34.3","","-37.8","","71","","0.0","","6","","1","","","","102.32","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 09:00","2018","03","02","09:00","-32.4","","-35.6","","74","","0.0","","14","","5","","","","102.26","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 10:00","2018","03","02","10:00","-32.7","","-36.0","","72","","0.0","","12","","5","","","","102.21","","","","-39","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 11:00","2018","03","02","11:00","-30.3","","-33.2","","75","","0.0","","14","","7","","","","102.13","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 12:00","2018","03","02","12:00","-30.1","","-33.7","","71","","0.0","","12","","6","","","","102.04","","","","-37","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 13:00","2018","03","02","13:00","-28.4","","-32.2","","70","","0.0","","12","","7","","","","101.97","","","","-35","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 14:00","2018","03","02","14:00","-29.8","","-33.1","","73","","0.0","","11","","9","","","","101.89","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 15:00","2018","03","02","15:00","-26.6","","-29.8","","74","","0.0","","12","","8","","","","101.80","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 16:00","2018","03","02","16:00","-26.6","","-29.9","","74","","0.0","","10","","11","","","","101.73","","","","-36","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 17:00","2018","03","02","17:00","-25.5","","-28.8","","74","","0.0","","11","","8","","","","101.66","","","","-33","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 18:00","2018","03","02","18:00","-26.3","","-29.5","","74","","0.0","","14","","17","","","","101.58","","","","-38","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 19:00","2018","03","02","19:00","-25.1","","-28.4","","75","","0.0","","13","","11","","","","101.53","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 20:00","2018","03","02","20:00","-23.7","","-27.4","","71","","0.0","","15","","11","","","","101.51","","","","-32","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 21:00","2018","03","02","21:00","-24.2","","-27.6","","74","","0.0","","14","","9","","","","101.47","","","","-32","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 22:00","2018","03","02","22:00","-22.2","","-26.0","","71","","0.0","","13","","12","","","","101.41","","","","-31","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-02 23:00","2018","03","02","23:00","-23.1","","-26.5","","73","","0.0","","14","","17","","","","101.36","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-03 00:00","2018","03","03","00:00","-23.7","","-27.6","","70","","0.0","","14","","15","","","","101.31","","","","-34","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-03 01:00","2018","03","03","01:00","-21.5","","-26.4","","65","","0.0","","13","","6","","","","101.32","","","","-27","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2018-03-03 02:00","2018","03","03","02:00","-22.1","","-26.7","","66","","0.0","","16","","9","","","","101.31","","","","-29","","NA"
