"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 00:00","2019","03","01","00:00","-8.2","","-16.9","","50","","0.0","","32","","16","","","","102.13","","","","-15","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 01:00","2019","03","01","01:00","-8.7","","-16.2","","54","","0.0","","32","","17","","","","102.19","","","","-16","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 02:00","2019","03","01","02:00","-9.8","","-16.9","","56","","0.0","","32","","12","","","","102.22","","","","-16","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 03:00","2019","03","01","03:00","-9.9","","-17.6","","54","","0.0","","33","","8","","","","102.27","","","","-14","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 04:00","2019","03","01","04:00","-9.4","","-17.0","","54","","0.0","","31","","11","","","","102.34","","","","-15","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 05:00","2019","03","01","05:00","-10.2","","-16.9","","58","","0.0","","32","","11","","","","102.39","","","","-16","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 06:00","2019","03","01","06:00","-10.4","","-16.3","","62","","0.0","","31","","9","","","","102.48","","","","-15","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 07:00","2019","03","01","07:00","-11.9","","-17.4","","64","","0.0","","31","","4","","","","102.48","","","","-14","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 08:00","2019","03","01","08:00","-8.6","","-15.9","","56","","0.0","","31","","5","","","","102.58","","","","-11","","NA"
"-66.45","45.07","POINT LEPREAU CS","8104201","2019-03-01 09:00","2019","03","01","09:00","-7.2","","-15.1","","53","","0.0","","30","","8","","","","102.60","","","","-11","","NA"
