"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 00:00","2018","03","01","00:00","1.6","","-0.1","","89","","","","35","","6","","14.5","","98.71","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 01:00","2018","03","01","01:00","1.5","","-0.3","","88","","","","","","0","","14.5","","98.75","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 02:00","2018","03","01","02:00","1.6","","-0.8","","84","","","","","","0","","14.5","","98.76","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 03:00","2018","03","01","03:00","-0.8","","-1.8","","93","","","","","","0","","14.5","","98.75","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 04:00","2018","03","01","04:00","-2.0","","-2.1","","99","","","","","","0","","14.5","","98.74","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 05:00","2018","03","01","05:00","-3.0","","-3.3","","98","","","","","","0","","1.6","","98.74","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 06:00","2018","03","01","06:00","-4.0","","-4.3","","98","","","","","","0","","0.2","","98.81","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 07:00","2018","03","01","07:00","-4.5","","-4.7","","99","","","","","","0","","14.5","","98.83","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 08:00","2018","03","01","08:00","-1.9","","-1.9","","100","","","","","","0","","14.5","","98.84","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 09:00","2018","03","01","09:00","-0.1","","-0.5","","97","","","","","","0","","14.5","","98.85","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 10:00","2018","03","01","10:00","0.9","","-1.8","","82","","","","7","","9","","14.5","","98.83","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 11:00","2018","03","01","11:00","2.5","","-3.2","","66","","","","10","","15","","14.5","","98.79","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 12:00","2018","03","01","12:00","2.5","","-2.8","","68","","","","9","","13","","14.5","","98.78","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 13:00","2018","03","01","13:00","3.1","","-2.8","","65","","","","5","","11","","14.5","","98.63","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 14:00","2018","03","01","14:00","3.2","","-3.3","","62","","","","6","","17","","14.5","","98.51","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 15:00","2018","03","01","15:00","3.4","","-4.1","","58","","","","8","","15","","14.5","","98.45","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 16:00","2018","03","01","16:00","3.7","","-4.8","","54","","","","5","","11","","14.5","","98.39","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 17:00","2018","03","01","17:00","3.6","","-5.2","","53","","","","","","0","","14.5","","98.38","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 18:00","2018","03","01","18:00","2.6","","-4.4","","60","","","","","","0","","14.5","","98.37","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 19:00","2018","03","01","19:00","2.5","","-4.7","","59","","","","","","0","","14.5","","98.38","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 20:00","2018","03","01","20:00","2.7","","-5.2","","56","","","","","","0","","14.5","","98.35","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 21:00","2018","03","01","21:00","2.5","","-5.5","","56","","","","","","0","","14.5","","98.35","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 22:00","2018","03","01","22:00","2.5","","-7.0","","50","","","","1","","11","","14.5","","98.39","","","","","","NA"
"-79.91","44.27","BORDEN AWOS","611B002","2018-03-01 23:00","2018","03","01","23:00","1.7","","-5.4","","59","","","","1","","17","","14.5","","98.41","","","","","","NA"
