"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 00:00","2019","04","01","00:00","-1.5","","-5.1","","76","","0.0","","31","","23","","","","99.70","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 01:00","2019","04","01","01:00","-2.7","","-6.6","","74","","0.0","","30","","25","","","","99.76","","","","-9","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 02:00","2019","04","01","02:00","-3.8","","-8.0","","72","","0.0","","30","","19","","","","99.82","","","","-10","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 03:00","2019","04","01","03:00","-4.6","","-9.5","","69","","0.0","","30","","24","","","","99.88","","","","-12","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 04:00","2019","04","01","04:00","-6.0","","-11.0","","68","","0.0","","31","","19","","","","99.96","","","","-13","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 05:00","2019","04","01","05:00","-6.7","","-11.3","","70","","0.0","","30","","16","","","","100.06","","","","-13","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 06:00","2019","04","01","06:00","-7.6","","-12.9","","65","","0.0","","30","","13","","","","100.16","","","","-13","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 07:00","2019","04","01","07:00","-8.1","","-13.6","","64","","0.0","","29","","19","","","","100.24","","","","-15","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 08:00","2019","04","01","08:00","-7.6","","-15.1","","55","","0.0","","30","","24","","","","100.34","","","","-16","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 09:00","2019","04","01","09:00","-6.6","","-16.1","","47","","0.0","","28","","22","","","","100.45","","","","-14","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 10:00","2019","04","01","10:00","-5.5","","-17.1","","40","","0.0","","28","","21","","","","100.51","","","","-12","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 11:00","2019","04","01","11:00","-4.4","","-16.1","","40","","0.0","","28","","24","","","","100.53","","","","-11","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 12:00","2019","04","01","12:00","-3.2","","-15.8","","37","","0.0","","26","","18","","","","100.55","","","","-9","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 13:00","2019","04","01","13:00","-1.9","","-14.4","","38","","0.0","","27","","21","","","","100.58","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 14:00","2019","04","01","14:00","-1.4","","-13.4","","40","","0.0","","25","","21","","","","100.60","","","","-7","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 15:00","2019","04","01","15:00","-0.9","","-11.4","","45","","0.0","","26","","17","","","","100.64","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 16:00","2019","04","01","16:00","-0.8","","-10.2","","49","","0.0","","25","","18","","","","100.68","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 17:00","2019","04","01","17:00","-0.1","","-9.8","","48","","0.0","","24","","16","","","","100.72","","","","-5","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 18:00","2019","04","01","18:00","-0.9","","-8.3","","57","","0.0","","22","","16","","","","100.76","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 19:00","2019","04","01","19:00","-1.3","","-8.4","","58","","0.0","","23","","20","","","","100.86","","","","-7","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 20:00","2019","04","01","20:00","-1.3","","-9.2","","55","","0.0","","23","","18","","","","100.93","","","","-7","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 21:00","2019","04","01","21:00","-0.9","","-9.0","","54","","0.0","","23","","17","","","","100.98","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 22:00","2019","04","01","22:00","-1.2","","-8.1","","60","","0.0","","22","","18","","","","101.01","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-01 23:00","2019","04","01","23:00","-1.2","","-8.4","","58","","0.0","","23","","19","","","","101.04","","","","-7","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 00:00","2019","04","02","00:00","-1.3","","-7.7","","62","","0.0","","23","","18","","","","101.09","","","","-7","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 01:00","2019","04","02","01:00","-2.1","","-6.7","","71","","0.0","","22","","18","","","","101.12","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 02:00","2019","04","02","02:00","-2.4","","-6.5","","73","","0.0","","22","","19","","","","101.17","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 03:00","2019","04","02","03:00","-2.2","","-6.6","","72","","0.0","","22","","21","","","","101.20","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 04:00","2019","04","02","04:00","-3.0","","-6.9","","75","","0.0","","20","","17","","","","101.22","","","","-9","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 05:00","2019","04","02","05:00","-3.1","","-7.0","","74","","0.0","","20","","14","","","","101.27","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 06:00","2019","04","02","06:00","-3.6","","-7.5","","74","","0.0","","20","","12","","","","101.33","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 07:00","2019","04","02","07:00","-2.2","","-7.5","","67","","0.0","","20","","19","","","","101.38","","","","-8","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 08:00","2019","04","02","08:00","-0.8","","-6.8","","64","","0.0","","21","","21","","","","101.39","","","","-6","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 09:00","2019","04","02","09:00","0.4","","-6.4","","60","","0.0","","22","","26","","","","101.39","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 10:00","2019","04","02","10:00","1.3","","-6.0","","58","","0.0","","21","","22","","","","101.37","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 11:00","2019","04","02","11:00","2.9","","-7.0","","48","","0.0","","22","","21","","","","101.27","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 12:00","2019","04","02","12:00","3.3","","-7.9","","44","","0.0","","19","","22","","","","101.19","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 13:00","2019","04","02","13:00","3.8","","-9.1","","38","","0.0","","19","","22","","","","101.14","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 14:00","2019","04","02","14:00","4.4","","-8.4","","39","","0.0","","18","","17","","","","101.07","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 15:00","2019","04","02","15:00","5.2","","-8.4","","37","","0.0","","15","","16","","","","100.98","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 16:00","2019","04","02","16:00","6.4","","-8.5","","34","","0.0","","18","","16","","","","100.93","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 17:00","2019","04","02","17:00","6.3","","-7.3","","37","","0.0","","18","","10","","","","100.97","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 18:00","2019","04","02","18:00","4.3","","-5.2","","50","","0.0","","13","","3","","","","100.91","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 19:00","2019","04","02","19:00","2.3","","-6.0","","54","","0.0","","15","","5","","","","100.93","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 20:00","2019","04","02","20:00","1.3","","-3.4","","71","","0.0","","15","","6","","","","100.87","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 21:00","2019","04","02","21:00","4.4","","-7.2","","43","","1.0","","16","","10","","","","100.82","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 22:00","2019","04","02","22:00","4.6","","-7.2","","42","","0.0","","16","","13","","","","100.79","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-02 23:00","2019","04","02","23:00","5.0","","-7.5","","40","","0.0","","17","","15","","","","100.75","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-03 00:00","2019","04","03","00:00","4.1","","-6.5","","46","","0.0","","15","","15","","","","100.67","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-03 01:00","2019","04","03","01:00","3.8","","-6.3","","48","","0.0","","15","","12","","","","100.59","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-03 02:00","2019","04","03","02:00","3.6","","-5.8","","50","","0.0","","16","","14","","","","100.52","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-03 03:00","2019","04","03","03:00","3.7","","-5.3","","52","","0.0","","16","","19","","","","100.51","","","","","","NA"
"-72.06","46.30","LEMIEUX","701Q009","2019-04-03 04:00","2019","04","03","04:00","3.8","","-5.9","","49","","0.0","","16","","16","","","","100.43","","","","","","NA"
