"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 00:00","2019","03","01","00:00","-11.2","","-18.9","","53","","0.0","","29","","15","","","","100.96","","","","-18","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 01:00","2019","03","01","01:00","-11.5","","-18.6","","56","","0.0","","29","","15","","","","101.00","","","","-19","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 02:00","2019","03","01","02:00","-11.8","","-18.2","","59","","0.0","","29","","13","","","","101.03","","","","-18","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 03:00","2019","03","01","03:00","-11.8","","-17.9","","61","","0.0","","29","","18","","","","101.09","","","","-20","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 04:00","2019","03","01","04:00","-11.8","","-17.4","","63","","0.0","","29","","18","","","","101.17","","","","-20","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 05:00","2019","03","01","05:00","-12.1","","-17.4","","64","","0.0","","31","","17","","","","101.20","","","","-20","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 06:00","2019","03","01","06:00","-12.1","","-17.6","","64","","0.0","","30","","14","","","","101.29","","","","-19","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 07:00","2019","03","01","07:00","-12.2","","-17.4","","65","","0.0","","30","","15","","","","101.36","","","","-19","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 08:00","2019","03","01","08:00","-11.4","","-17.2","","62","","0.0","","30","","14","","","","101.43","","","","-18","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 09:00","2019","03","01","09:00","-9.7","","-16.7","","57","","0.0","","28","","17","","","","101.52","","","","-17","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 10:00","2019","03","01","10:00","-8.2","","-16.4","","52","","0.0","","31","","22","","","","101.55","","","","-16","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 11:00","2019","03","01","11:00","-7.0","","-15.6","","51","","0.0","","31","","22","","","","101.59","","","","-14","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 12:00","2019","03","01","12:00","-5.9","","-14.6","","50","","0.0","","30","","18","","","","101.61","","","","-12","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 13:00","2019","03","01","13:00","-4.6","","-12.9","","52","","0.0","","26","","21","","","","101.61","","","","-11","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 14:00","2019","03","01","14:00","-4.0","","-13.4","","48","","0.0","","26","","22","","","","101.58","","","","-11","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 15:00","2019","03","01","15:00","-3.1","","-14.2","","42","","0.0","","26","","21","","","","101.55","","","","-9","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 16:00","2019","03","01","16:00","-2.6","","-14.9","","38","","0.0","","26","","29","","","","101.50","","","","-10","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 17:00","2019","03","01","17:00","-2.0","","-16.3","","33","","0.0","","26","","28","","","","101.51","","","","-9","","NA"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2019-03-01 18:00","2019","03","01","18:00","-2.8","","-15.2","","38","","0.0","","26","","23","","","","101.53","","","","-9","","NA"
