"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 00:00","2018","01","01","00:00","-26.9","","-30.2","","74","","0.0","","27","","8","","","","99.99","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 01:00","2018","01","01","01:00","-27.7","","-30.8","","74","","0.0","","28","","8","","","","99.98","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 02:00","2018","01","01","02:00","-27.3","","-30.7","","73","","0.0","","29","","12","","","","100.01","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 03:00","2018","01","01","03:00","-27.9","","-31.2","","73","","0.0","","29","","6","","","","100.05","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 04:00","2018","01","01","04:00","-28.7","","-31.9","","74","","0.0","","24","","7","","","","100.04","","","","-36","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 05:00","2018","01","01","05:00","-30.7","","-33.8","","74","","0.0","","25","","9","","","","100.03","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 06:00","2018","01","01","06:00","-31.5","","-34.6","","74","","0.0","","26","","10","","","","100.03","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 07:00","2018","01","01","07:00","-31.3","","-34.3","","75","","0.0","","26","","7","","","","100.05","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 08:00","2018","01","01","08:00","-31.6","","-34.8","","74","","0.0","","24","","10","","","","100.03","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 09:00","2018","01","01","09:00","-31.6","","-34.9","","73","","0.0","","24","","11","","","","100.02","","","","-42","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 10:00","2018","01","01","10:00","-29.7","","-33.3","","71","","0.0","","26","","12","","","","100.04","","","","-40","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 11:00","2018","01","01","11:00","-28.0","","-32.1","","68","","0.0","","26","","12","","","","100.04","","","","-38","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 12:00","2018","01","01","12:00","-26.3","","-30.8","","66","","0.0","","25","","10","","","","99.98","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 13:00","2018","01","01","13:00","-25.3","","-30.0","","65","","0.0","","26","","16","","","","99.90","","","","-36","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 14:00","2018","01","01","14:00","-23.9","","-28.9","","63","","0.0","","25","","15","","","","99.83","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 15:00","2018","01","01","15:00","-23.4","","-28.7","","62","","0.0","","24","","16","","","","99.76","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 16:00","2018","01","01","16:00","-23.4","","-28.0","","66","","0.0","","23","","12","","","","99.73","","","","-32","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 17:00","2018","01","01","17:00","-24.5","","-28.4","","70","","0.0","","20","","9","","","","99.70","","","","-32","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 18:00","2018","01","01","18:00","-25.6","","-28.9","","73","","0.0","","20","","9","","","","99.67","","","","-33","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 19:00","2018","01","01","19:00","-26.2","","-29.3","","75","","0.0","","20","","11","","","","99.58","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 20:00","2018","01","01","20:00","-25.1","","-28.3","","75","","0.0","","19","","11","","","","99.46","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 21:00","2018","01","01","21:00","-23.7","","-27.0","","74","","0.0","","19","","8","","","","99.34","","","","-31","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 22:00","2018","01","01","22:00","-23.0","","-26.3","","74","","0.0","","18","","10","","","","99.20","","","","-31","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-01 23:00","2018","01","01","23:00","-21.0","","-24.5","","73","","0.0","","20","","12","","","","99.08","","","","-29","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 00:00","2018","01","02","00:00","-18.9","","-22.8","","72","","0.0","","21","","15","","","","98.93","","","","-28","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 01:00","2018","01","02","01:00","-17.3","","-21.2","","72","","0.0","","23","","21","","","","98.78","","","","-27","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 02:00","2018","01","02","02:00","-16.1","","-20.1","","71","","0.0","","24","","23","","","","98.64","","","","-26","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 03:00","2018","01","02","03:00","-15.4","","-19.5","","71","","0.0","","26","","20","","","","98.63","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 04:00","2018","01","02","04:00","-14.9","","-18.8","","72","","0.0","","25","","19","","","","98.56","","","","-24","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 05:00","2018","01","02","05:00","-14.4","","-18.6","","70","","0.0","","26","","26","","","","98.49","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 06:00","2018","01","02","06:00","-14.7","","-18.5","","72","","0.0","","27","","26","","","","98.48","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 07:00","2018","01","02","07:00","-14.7","","-18.8","","71","","0.0","","28","","27","","","","98.48","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 08:00","2018","01","02","08:00","-15.1","","-18.7","","74","","0.0","","28","","24","","","","98.50","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 09:00","2018","01","02","09:00","-15.6","","-19.3","","73","","0.0","","28","","20","","","","98.55","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 10:00","2018","01","02","10:00","-15.6","","-19.6","","71","","0.0","","29","","19","","","","98.57","","","","-25","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 11:00","2018","01","02","11:00","-15.4","","-20.1","","67","","0.0","","29","","19","","","","98.59","","","","-24","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 12:00","2018","01","02","12:00","-14.6","","-19.6","","66","","0.0","","29","","21","","","","98.55","","","","-24","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 13:00","2018","01","02","13:00","-14.6","","-19.9","","64","","0.0","","31","","14","","","","98.51","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 14:00","2018","01","02","14:00","-14.6","","-19.9","","64","","0.0","","29","","14","","","","98.52","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 15:00","2018","01","02","15:00","-14.7","","-18.8","","71","","0.0","","30","","9","","","","98.52","","","","-20","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 16:00","2018","01","02","16:00","-15.0","","-18.7","","73","","0.0","","31","","6","","","","98.54","","","","-19","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 17:00","2018","01","02","17:00","-15.8","","-19.2","","75","","0.0","","34","","3","","","","98.56","","","","-18","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 18:00","2018","01","02","18:00","-16.8","","-19.3","","81","","0.0","","","","0","","","","98.58","","","","","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 19:00","2018","01","02","19:00","-17.6","","-19.6","","84","","0.0","","12","","2","","","","98.59","","","","-19","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 20:00","2018","01","02","20:00","-19.9","","-22.2","","82","","0.0","","12","","3","","","","98.59","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 21:00","2018","01","02","21:00","-21.4","","-23.8","","81","","0.0","","6","","3","","","","98.56","","","","-24","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 22:00","2018","01","02","22:00","-23.0","","-25.5","","80","","0.0","","0","","1","","","","98.58","","","","-24","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-02 23:00","2018","01","02","23:00","-22.5","","-25.1","","79","","0.0","","0","","1","","","","98.62","","","","-23","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 00:00","2018","01","03","00:00","-18.6","","-20.9","","82","","0.0","","3","","4","","","","98.58","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 01:00","2018","01","03","01:00","-18.4","","-20.6","","82","","0.0","","4","","3","","","","98.54","","","","-21","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 02:00","2018","01","03","02:00","-18.4","","-20.7","","82","","0.0","","4","","4","","","","98.55","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 03:00","2018","01","03","03:00","-18.0","","-20.3","","82","","0.0","","4","","3","","","","98.57","","","","-20","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 04:00","2018","01","03","04:00","-18.2","","-20.5","","82","","0.0","","3","","5","","","","98.59","","","","-22","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 05:00","2018","01","03","05:00","-18.1","","-20.4","","82","","0.0","","2","","7","","","","98.62","","","","-23","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 06:00","2018","01","03","06:00","-18.5","","-21.0","","81","","0.0","","1","","12","","","","98.63","","","","-26","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 07:00","2018","01","03","07:00","-19.1","","-21.9","","79","","0.2","","2","","12","","","","98.68","","","","-27","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 08:00","2018","01","03","08:00","-19.4","","-22.2","","78","","0.0","","2","","12","","","","98.72","","","","-27","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 09:00","2018","01","03","09:00","-19.6","","-22.6","","77","","0.2","","2","","13","","","","98.76","","","","-28","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 10:00","2018","01","03","10:00","-19.6","","-22.8","","76","","0.0","","1","","17","","","","98.82","","","","-29","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 11:00","2018","01","03","11:00","-19.5","","-23.2","","73","","0.4","","2","","18","","","","98.85","","","","-29","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 12:00","2018","01","03","12:00","-19.7","","-23.6","","71","","0.0","","36","","18","","","","98.81","","","","-30","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 13:00","2018","01","03","13:00","-19.8","","-24.4","","67","","0.0","","36","","26","","","","98.79","","","","-32","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 14:00","2018","01","03","14:00","-19.7","","-24.5","","66","","0.0","","35","","21","","","","98.80","","","","-30","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 15:00","2018","01","03","15:00","-20.5","","-25.2","","66","","0.0","","1","","22","","","","98.87","","","","-32","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 16:00","2018","01","03","16:00","-21.7","","-25.8","","69","","0.0","","34","","18","","","","98.96","","","","-32","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 17:00","2018","01","03","17:00","-23.6","","-27.2","","72","","0.2","","34","","18","","","","99.10","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 18:00","2018","01","03","18:00","-24.4","","-28.0","","72","","0.0","","34","","19","","","","99.22","","","","-36","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 19:00","2018","01","03","19:00","-25.3","","-29.1","","71","","0.0","","34","","21","","","","99.29","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 20:00","2018","01","03","20:00","-26.5","","-30.6","","68","","0.0","","35","","21","","","","99.35","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 21:00","2018","01","03","21:00","-26.8","","-30.8","","69","","0.0","","34","","19","","","","99.41","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 22:00","2018","01","03","22:00","-27.4","","-31.2","","70","","0.0","","34","","17","","","","99.45","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-03 23:00","2018","01","03","23:00","-28.0","","-31.6","","71","","0.0","","32","","13","","","","99.52","","","","-38","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 00:00","2018","01","04","00:00","-28.6","","-32.0","","72","","0.0","","32","","10","","","","99.54","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 01:00","2018","01","04","01:00","-29.4","","-32.7","","73","","0.0","","32","","11","","","","99.52","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 02:00","2018","01","04","02:00","-30.6","","-33.8","","73","","0.0","","31","","9","","","","99.54","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 03:00","2018","01","04","03:00","-32.2","","-35.3","","74","","0.0","","30","","7","","","","99.61","","","","-40","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 04:00","2018","01","04","04:00","-33.1","","-36.2","","73","","0.0","","30","","9","","","","99.65","","","","-42","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 05:00","2018","01","04","05:00","-33.4","","-36.8","","72","","0.0","","28","","8","","","","99.71","","","","-42","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 06:00","2018","01","04","06:00","-33.6","","-36.8","","73","","0.0","","29","","7","","","","99.74","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 07:00","2018","01","04","07:00","-32.8","","-36.1","","72","","0.0","","28","","8","","","","99.78","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 08:00","2018","01","04","08:00","-32.7","","-36.1","","72","","0.0","","29","","8","","","","99.81","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 09:00","2018","01","04","09:00","-32.0","","-35.4","","72","","0.0","","32","","10","","","","99.83","","","","-42","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 10:00","2018","01","04","10:00","-31.4","","-35.0","","71","","0.2","","31","","10","","","","99.89","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 11:00","2018","01","04","11:00","-29.8","","-33.5","","70","","0.2","","31","","9","","","","99.87","","","","-38","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 12:00","2018","01","04","12:00","-28.1","","-32.1","","69","","0.0","","30","","10","","","","99.80","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 13:00","2018","01","04","13:00","-26.7","","-31.0","","67","","0.0","","30","","11","","","","99.77","","","","-36","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 14:00","2018","01","04","14:00","-24.7","","-29.5","","64","","0.0","","34","","13","","","","99.79","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 15:00","2018","01","04","15:00","-24.3","","-29.1","","65","","0.0","","35","","15","","","","99.80","","","","-34","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 16:00","2018","01","04","16:00","-24.6","","-29.0","","67","","0.0","","33","","16","","","","99.80","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 17:00","2018","01","04","17:00","-25.7","","-29.3","","72","","0.0","","33","","13","","","","99.80","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 18:00","2018","01","04","18:00","-26.6","","-30.0","","73","","0.0","","33","","14","","","","99.82","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 19:00","2018","01","04","19:00","-27.3","","-30.4","","75","","0.0","","34","","9","","","","99.85","","","","-35","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 20:00","2018","01","04","20:00","-28.3","","-31.5","","74","","0.0","","33","","10","","","","99.86","","","","-37","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 21:00","2018","01","04","21:00","-28.7","","-32.0","","73","","0.0","","32","","13","","","","99.86","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 22:00","2018","01","04","22:00","-30.1","","-33.4","","73","","0.0","","32","","10","","","","99.83","","","","-39","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-04 23:00","2018","01","04","23:00","-31.1","","-34.3","","74","","0.0","","31","","12","","","","99.81","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 00:00","2018","01","05","00:00","-31.2","","-34.4","","73","","0.0","","31","","14","","","","99.75","","","","-42","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 01:00","2018","01","05","01:00","-31.0","","-34.2","","73","","0.0","","32","","12","","","","99.74","","","","-41","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 02:00","2018","01","05","02:00","-31.4","","-34.7","","73","","0.0","","32","","15","","","","99.75","","","","-43","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 03:00","2018","01","05","03:00","-31.7","","-35.1","","72","","0.0","","32","","15","","","","99.75","","","","-44","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 04:00","2018","01","05","04:00","-32.0","","-35.4","","72","","0.0","","31","","15","","","","99.74","","","","-44","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 05:00","2018","01","05","05:00","-32.4","","-35.8","","72","","0.0","","31","","14","","","","99.73","","","","-44","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 06:00","2018","01","05","06:00","-32.4","","-35.7","","72","","0.0","","31","","16","","","","99.73","","","","-45","","NA"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2018-01-05 07:00","2018","01","05","07:00","-32.7","","-36.1","","71","","0.0","","31","","15","","","","99.73","","","","-45","","NA"
