"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 00:00","2012","02","01","00:00","-5.1","","-7.4","","84","","","","20","","9","","15.0","","93.20","","","","-9","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 01:00","2012","02","01","01:00","-5.5","","-7.7","","84","","","","22","","9","","15.0","","93.23","","","","-10","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 02:00","2012","02","01","02:00","-6.5","","-8.5","","86","","","","21","","11","","15.0","","93.26","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 03:00","2012","02","01","03:00","-7.1","","-9.1","","86","","","","20","","9","","15.0","","93.29","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 04:00","2012","02","01","04:00","-7.9","","-9.5","","88","","","","22","","7","","15.0","","93.28","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 05:00","2012","02","01","05:00","-8.3","","-10.0","","88","","","","22","","7","","15.0","","93.30","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 06:00","2012","02","01","06:00","-8.6","","-10.2","","88","","","","24","","7","","15.0","","93.32","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 07:00","2012","02","01","07:00","-9.1","","-10.6","","89","","","","22","","7","","15.0","","93.34","","","","-13","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 08:00","2012","02","01","08:00","-9.0","","-10.4","","90","","","","22","","11","","11.3","","93.33","","","","-14","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 09:00","2012","02","01","09:00","-9.3","","-10.9","","88","","","","22","","13","","15.0","","93.36","","","","-15","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 10:00","2012","02","01","10:00","-7.8","","-9.3","","89","","","","23","","9","","12.9","","93.39","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 11:00","2012","02","01","11:00","-5.6","","-8.0","","83","","","","22","","7","","15.0","","93.40","","","","-9","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 12:00","2012","02","01","12:00","-4.2","","-7.7","","77","","","","21","","6","","15.0","","93.41","","","","-7","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 13:00","2012","02","01","13:00","-3.3","","-7.1","","75","","","","20","","6","","15.0","","93.42","","","","-6","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 14:00","2012","02","01","14:00","-1.6","","-6.5","","69","","","","18","","7","","15.0","","93.44","","","","-4","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 15:00","2012","02","01","15:00","-1.8","","-6.9","","68","","","","12","","6","","15.0","","93.52","","","","-4","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 16:00","2012","02","01","16:00","-2.9","","-7.3","","72","","","","13","","6","","15.0","","93.59","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 17:00","2012","02","01","17:00","-2.7","","-7.0","","72","","","","30","","4","","15.0","","93.69","","","","-4","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 18:00","2012","02","01","18:00","-1.3","","-6.6","","67","","","","32","","4","","15.0","","93.73","","","","-3","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 19:00","2012","02","01","19:00","-2.5","","-6.3","","75","","","","30","","4","","15.0","","93.79","","","","-4","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 20:00","2012","02","01","20:00","-0.7","","-7.1","","62","","","","32","","6","","15.0","","93.86","","","","-3","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 21:00","2012","02","01","21:00","-2.6","","-7.2","","71","","","","30","","6","","15.0","","93.93","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 22:00","2012","02","01","22:00","-2.0","","-7.0","","69","","","","31","","9","","15.0","","94.03","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-01 23:00","2012","02","01","23:00","-2.0","","-6.7","","70","","","","30","","9","","15.0","","94.08","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 00:00","2012","02","02","00:00","-2.8","","-7.1","","72","","","","30","","11","","15.0","","94.18","","","","-7","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 01:00","2012","02","02","01:00","-3.8","","-7.3","","77","","","","31","","11","","15.0","","94.27","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 02:00","2012","02","02","02:00","-4.3","","-7.4","","79","","","","29","","9","","15.0","","94.33","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 03:00","2012","02","02","03:00","-5.1","","-7.7","","82","","","","30","","7","","15.0","","94.40","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 04:00","2012","02","02","04:00","-5.8","","-8.0","","84","","","","32","","13","","15.0","","94.49","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 05:00","2012","02","02","05:00","-6.1","","-8.2","","85","","","","32","","17","","15.0","","94.55","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 06:00","2012","02","02","06:00","-6.7","","-8.9","","84","","","","34","","11","","15.0","","94.63","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 07:00","2012","02","02","07:00","-7.5","","-9.5","","86","","","","33","","6","","15.0","","94.69","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 08:00","2012","02","02","08:00","-9.2","","-10.7","","89","","","","31","","7","","15.0","","94.75","","","","-13","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 09:00","2012","02","02","09:00","-9.0","","-10.5","","89","","","","27","","6","","15.0","","94.85","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 10:00","2012","02","02","10:00","-7.4","","-8.8","","90","","","","28","","4","","15.0","","94.86","","","","-9","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 11:00","2012","02","02","11:00","-4.4","","-8.2","","75","","","","26","","4","","15.0","","94.95","","","","-6","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 12:00","2012","02","02","12:00","-2.7","","-7.7","","68","","","","19","","4","","15.0","","94.95","","","","-4","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 13:00","2012","02","02","13:00","-2.9","","-7.7","","69","","","","13","","6","","15.0","","94.91","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 14:00","2012","02","02","14:00","0.3","","-5.4","","66","","","","23","","9","","15.0","","94.95","","","","","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 15:00","2012","02","02","15:00","-1.6","","-5.8","","73","","","","18","","17","","15.0","","94.87","","","","-7","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 16:00","2012","02","02","16:00","-2.6","","-6.3","","76","","","","20","","7","","15.0","","94.93","","","","-5","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 17:00","2012","02","02","17:00","-2.9","","-6.6","","76","","","","21","","9","","15.0","","94.97","","","","-6","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 18:00","2012","02","02","18:00","-3.9","","-7.3","","77","","","","23","","9","","15.0","","95.01","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 19:00","2012","02","02","19:00","-3.7","","-7.2","","77","","","","21","","7","","15.0","","94.99","","","","-7","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 20:00","2012","02","02","20:00","-3.1","","-7.4","","72","","","","23","","15","","15.0","","94.94","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 21:00","2012","02","02","21:00","-3.2","","-7.2","","74","","","","22","","11","","15.0","","94.95","","","","-7","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 22:00","2012","02","02","22:00","-3.8","","-7.3","","77","","","","22","","17","","15.0","","94.92","","","","-10","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-02 23:00","2012","02","02","23:00","-4.1","","-7.7","","76","","","","23","","13","","15.0","","94.93","","","","-9","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 00:00","2012","02","03","00:00","-5.0","","-8.2","","78","","","","22","","13","","15.0","","94.91","","","","-10","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 01:00","2012","02","03","01:00","-5.7","","-8.6","","80","","","","22","","11","","15.0","","94.92","","","","-10","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 02:00","2012","02","03","02:00","-6.0","","-8.9","","80","","","","22","","13","","15.0","","94.94","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 03:00","2012","02","03","03:00","-6.7","","-9.3","","82","","","","23","","9","","15.0","","94.93","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 04:00","2012","02","03","04:00","-6.5","","-9.2","","81","","","","23","","9","","15.0","","94.93","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 05:00","2012","02","03","05:00","-7.0","","-9.4","","83","","","","23","","9","","15.0","","94.95","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 06:00","2012","02","03","06:00","-7.2","","-9.8","","82","","","","22","","11","","15.0","","94.95","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 07:00","2012","02","03","07:00","-7.4","","-9.8","","83","","","","22","","9","","15.0","","94.92","","","","-12","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 08:00","2012","02","03","08:00","-7.2","","-9.6","","83","","","","24","","13","","15.0","","94.91","","","","-13","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 09:00","2012","02","03","09:00","-5.9","","-9.2","","77","","","","23","","11","","15.0","","94.92","","","","-11","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 10:00","2012","02","03","10:00","-4.1","","-8.0","","74","","","","22","","11","","15.0","","94.91","","","","-9","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 11:00","2012","02","03","11:00","-2.4","","-7.6","","67","","","","24","","17","","15.0","","94.90","","","","-8","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 12:00","2012","02","03","12:00","0.3","","-6.7","","59","","","","23","","11","","15.0","","94.86","","","","","",""
"-109.96","54.91","JIMMY LAKE AWOS","4063623","2012-02-03 13:00","2012","02","03","13:00","2.3","","-5.9","","55","","","","23","","11","","15.0","","94.84","","","","","",""
