"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 00:00","2019","04","01","00:00","4.4","","-3.9","","55","","","M","35","","18","","","","99.05","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 01:00","2019","04","01","01:00","3.2","","-3.0","","64","","","M","35","","16","","","","99.15","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 02:00","2019","04","01","02:00","2.6","","-2.4","","69","","","M","35","","15","","","","99.20","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 03:00","2019","04","01","03:00","1.5","","-2.2","","76","","","M","35","","11","","","","99.26","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 04:00","2019","04","01","04:00","1.0","","-2.2","","79","","","M","35","","10","","","","99.27","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 05:00","2019","04","01","05:00"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 06:00","2019","04","01","06:00"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 07:00","2019","04","01","07:00","1.5","","-2.6","","74","","","M","35","","7","","","","99.30","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 08:00","2019","04","01","08:00","2.1","","-2.7","","71","","","M","35","","11","","","","99.30","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 09:00","2019","04","01","09:00","2.2","","-2.1","","73","","","M","35","","11","","","","99.29","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 10:00","2019","04","01","10:00","3.1","","-2.9","","65","","","M","35","","12","","","","99.26","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 11:00","2019","04","01","11:00","3.8","","-4.5","","55","","","M","35","","11","","","","99.23","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 12:00","2019","04","01","12:00","4.7","","-3.8","","54","","","M","35","","14","","","","99.19","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 13:00","2019","04","01","13:00","4.6","","-4.0","","54","","","M","35","","10","","","","99.14","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 14:00","2019","04","01","14:00","5.9","","-3.9","","49","","","M","35","","13","","","","99.06","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 15:00","2019","04","01","15:00","5.8","","-4.1","","49","","","M","35","","17","","","","99.03","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 16:00","2019","04","01","16:00","6.5","","-4.2","","46","","","M","35","","15","","","","99.02","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 17:00","2019","04","01","17:00","5.0","","-4.5","","50","","","M","35","","15","","","","99.00","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 18:00","2019","04","01","18:00","4.1","","-4.1","","55","","","M","35","","12","","","","98.99","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 19:00","2019","04","01","19:00","3.5","","-4.1","","58","","","M","35","","11","","","","98.98","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 20:00","2019","04","01","20:00"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 21:00","2019","04","01","21:00","1.7","","-2.6","","73","","","M","35","","12","","","","99.02","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 22:00","2019","04","01","22:00","1.1","","-2.3","","78","","","M","35","","10","","","","99.04","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-01 23:00","2019","04","01","23:00","0.8","","-2.7","","77","","","M","35","","9","","","","99.04","","","","","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 00:00","2019","04","02","00:00","-0.7","","-2.6","","87","","","M","35","","11","","","","99.03","","","","-4","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 01:00","2019","04","02","01:00","-0.7","","-3.5","","81","","","M","35","","8","","","","99.00","","","","-4","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 02:00","2019","04","02","02:00","-1.0","","-3.5","","83","","","M","35","","8","","","","98.94","","","","-4","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 03:00","2019","04","02","03:00","-1.1","","-4.0","","81","","","M","35","","8","","","","98.88","","","","-4","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 04:00","2019","04","02","04:00","-1.6","","-4.8","","79","","","M","35","","10","","","","98.80","","","","-5","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 05:00","2019","04","02","05:00","-2.3","","-4.1","","88","","","M","35","","7","","","","98.73","","","","-5","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 06:00","2019","04","02","06:00","-2.6","","-3.7","","92","","","M","35","","2","","","","98.67","","","","-3","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 07:00","2019","04","02","07:00","-2.8","","-3.9","","92","","","M","35","","4","","","","98.61","","","","-4","","NA"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2019-04-02 08:00","2019","04","02","08:00","-2.4","","-3.8","","90","","","M","35","","4","","","","98.56","","","","-4","","NA"
