"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 00:00","2019","02","01","00:00","-3.2","","-5.7","","83","","0.0","","13","","6","","","","91.58","","","","-6","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 01:00","2019","02","01","01:00","-3.3","","-5.6","","84","","0.0","","17","","10","","","","91.55","","","","-7","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 02:00","2019","02","01","02:00","-3.5","","-5.8","","84","","0.0","","12","","6","","","","91.47","","","","-6","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 03:00","2019","02","01","03:00","-5.2","","-7.0","","88","","0.0","","14","","6","","","","91.50","","","","-8","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 04:00","2019","02","01","04:00","-6.8","","-7.7","","93","","0.0","","12","","8","","","","91.49","","","","-11","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 05:00","2019","02","01","05:00","-7.3","","-8.5","","91","","0.0","","8","","4","","","","91.49","","","","-9","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 06:00","2019","02","01","06:00","-8.3","","-9.7","","89","","0.0","","9","","3","","","","91.50","","","","-10","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 07:00","2019","02","01","07:00","-8.9","","-9.9","","92","","0.0","","15","","10","","","","91.50","","","","-14","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 08:00","2019","02","01","08:00","-7.6","","-8.7","","92","","0.0","","18","","8","","","","91.53","","","","-12","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 09:00","2019","02","01","09:00","-6.7","","-8.1","","89","","0.0","","12","","2","","","","91.55","","","","-8","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 10:00","2019","02","01","10:00","-5.6","","-6.8","","91","","0.0","","10","","4","","","","91.54","","","","-7","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 11:00","2019","02","01","11:00","-1.8","","-5.1","","78","","0.0","","12","","3","","","","91.59","","","","-3","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 12:00","2019","02","01","12:00","-0.3","","-4.7","","72","","0.0","","30","","3","","","","91.66","","","","-1","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 13:00","2019","02","01","13:00","-0.7","","-4.1","","78","","0.0","","35","","13","","","","91.66","","","","-5","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 14:00","2019","02","01","14:00","-4.0","","-6.4","","84","","0.0","","35","","15","","","","91.65","","","","-9","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 15:00","2019","02","01","15:00","-5.5","","-7.7","","85","","0.0","","35","","17","","","","91.68","","","","-12","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 16:00","2019","02","01","16:00","-7.5","","-9.4","","86","","0.0","","35","","19","","","","91.76","","","","-15","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 17:00","2019","02","01","17:00","-9.3","","-11.0","","88","","0.0","","36","","16","","","","91.83","","","","-16","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 18:00","2019","02","01","18:00","-10.7","","-12.1","","89","","0.0","","1","","11","","","","91.87","","","","-16","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 19:00","2019","02","01","19:00","-11.6","","-12.7","","91","","0.0","","1","","13","","","","91.92","","","","-18","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 20:00","2019","02","01","20:00","-11.8","","-13.0","","91","","0.0","","2","","16","","","","91.98","","","","-19","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 21:00","2019","02","01","21:00","-12.1","","-13.5","","89","","0.0","","2","","14","","","","91.96","","","","-19","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 22:00","2019","02","01","22:00","-12.5","","-13.9","","89","","0.0","","4","","12","","","","91.92","","","","-19","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-01 23:00","2019","02","01","23:00","-13.0","","-14.6","","88","","0.0","","7","","13","","","","91.88","","","","-20","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 00:00","2019","02","02","00:00","-13.1","","-14.5","","89","","0.0","","8","","8","","","","91.81","","","","-18","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 01:00","2019","02","02","01:00","-13.0","","-14.4","","89","","0.0","","9","","8","","","","91.73","","","","-18","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 02:00","2019","02","02","02:00","-12.3","","-13.7","","90","","0.0","","11","","16","","","","91.66","","","","-20","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 03:00","2019","02","02","03:00","-12.4","","-13.8","","89","","0.0","","10","","15","","","","91.62","","","","-20","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 04:00","2019","02","02","04:00","-11.6","","-12.9","","90","","0.0","","12","","19","","","","91.55","","","","-20","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 05:00","2019","02","02","05:00","-12.5","","-13.9","","89","","0.0","","12","","18","","","","91.44","","","","-21","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 06:00","2019","02","02","06:00","-12.9","","-14.3","","89","","0.0","","10","","14","","","","91.39","","","","-20","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 07:00","2019","02","02","07:00","-13.0","","-14.5","","89","","0.0","","12","","18","","","","91.26","","","","-21","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 08:00","2019","02","02","08:00","-13.6","","-15.1","","88","","0.0","","13","","20","","","","91.17","","","","-22","","NA"
"-105.48","49.05","CORONACH SPC","40318MN","2019-02-02 09:00","2019","02","02","09:00","-13.4","","-14.9","","89","","0.0","","13","","17","","","","91.12","","","","-21","","NA"
