"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 00:00","2019","03","01","00:00","-22.3","","-24.5","","82","","0.0","","1","","9","","","","98.76","","","","-29","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 01:00","2019","03","01","01:00","-23.1","","-25.4","","81","","0.0","","1","","11","","","","98.82","","","","-31","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 02:00","2019","03","01","02:00","-24.2","","-26.7","","80","","0.0","","1","","11","","","","98.90","","","","-33","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 03:00","2019","03","01","03:00","-24.2","","-26.8","","79","","0.0","","3","","12","","","","98.96","","","","-33","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 04:00","2019","03","01","04:00","-24.3","","-27.0","","78","","0.0","","2","","9","","","","99.02","","","","-32","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 05:00","2019","03","01","05:00","-23.8","","-26.9","","76","","0.0","","1","","9","","","","99.08","","","","-31","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 06:00","2019","03","01","06:00","-23.6","","-26.6","","77","","0.0","","2","","13","","","","99.14","","","","-33","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 07:00","2019","03","01","07:00","-24.0","","-27.0","","76","","0.0","","2","","9","","","","99.25","","","","-31","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 08:00","2019","03","01","08:00","-24.5","","-27.6","","75","","0.0","","1","","10","","","","99.33","","","","-33","","NA"
"-101.10","53.97","THE PAS CLIMATE","5052890","2019-03-01 09:00","2019","03","01","09:00","-24.7","","-28.1","","73","","0.0","","1","","12","","","","99.42","","","","-34","","NA"
