"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 00:00","2019","02","01","00:00","-28.7","","-32.8","","68","","0.0","","22","","34","","","","95.73","","","","-45","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 01:00","2019","02","01","01:00","-28.0","","-32.0","","69","","0.0","","22","","35","","","","95.64","","","","-44","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 02:00","2019","02","01","02:00","-27.2","","-31.1","","69","","0.2","","23","","38","","","","95.60","","","","-43","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 03:00","2019","02","01","03:00","-26.4","","-30.1","","71","","0.0","","23","","37","","","","95.53","","","","-42","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 04:00","2019","02","01","04:00","-25.7","","-29.4","","71","","0.2","","23","","38","","","","95.45","","","","-41","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 05:00","2019","02","01","05:00","-24.8","","-28.5","","71","","0.0","","24","","33","","","","95.40","","","","-39","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 06:00","2019","02","01","06:00","-23.5","","-27.0","","73","","0.0","","25","","41","","","","95.39","","","","-39","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 07:00","2019","02","01","07:00","-22.8","","-26.3","","73","","0.0","","25","","33","","","","95.47","","","","-37","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 08:00","2019","02","01","08:00","-22.8","","-26.6","","71","","0.0","","26","","35","","","","95.55","","","","-37","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 09:00","2019","02","01","09:00","-23.1","","-26.6","","73","","0.0","","26","","35","","","","95.63","","","","-37","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 10:00","2019","02","01","10:00","-23.1","","-26.5","","73","","0.0","","26","","28","","","","95.73","","","","-36","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 11:00","2019","02","01","11:00","-23.2","","-27.0","","71","","0.0","","26","","34","","","","95.81","","","","-37","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 12:00","2019","02","01","12:00","-23.1","","-27.1","","70","","0.2","","27","","27","","","","95.85","","","","-36","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 13:00","2019","02","01","13:00","-23.1","","-27.0","","70","","0.0","","26","","31","","","","95.93","","","","-37","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 14:00","2019","02","01","14:00","-22.8","","-26.5","","72","","0.0","","26","","24","","","","96.05","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 15:00","2019","02","01","15:00","-22.7","","-26.6","","70","","0.0","","25","","31","","","","96.08","","","","-36","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 16:00","2019","02","01","16:00","-22.5","","-26.1","","73","","0.0","","26","","28","","","","96.23","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 17:00","2019","02","01","17:00","-22.4","","-26.0","","72","","0.0","","26","","34","","","","96.34","","","","-36","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 18:00","2019","02","01","18:00","-22.0","","-25.6","","73","","0.0","","27","","29","","","","96.45","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 19:00","2019","02","01","19:00","-21.9","","-25.2","","75","","0.0","","26","","26","","","","96.56","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 20:00","2019","02","01","20:00","-22.1","","-25.7","","72","","0.0","","27","","24","","","","96.64","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 21:00","2019","02","01","21:00","-22.0","","-25.6","","73","","0.0","","26","","19","","","","96.68","","","","-33","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 22:00","2019","02","01","22:00","-22.1","","-25.5","","74","","0.0","","25","","23","","","","96.68","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-01 23:00","2019","02","01","23:00","-22.3","","-25.7","","74","","0.0","","25","","21","","","","96.72","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 00:00","2019","02","02","00:00","-22.5","","-25.9","","73","","0.0","","25","","25","","","","96.75","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 01:00","2019","02","02","01:00","-22.6","","-26.1","","73","","0.0","","25","","27","","","","96.67","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 02:00","2019","02","02","02:00","-22.8","","-26.7","","71","","0.0","","24","","23","","","","96.69","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 03:00","2019","02","02","03:00","-22.9","","-26.8","","71","","0.0","","24","","18","","","","96.70","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 04:00","2019","02","02","04:00","-23.1","","-26.8","","71","","0.0","","24","","21","","","","96.66","","","","-35","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 05:00","2019","02","02","05:00","-23.0","","-27.5","","67","","0.0","","24","","16","","","","96.65","","","","-33","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 06:00","2019","02","02","06:00","-23.2","","-27.3","","69","","0.0","","24","","17","","","","96.64","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 07:00","2019","02","02","07:00","-23.5","","-27.5","","70","","0.0","","24","","17","","","","96.63","","","","-34","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 08:00","2019","02","02","08:00","-24.1","","-27.9","","71","","0.0","","24","","11","","","","96.64","","","","-33","","NA"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2019-02-02 09:00","2019","02","02","09:00","-24.2","","-28.2","","69","","0.0","","24","","17","","","","96.60","","","","-35","","NA"
