"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 00:00","2018","03","01","00:00","-11.6","","-12.8","","91","","0.0","","32","","4","","16.1","","93.56","","","","-14","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 01:00","2018","03","01","01:00","-9.6","","-10.3","","95","","0.0","","8","","4","","16.1","","93.58","","","","-12","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 02:00","2018","03","01","02:00","-10.6","","-11.1","","96","","0.0","","9","","5","","8.1","","93.64","","","","-14","","Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 03:00","2018","03","01","03:00","-12.6","","-13.4","","94","","0.0","","10","","5","","0.6","","93.66","","","","-16","","Freezing Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 04:00","2018","03","01","04:00","-13.0","","-14.2","","91","","0.0","","10","","5","","1.6","","93.74","","","","-16","","Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 05:00","2018","03","01","05:00","-14.2","","-15.5","","90","","0.0","","5","","9","","4.0","","93.82","","","","-20","","Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 06:00","2018","03","01","06:00","-14.3","","-15.6","","90","","0.0","","6","","4","","8.1","","93.90","","","","-17","","Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 07:00","2018","03","01","07:00","-15.6","","-17.2","","88","","0.0","","6","","9","","11.3","","93.93","","","","-22","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 08:00","2018","03","01","08:00","-14.3","","-15.7","","89","","0.0","","9","","5","","8.1","","94.01","","","","-18","","Fog"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 09:00","2018","03","01","09:00","-13.1","","-14.4","","90","","0.0","","9","","9","","16.1","","94.11","","","","-19","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 10:00","2018","03","01","10:00","-11.8","","-13.0","","91","","0.0","","8","","15","","16.1","","94.16","","","","-19","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 11:00","2018","03","01","11:00","-10.5","","-11.6","","92","","0.0","","9","","18","","16.1","","94.22","","","","-18","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 12:00","2018","03","01","12:00","-9.6","","-11.5","","86","","0.0","","8","","21","","16.1","","94.25","","","","-18","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 13:00","2018","03","01","13:00","-8.1","","-13.0","","68","","0.0","","7","","24","","16.1","","94.26","","","","-16","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 14:00","2018","03","01","14:00","-7.9","","-13.4","","65","","0.0","","7","","24","","16.1","","94.27","","","","-16","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 15:00","2018","03","01","15:00","-7.4","","-13.6","","62","","0.0","","7","","24","","16.1","","94.29","","","","-15","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 16:00","2018","03","01","16:00","-7.3","","-13.0","","64","","0.0","","6","","22","","16.1","","94.30","","","","-15","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 17:00","2018","03","01","17:00","-8.1","","-13.4","","66","","0.0","","6","","21","","16.1","","94.33","","","","-16","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 18:00","2018","03","01","18:00","-10.1","","-15.1","","67","","0.0","","6","","21","","16.1","","94.32","","","","-18","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 19:00","2018","03","01","19:00","-11.7","","-17.0","","65","","0.0","","6","","21","","16.1","","94.35","","","","-20","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 20:00","2018","03","01","20:00","-12.6","","-17.7","","66","","0.0","","6","","22","","16.1","","94.41","","","","-22","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 21:00","2018","03","01","21:00","-13.9","","-18.6","","68","","0.0","","9","","13","","16.1","","94.49","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 22:00","2018","03","01","22:00","-14.4","","-19.0","","69","","0.0","","7","","21","","16.1","","94.49","","","","-24","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-01 23:00","2018","03","01","23:00","-15.4","","-19.7","","70","","0.0","","7","","18","","16.1","","94.50","","","","-24","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 00:00","2018","03","02","00:00","-17.6","","-21.0","","75","","0.0","","7","","18","","16.1","","94.52","","","","-27","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 01:00","2018","03","02","01:00","-15.4","","-19.5","","71","","0.0","","8","","22","","16.1","","94.50","","","","-25","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 02:00","2018","03","02","02:00","-16.4","","-20.0","","74","","0.0","","7","","21","","16.1","","94.47","","","","-26","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 03:00","2018","03","02","03:00","-17.0","","-20.5","","75","","0.0","","8","","18","","16.1","","94.46","","","","-26","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 04:00","2018","03","02","04:00","-16.5","","-20.0","","75","","0.0","","8","","22","","16.1","","94.41","","","","-27","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 05:00","2018","03","02","05:00","-15.8","","-18.9","","77","","0.0","","9","","18","","16.1","","94.40","","","","-25","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 06:00","2018","03","02","06:00","-16.8","","-19.6","","79","","0.0","","7","","17","","16.1","","94.42","","","","-26","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 07:00","2018","03","02","07:00","-15.7","","-18.4","","80","","0.0","","9","","22","","16.1","","94.46","","","","-25","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 08:00","2018","03","02","08:00","-15.4","","-17.9","","81","","0.0","","9","","22","","16.1","","94.44","","","","-25","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 09:00","2018","03","02","09:00","-14.1","","-16.5","","82","","0.0","","9","","28","","16.1","","94.43","","","","-25","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 10:00","2018","03","02","10:00","-13.0","","-15.8","","80","","0.0","","9","","30","","16.1","","94.43","","","","-23","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 11:00","2018","03","02","11:00","-12.1","","-15.0","","79","","0.0","","10","","34","","16.1","","94.43","","","","-23","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 12:00","2018","03","02","12:00","-11.2","","-14.1","","79","","0.0","","11","","34","","16.1","","94.43","","","","-22","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 13:00","2018","03","02","13:00","-9.9","","-12.9","","79","","0.0","","10","","41","","16.1","","94.40","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 14:00","2018","03","02","14:00","-8.9","","-12.5","","75","","0.0","","10","","37","","16.1","","94.39","","","","-19","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 15:00","2018","03","02","15:00","-9.4","","-13.0","","76","","0.0","","8","","34","","16.1","","94.37","","","","-19","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 16:00","2018","03","02","16:00","-9.9","","-13.3","","76","","0.0","","8","","32","","16.1","","94.37","","","","-20","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 17:00","2018","03","02","17:00","-10.3","","-13.6","","77","","0.0","","9","","39","","16.1","","94.32","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 18:00","2018","03","02","18:00","-10.4","","-13.2","","80","","0.0","","9","","34","","16.1","","94.34","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 19:00","2018","03","02","19:00","-10.1","","-13.2","","78","","0.0","","9","","39","","16.1","","94.36","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 20:00","2018","03","02","20:00","-10.4","","-13.4","","79","","0.0","","10","","32","","16.1","","94.41","","","","-20","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 21:00","2018","03","02","21:00","-10.4","","-13.2","","80","","0.0","","10","","35","","16.1","","94.35","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 22:00","2018","03","02","22:00","-10.3","","-12.8","","82","","0.0","","10","","35","","16.1","","94.32","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-02 23:00","2018","03","02","23:00","-10.1","","-12.6","","82","","0.0","","10","","35","","16.1","","94.31","","","","-20","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 00:00","2018","03","03","00:00","-10.1","","-12.5","","83","","0.0","","10","","37","","16.1","","94.31","","","","-21","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 01:00","2018","03","03","01:00","-10.1","","-12.3","","84","","0.0","","10","","32","","16.1","","94.31","","","","-20","","NA"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 02:00","2018","03","03","02:00","-10.0","","-12.1","","85","","0.0","","10","","39","","8.1","","94.20","","","","-21","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 03:00","2018","03","03","03:00","-10.3","","-11.9","","88","","0.0","","9","","35","","3.6","","94.16","","","","-21","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 04:00","2018","03","03","04:00","-10.4","","-12.0","","88","","0.0","","9","","32","","3.2","","94.07","","","","-20","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 05:00","2018","03","03","05:00","-10.2","","-11.7","","89","","0.0","","10","","45","","2.0","","94.04","","","","-22","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 06:00","2018","03","03","06:00","-9.6","","-10.8","","91","","0.0","","10","","37","","1.6","","94.03","","","","-20","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 07:00","2018","03","03","07:00","-9.0","","-10.4","","90","","0.0","","10","","39","","1.6","","93.97","","","","-19","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 08:00","2018","03","03","08:00","-8.5","","-9.7","","91","","0.0","","10","","41","","1.2","","93.97","","","","-19","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 09:00","2018","03","03","09:00","-8.2","","-9.4","","91","","0.0","","11","","35","","1.2","","93.98","","","","-18","","Snow"
"-110.07","53.31","LLOYDMINSTER","3013959","2018-03-03 10:00","2018","03","03","10:00","-7.9","","-9.3","","90","","0.0","","11","","35","","1.2","","93.98","","","","-17","","Snow"
