"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 00:00","2019","04","01","00:00","-2.7","","-9.0","","62","","0.0","","26","","11","","16.1","","99.75","","","","-7","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 01:00","2019","04","01","01:00","-2.9","","-8.9","","64","","0.0","","26","","9","","16.1","","99.74","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 02:00","2019","04","01","02:00","-2.9","","-9.0","","63","","0.0","","27","","9","","16.1","","99.71","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 03:00","2019","04","01","03:00","-2.9","","-8.9","","63","","0.0","","27","","9","","16.1","","99.65","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 04:00","2019","04","01","04:00","-2.9","","-9.0","","63","","0.0","","26","","8","","16.1","","99.61","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 05:00","2019","04","01","05:00","-3.6","","-8.8","","67","","0.0","","29","","5","","16.1","","99.56","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 06:00","2019","04","01","06:00","-4.6","","-8.4","","75","","0.0","","29","","5","","16.1","","99.55","","","","-7","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 07:00","2019","04","01","07:00","-4.9","","-8.7","","75","","0.0","","27","","5","","16.1","","99.53","","","","-7","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 08:00","2019","04","01","08:00","-3.6","","-6.4","","81","","0.0","","26","","5","","16.1","","99.53","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 09:00","2019","04","01","09:00","0.1","","-4.6","","71","","0.0","","22","","11","","16.1","","99.47","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 10:00","2019","04","01","10:00","2.2","","-4.1","","63","","0.0","","23","","18","","16.1","","99.39","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 11:00","2019","04","01","11:00","2.7","","-6.0","","53","","0.0","","25","","21","","16.1","","99.33","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 12:00","2019","04","01","12:00","3.2","","-6.8","","48","","0.0","","22","","22","","16.1","","99.23","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 13:00","2019","04","01","13:00","3.5","","-8.0","","43","","0.0","","25","","18","","16.1","","99.18","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 14:00","2019","04","01","14:00","3.9","","-8.1","","41","","0.0","","24","","21","","16.1","","99.12","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 15:00","2019","04","01","15:00","4.5","","-8.8","","38","","0.0","","23","","17","","16.1","","99.02","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 16:00","2019","04","01","16:00","4.5","","-9.1","","37","","0.0","","27","","15","","16.1","","98.95","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 17:00","2019","04","01","17:00","4.2","","-8.6","","39","","0.0","","26","","13","","16.1","","98.90","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 18:00","2019","04","01","18:00","3.8","","-8.0","","42","","0.0","","28","","11","","16.1","","98.87","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 19:00","2019","04","01","19:00","2.9","","-7.2","","48","","0.0","","29","","9","","16.1","","98.86","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2019-04-01 20:00","2019","04","01","20:00","2.1","","-5.7","","56","","0.0","","22","","15","","16.1","","98.85","","","","","","NA"
