"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 00:00","2019","01","01","00:00","-10.6","","-12.9","","83","","0.0","","30","","6","","","","102.19","","","","-14","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 01:00","2019","01","01","01:00","-10.5","","-12.9","","82","","0.0","","31","","4","","","","102.17","","","","-13","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 02:00","2019","01","01","02:00","-10.1","","-12.6","","82","","0.0","","31","","4","","","","102.11","","","","-12","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 03:00","2019","01","01","03:00","-9.4","","-11.9","","82","","0.0","","8","","7","","","","102.01","","","","-13","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 04:00","2019","01","01","04:00","-9.8","","-11.5","","88","","0.0","","2","","5","","","","101.86","","","","-13","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 05:00","2019","01","01","05:00","-7.2","","-9.3","","85","","0.0","","14","","10","","","","101.69","","","","-12","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 06:00","2019","01","01","06:00","-8.4","","-10.6","","84","","0.0","","3","","5","","","","101.61","","","","-11","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 07:00","2019","01","01","07:00","-7.6","","-9.8","","84","","0.0","","35","","5","","","","101.60","","","","-10","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 08:00","2019","01","01","08:00","-6.1","","-7.9","","87","","0.0","","10","","5","","","","101.47","","","","-9","","NA"
"-60.65","45.92","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","2019-01-01 09:00","2019","01","01","09:00","-3.5","","-5.4","","87","","0.0","","15","","17","","","","101.31","","","","-9","","NA"
