"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 00:00","2019","02","01","00:00","-19.6","","-21.9","","82","","0.0","","23","","9","","16.1","","101.22","","","","-26","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 01:00","2019","02","01","01:00","-22.4","","-26.0","","73","","0.0","","21","","9","","16.1","","101.20","","","","-30","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 02:00","2019","02","01","02:00","-20.3","","-23.6","","75","","0.0","","23","","15","","16.1","","101.21","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 03:00","2019","02","01","03:00","-19.2","","-22.3","","77","","0.0","","22","","17","","16.1","","101.22","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 04:00","2019","02","01","04:00","-19.4","","-22.4","","77","","0.0","","23","","22","","16.1","","101.19","","","","-30","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 05:00","2019","02","01","05:00","-19.1","","-22.0","","78","","0.0","","24","","15","","16.1","","101.27","","","","-28","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 06:00","2019","02","01","06:00","-19.3","","-22.4","","77","","0.0","","23","","17","","16.1","","101.31","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 07:00","2019","02","01","07:00","-19.4","","-22.5","","77","","0.0","","24","","18","","16.1","","101.39","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 08:00","2019","02","01","08:00","-19.5","","-22.7","","76","","0.0","","23","","18","","16.1","","101.48","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 09:00","2019","02","01","09:00","-18.7","","-22.3","","74","","0.0","","24","","21","","16.1","","101.53","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 10:00","2019","02","01","10:00","-17.6","","-22.4","","67","","0.0","","23","","24","","14.5","","101.53","","","","-28","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 11:00","2019","02","01","11:00","-17.3","","-21.8","","69","","0.0","","22","","22","","16.1","","101.54","","","","-28","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 12:00","2019","02","01","12:00","-16.0","","-21.2","","65","","0.0","","21","","24","","1.2","","101.47","","","","-26","","Snow"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 13:00","2019","02","01","13:00","-14.7","","-20.3","","63","","0.0","","21","","28","","0.6","","101.41","","","","-25","","Moderate Snow"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 14:00","2019","02","01","14:00","-14.0","","-18.8","","68","","0.0","","22","","24","","4.8","","101.39","","","","-24","","Snow"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 15:00","2019","02","01","15:00","-14.2","","-18.9","","68","","0.0","","22","","24","","16.1","","101.40","","","","-24","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 16:00","2019","02","01","16:00","-13.6","","-18.8","","65","","0.0","","22","","21","","16.1","","101.46","","","","-23","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 17:00","2019","02","01","17:00","-14.5","","-19.7","","65","","0.0","","22","","21","","16.1","","101.51","","","","-24","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 18:00","2019","02","01","18:00","-15.8","","-20.6","","67","","0.0","","23","","18","","16.1","","101.57","","","","-25","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 19:00","2019","02","01","19:00","-16.7","","-21.6","","66","","0.0","","23","","18","","16.1","","101.61","","","","-26","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 20:00","2019","02","01","20:00","-17.5","","-22.1","","68","","0.0","","22","","15","","16.1","","101.63","","","","-26","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 21:00","2019","02","01","21:00","-16.8","","-22.3","","63","","0.0","","24","","22","","16.1","","101.62","","","","-27","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 22:00","2019","02","01","22:00","-18.0","","-23.3","","64","","0.0","","23","","13","","16.1","","101.62","","","","-26","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-01 23:00","2019","02","01","23:00","-20.3","","-24.4","","70","","0.0","","21","","11","","16.1","","101.62","","","","-28","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 00:00","2019","02","02","00:00","-20.2","","-23.9","","73","","0.0","","24","","4","","16.1","","101.64","","","","-24","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 01:00","2019","02","02","01:00","-23.4","","-25.7","","82","","0.0","","19","","9","","16.1","","101.59","","","","-31","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 02:00","2019","02","02","02:00","-24.1","","-26.5","","81","","0.0","","21","","9","","16.1","","101.60","","","","-32","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 03:00","2019","02","02","03:00","-25.2","","-27.2","","84","","0.0","","23","","5","","16.1","","101.58","","","","-30","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 04:00","2019","02","02","04:00","-22.1","","-24.7","","80","","0.0","","22","","8","","16.1","","101.49","","","","-29","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 05:00","2019","02","02","05:00","-18.1","","-20.8","","80","","0.0","","22","","11","","16.1","","101.41","","","","-25","","NA"
"-72.68","46.35","TROIS RIVIERES A","7018561","2019-02-02 06:00","2019","02","02","06:00","-16.9","","-19.6","","80","","0.0","","22","","13","","16.1","","101.30","","","","-25","","NA"
