"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 00:00","2019","02","01","00:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 01:00","2019","02","01","01:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 02:00","2019","02","01","02:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 03:00","2019","02","01","03:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 04:00","2019","02","01","04:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 05:00","2019","02","01","05:00"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 06:00","2019","02","01","06:00","-19.8","","-24.2","","68","","","","2","","22","","24.1","","95.84","","","","-31","","Cloudy"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 07:00","2019","02","01","07:00","-20.0","","-24.6","","67","","","","2","","22","","24.1","","95.88","","","","-31","","NA"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 08:00","2019","02","01","08:00","-20.4","","-24.9","","68","","","","3","","26","","24.1","","95.85","","","","-32","","NA"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 09:00","2019","02","01","09:00","-20.8","","-25.2","","68","","","","3","","25","","24.1","","95.91","","","","-33","","Cloudy"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 10:00","2019","02","01","10:00","-21.5","","-26.2","","67","","","","4","","29","","24.1","","95.93","","","","-34","","Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 11:00","2019","02","01","11:00","-21.8","","-26.6","","65","","","","3","","20","","24.1","","96.02","","","","-33","","NA"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 12:00","2019","02","01","12:00","-22.1","","-26.1","","71","","","","4","","19","","9.7","","96.05","","","","-33","","Snow,Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 13:00","2019","02","01","13:00","-22.2","","-26.5","","69","","","","6","","15","","16.1","","96.04","","","","-32","","Snow,Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 14:00","2019","02","01","14:00","-21.9","","-26.5","","67","","","","4","","13","","16.1","","96.05","","","","-31","","Snow,Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 15:00","2019","02","01","15:00","-21.9","","-26.3","","68","","","","3","","14","","9.7","","96.01","","","","-31","","Snow,Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 16:00","2019","02","01","16:00","-22.0","","-26.2","","69","","","","4","","17","","4.8","","96.02","","","","-32","","Snow,Blowing Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 17:00","2019","02","01","17:00","-21.9","","-26.5","","67","","","","5","","14","","16.1","","96.04","","","","-31","","Snow"
"-108.05","54.13","MEADOW LAKE A","4065057","2019-02-01 18:00","2019","02","01","18:00","-22.1","","-26.9","","66","","","","5","","14","","16.1","","96.05","","","","-31","","Snow"
