"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 00:00","2019","02","01","00:00","-26.8","","-31.4","","65","","","","27","","4","","","","","","","","-31","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 01:00","2019","02","01","01:00","-26.8","","-31.4","","65","","","","31","","6","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 02:00","2019","02","01","02:00","-27.6","","-32.3","","64","","","","27","","5","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 03:00","2019","02","01","03:00","-27.7","","-32.4","","64","","","","30","","5","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 04:00","2019","02","01","04:00","-29.3","","-34.3","","62","","","","30","","3","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 05:00","2019","02","01","05:00","-30.9","","-35.8","","62","","","","35","","5","","","","","","","","-37","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 06:00","2019","02","01","06:00","-29.7","","-34.5","","63","","","","30","","3","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 07:00","2019","02","01","07:00","-32.5","","-37.8","","59","","","","29","","2","","","","","","","","-35","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 08:00","2019","02","01","08:00","-33.0","","-38.2","","60","","","","26","","2","","","","","","","","-35","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 09:00","2019","02","01","09:00","-32.7","","-38.2","","58","","","","30","","2","","","","","","","","-35","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 10:00","2019","02","01","10:00","-30.3","","-35.4","","61","","","","32","","3","","","","","","","","-34","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 11:00","2019","02","01","11:00","-28.4","","-34.1","","58","","","","36","","8","","","","","","","","-36","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 12:00","2019","02","01","12:00","-27.1","","-33.4","","55","","","","35","","8","","","","","","","","-35","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 13:00","2019","02","01","13:00","-27.9","","-34.4","","54","","","","1","","9","","","","","","","","-36","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 14:00","2019","02","01","14:00","-26.2","","-33.6","","50","","","","33","","4","","","","","","","","-30","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 15:00","2019","02","01","15:00","-27.4","","-34.1","","53","","","","34","","4","","","","","","","","-32","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 16:00","2019","02","01","16:00","-29.5","","-35.9","","54","","","","36","","7","","","","","","","","-37","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 17:00","2019","02","01","17:00","-30.6","","-36.0","","59","","","","7","","1","","","","","","","","-32","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 18:00","2019","02","01","18:00","-32.2","","-37.4","","60","","","","0","","1","","","","","","","","-33","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 19:00","2019","02","01","19:00","-32.6","","-37.9","","59","","","","3","","3","","","","","","","","-36","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 20:00","2019","02","01","20:00","-33.0","","-38.7","","57","","","","3","","6","","","","","","","","-40","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 21:00","2019","02","01","21:00","-30.7","","-36.1","","59","","","","2","","11","","","","","","","","-41","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 22:00","2019","02","01","22:00","-30.5","","-35.9","","59","","","","3","","7","","","","","","","","-38","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-01 23:00","2019","02","01","23:00","-30.1","","-35.6","","59","","","","2","","9","","","","","","","","-39","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-02 00:00","2019","02","02","00:00","-29.9","","-35.4","","59","","","","2","","10","","","","","","","","-39","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-02 01:00","2019","02","02","01:00","-30.1","","-35.7","","58","","","","2","","9","","","","","","","","-39","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-02 02:00","2019","02","02","02:00","-30.1","","-35.6","","59","","","","2","","10","","","","","","","","-39","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-02 03:00","2019","02","02","03:00","-30.0","","-35.5","","59","","","","4","","6","","","","","","","","-37","","NA"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-02-02 04:00","2019","02","02","04:00","-29.8","","-35.4","","58","","","","2","","8","","","","","","","","-38","","NA"
