"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 00:00","2019","04","01","00:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 01:00","2019","04","01","01:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 02:00","2019","04","01","02:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 03:00","2019","04","01","03:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 04:00","2019","04","01","04:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 05:00","2019","04","01","05:00","-2.7","","-9.9","","58","","","","22","","16","","22.5","","97.49","","","","-8","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 06:00","2019","04","01","06:00","-2.0","","-8.9","","59","","","","22","","16","","24.1","","97.35","","","","-7","","Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 07:00","2019","04","01","07:00","-2.3","","-6.6","","72","","","","24","","16","","9.7","","97.28","","","","-7","","Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 08:00","2019","04","01","08:00","-1.9","","-4.6","","82","","","","27","","15","","4.8","","97.23","","","","-7","","Snow,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 09:00","2019","04","01","09:00","-0.5","","-3.5","","80","","","","27","","14","","24.1","","97.18","","","","-5","","Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-01 10:00","2019","04","01","10:00","1.0","","-4.3","","68","","","","31","","16","","24.1","","97.13","","","","","","NA"
